stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,180,2.0,2,90.0,2,0,0.0,1,1.0,3,3,0,0.0,0.5,3.7,-3.1,-1.57
,,1,9,0.1,0,0.0,0,1,9.0,2,1.0,0,0,0,0.0,0.1,0.0,0.0,0.33
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,187,2.1,3,62.0,2,0,0.0,0,1.33,3,2,1,0.48,3.5,2.7,0.8,0.37
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,45,0.5,0,0.0,0,1,45.0,1,0.0,0,0,0,0.0,1.3,0.7,0.6,1.18
,,4,360,4.0,4,90.0,4,0,0.0,0,1.5,3,2,1,0.25,4.6,4.7,-0.1,-0.02
,,4,301,3.3,3,90.0,3,1,31.0,0,1.25,3,4,-1,-0.3,4.6,5.1,-0.6,-0.18
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,126,1.4,1,90.0,1,2,18.0,1,2.0,2,2,0,0.0,2.7,1.2,1.5,1.1
,,1,28,0.3,0,0.0,0,1,28.0,1,0.0,0,1,-1,-3.21,0.1,0.2,-0.1,-0.33
,,3,106,1.2,1,68.0,0,2,19.0,0,0.67,0,1,-1,-0.85,0.4,1.4,-1.1,-0.93
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,23,0.3,0,0.0,0,1,23.0,2,0.0,0,0,0,0.0,0.6,0.2,0.4,1.51
,,4,360,4.0,4,90.0,4,0,0.0,0,1.5,3,2,1,0.25,4.6,4.7,-0.1,-0.02
,,4,256,2.8,3,70.0,1,1,45.0,0,1.25,4,3,1,0.35,4.5,2.9,1.6,0.57
,,4,352,3.9,4,88.0,3,0,0.0,0,2.0,6,0,6,1.53,3.8,1.4,2.4,0.6
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,240,2.7,3,65.0,1,1,46.0,0,1.25,2,4,-2,-0.75,3.4,4.6,-1.2,-0.44
,,4,262,2.9,4,66.0,1,0,0.0,0,2.0,4,3,1,0.34,4.3,4.9,-0.5,-0.19
,,1,90,1.0,1,90.0,1,0,0.0,1,1.0,1,1,0,0.0,1.7,0.2,1.4,1.41
