stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,1.3,0,2,2,100.0,1.49,1.49,0.0,0.0,15.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,3.2,0,6,1,16.7,1.86,0.31,0.0,0.0,15.0,0,0,1,1.5,0.7,0.12,-1.5,-0.7
,,1.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,0,2,0,0.0,0.67,0.0,0.0,0.0,7.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
,,3.0,1,3,2,66.7,1.0,0.67,0.33,0.5,8.2,0,0,0,0.9,0.9,0.29,0.1,0.1
,,0.6,0,1,0,0.0,1.73,0.0,0.0,0.0,21.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
,,2.4,0,3,0,0.0,1.27,0.0,0.0,0.0,21.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2
,,1.7,0,7,1,14.3,4.17,0.6,0.0,0.0,18.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3
,,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.2,0,7,2,28.6,2.17,0.62,0.0,0.0,18.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5
,,1.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.5,0,1,0,0.0,0.4,0.0,0.0,0.0,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
,,3.5,0,1,0,0.0,0.29,0.0,0.0,0.0,26.5,1,0,0,0.0,0.0,0.05,0.0,0.0
,,2.0,0,4,0,0.0,2.01,0.0,0.0,0.0,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
,,3.5,0,1,0,0.0,0.29,0.0,0.0,0.0,17.4,0,0,0,0.0,0.0,0.02,0.0,0.0
,,3.6,1,14,3,21.4,3.9,0.84,0.07,0.33,12.9,0,0,0,1.3,1.3,0.09,-0.3,-0.3
,,0.9,0,1,0,0.0,1.08,0.0,0.0,0.0,32.9,1,0,0,0.0,0.0,0.03,0.0,0.0
,,1.1,0,6,1,16.7,5.68,0.95,0.0,0.0,20.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
,,2.8,0,1,0,0.0,0.36,0.0,0.0,0.0,30.9,0,0,0,0.0,0.0,0.01,0.0,0.0
,,2.7,1,5,1,20.0,1.82,0.36,0.2,1.0,19.0,0,0,0,0.2,0.2,0.05,0.8,0.8
,,1.5,0,2,1,50.0,1.36,0.68,0.0,0.0,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
,,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.0,0,2,0,0.0,2.0,0.0,0.0,0.0,18.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
