stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,1.6,88,2,11,58,21,2,88,1,0,0.0,1,100.0,55,347.0,143.0,3,6,0,1,0,59,2
,,2.8,190,8,55,87,50,2,190,1,0,0.0,1,100.0,102,445.0,192.0,4,3,0,1,0,118,10
,,0.7,23,1,4,8,12,5,23,0,0,0.0,0,0.0,13,37.0,8.0,0,0,0,2,1,17,5
,,0.2,11,4,8,2,1,0,11,0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,1,0,3,1
,,0.1,3,0,0,1,2,0,3,0,0,0.0,0,0.0,1,3.0,0.0,0,0,0,0,0,2,1
,,1.0,54,45,53,1,0,0,54,0,0,0.0,0,0.0,30,156.0,107.0,0,0,0,0,0,31,0
,,1.6,70,1,11,32,28,4,70,2,0,0.0,2,100.0,48,292.0,152.0,3,3,1,5,2,53,16
,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
,,4.0,219,57,135,83,1,0,219,0,0,0.0,0,0.0,98,406.0,210.0,1,0,0,3,2,125,0
,,0.0,8,0,1,6,1,0,8,0,0,0.0,0,0.0,4,12.0,0.0,0,0,0,0,0,7,0
,,4.0,243,35,112,127,5,1,243,2,1,50.0,1,50.0,127,624.0,278.0,0,2,0,3,0,150,0
,,3.2,93,1,6,48,41,8,92,12,5,41.7,7,58.3,48,329.0,157.0,6,5,1,9,5,58,17
,,2.5,86,2,6,38,42,6,86,3,1,33.3,1,33.3,60,420.0,181.0,6,8,1,6,3,67,15
,,2.5,189,14,82,98,9,3,189,0,0,0.0,0,0.0,121,485.0,190.0,3,0,0,2,1,130,2
,,0.5,24,0,6,3,15,3,24,3,3,100.0,0,0.0,19,149.0,78.0,4,2,3,3,2,19,1
,,4.0,217,20,110,106,2,1,217,0,0,0.0,0,0.0,111,619.0,276.0,1,0,0,0,0,122,0
,,0.2,8,0,0,4,4,0,8,0,0,0.0,0,0.0,4,8.0,5.0,0,1,0,1,0,7,0
,,1.2,65,5,13,47,6,1,65,1,1,100.0,0,0.0,41,245.0,95.0,1,2,0,1,0,42,2
,,4.0,209,13,70,115,27,5,209,8,5,62.5,2,25.0,110,786.0,453.0,14,5,5,11,2,122,7
,,3.7,244,15,54,153,37,7,244,1,1,100.0,0,0.0,121,773.0,404.0,4,5,0,4,2,164,3
,,0.2,15,2,2,5,8,1,15,0,0,0.0,0,0.0,9,56.0,42.0,2,1,0,3,0,9,1
,,3.5,110,1,4,44,63,21,109,3,1,33.3,2,66.7,61,298.0,136.0,8,3,4,11,6,74,29
,,0.3,28,2,8,11,9,1,28,0,0,0.0,0,0.0,11,46.0,33.0,1,1,1,0,0,15,0
,,0.1,3,0,2,0,1,1,3,0,0,0.0,0,0.0,2,4.0,3.0,0,0,0,0,0,2,0
,,2.1,113,1,16,54,43,5,113,2,0,0.0,2,100.0,57,387.0,225.0,9,6,2,2,1,70,14
,,1.1,34,1,1,18,15,6,34,0,0,0.0,0,0.0,20,61.0,12.0,0,0,0,4,3,30,8
,,1.3,58,6,30,26,2,1,58,0,0,0.0,0,0.0,30,142.0,67.0,0,0,0,0,0,37,1
,,0.1,10,0,6,2,2,0,10,0,0,0.0,0,0.0,7,35.0,14.0,0,0,0,1,0,9,0
,,3.1,164,5,41,87,38,4,164,0,0,0.0,0,0.0,77,255.0,130.0,1,1,1,4,4,111,16
,,2.3,181,7,76,88,18,3,181,5,3,60.0,0,0.0,104,501.0,315.0,6,2,0,2,2,130,7
,,0.7,39,0,5,18,18,6,39,5,2,40.0,3,60.0,18,105.0,36.0,1,1,1,6,2,30,3
,,4.0,229,20,83,138,8,1,229,1,1,100.0,0,0.0,136,740.0,452.0,1,2,0,0,1,154,0
,,2.8,137,0,5,64,72,13,137,11,4,36.4,7,63.6,86,690.0,396.0,8,11,4,8,4,111,28
,,0.1,14,0,1,6,7,0,14,0,0,0.0,0,0.0,6,27.0,12.0,0,0,0,0,0,8,0
,,4.0,237,24,110,113,18,10,237,0,0,0.0,0,0.0,118,802.0,457.0,2,0,0,3,1,147,3
,,3.2,119,6,29,54,37,4,119,1,1,100.0,0,0.0,48,177.0,66.0,2,0,0,3,4,71,7
,,2.2,124,33,64,44,17,3,124,0,0,0.0,0,0.0,59,215.0,124.0,0,0,0,2,1,74,1
,,1.8,77,2,10,39,30,5,77,6,3,50.0,2,33.3,45,251.0,99.0,3,2,2,3,2,58,12
,,0.5,20,2,5,12,4,0,20,1,0,0.0,1,100.0,11,54.0,31.0,1,1,0,0,0,11,0
,,3.0,80,68,79,1,0,0,80,0,0,0.0,0,0.0,50,266.0,157.0,0,0,0,0,0,47,0
,,4.0,255,18,78,115,65,9,255,5,2,40.0,2,40.0,143,689.0,379.0,4,4,2,2,2,168,10
,,2.2,72,0,9,35,30,9,72,6,6,100.0,0,0.0,47,268.0,81.0,4,1,2,6,5,58,10
