stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,2.6,0,0,0,3,5,1,2,1,3,0,0,0,11,4,4,50.0
,,0.3,0,0,0,1,0,0,0,2,0,0,0,0,4,2,1,66.7
,,2.1,1,0,0,2,2,0,1,2,0,0,0,0,12,1,0,100.0
,,1.6,0,0,0,1,3,0,0,1,2,0,0,0,6,3,4,42.9
,,3.9,1,0,0,6,6,0,0,5,6,0,0,0,16,4,7,36.4
,,2.0,0,0,0,2,3,0,6,3,3,0,0,0,4,4,2,66.7
,,4.0,0,0,0,5,4,0,2,3,7,0,0,0,15,3,4,42.9
,,1.0,1,0,0,1,0,0,0,0,0,0,0,0,2,4,3,57.1
,,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0.0
,,0.6,0,0,0,4,0,0,1,0,1,0,0,0,2,0,0,0.0
,,1.0,1,0,0,3,4,0,1,1,0,0,0,0,2,4,4,50.0
,,4.0,1,0,0,1,2,1,21,3,5,0,0,0,20,3,3,50.0
,,4.0,0,0,0,1,7,0,0,9,3,0,1,0,15,20,6,76.9
,,3.9,0,0,0,3,8,0,0,4,4,0,0,0,20,7,3,70.0
,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,2.0,0,0,0,1,2,0,3,2,2,0,0,0,3,1,3,25.0
,,3.3,3,0,0,3,0,0,0,8,4,0,0,0,10,8,4,66.7
,,1.0,1,0,0,2,2,0,0,1,1,0,0,0,4,2,2,50.0
,,0.2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0
,,0.2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0
,,0.3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0
,,2.0,0,0,0,1,1,0,1,3,6,0,0,0,12,2,5,28.6
,,1.3,1,0,0,0,2,0,0,2,1,0,0,0,5,2,1,66.7
