stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,3,192,2.1,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.08,0.2,0.08,0.0,0.0,0.2,0.08
,,3,215,2.4,3,1,0.42,0,0.0,1,0.42,0,0.0,1,1,0,0,0.8,0.35,0.0,0.02,0.4,0.19,0.5,0.2
,,2,29,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.11
,,1,15,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.37,0.1,0.37,0.0,0.0,0.1,0.37
,,4,354,3.9,4,1,0.25,0,0.0,1,0.25,1,0.25,0,0,1,0,0.1,0.03,0.1,0.03,0.6,0.15,0.7,0.18
,,4,135,1.5,1,1,0.67,0,0.0,1,0.67,1,0.67,0,0,0,0,0.8,0.54,0.8,0.54,0.0,0.01,0.8,0.55
,,3,266,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.05,0.2,0.05,0.2,0.05,0.3,0.11
,,4,174,1.9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.07,0.1,0.07
,,1,6,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,168,1.9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,79,0.9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,135,1.5,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03
,,2,14,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,327,3.6,4,3,0.83,0,0.0,3,0.83,3,0.83,0,0,1,0,1.9,0.54,1.9,0.54,0.4,0.11,2.3,0.65
,,4,291,3.2,3,1,0.31,1,0.31,2,0.62,1,0.31,0,0,0,0,1.3,0.41,1.3,0.41,0.4,0.13,1.7,0.53
,,2,29,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.05,0.0,0.05,0.7,2.24,0.7,2.29
,,2,141,1.6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.06,0.1,0.06,0.1,0.04,0.2,0.1
,,4,254,2.8,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
,,2,61,0.7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.7,1.01,0.7,1.01,0.0,0.0,0.7,1.01
,,1,18,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,12,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,145,1.6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.12,0.2,0.12,0.1,0.06,0.3,0.18
,,1,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.93,0.0,0.93,0.0,0.0,0.0,0.93
,,4,360,4.0,4,1,0.25,0,0.0,1,0.25,1,0.25,0,0,0,0,0.1,0.04,0.1,0.04,0.0,0.0,0.1,0.04
,,4,292,3.2,4,1,0.31,1,0.31,2,0.62,0,0.0,1,1,0,0,1.6,0.5,0.8,0.26,0.5,0.14,1.3,0.4
,,4,224,2.5,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.15,0.4,0.15,0.0,0.0,0.4,0.15
,,3,227,2.5,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,45,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.06
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,17,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,111,1.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,0.28,0.3,0.28
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.01,0.1,0.01
,,4,331,3.7,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.04,0.2,0.04,0.1,0.03,0.3,0.08
,,1,21,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,319,3.5,4,2,0.56,0,0.0,2,0.56,2,0.56,0,1,0,0,1.8,0.51,1.0,0.28,0.0,0.01,1.0,0.29
,,2,28,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.63,0.2,0.63,0.0,0.0,0.2,0.63
,,1,13,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,187,2.1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.05,0.1,0.05,0.3,0.13,0.4,0.18
