stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,2.0,66,65,1,1,0,0,1,0,0,0,0,0,55,0,1
,,1.3,72,67,4,4,0,0,0,0,0,0,0,0,67,1,1
,,4.0,132,92,40,11,0,0,0,0,0,0,0,0,105,0,0
,,0.8,28,27,1,0,1,0,0,1,0,0,0,0,23,0,1
,,2.0,103,87,16,1,0,0,6,15,0,0,0,0,78,0,3
,,1.5,53,52,1,1,0,0,0,0,0,0,0,0,41,0,0
,,4.0,226,209,16,9,2,2,2,7,0,0,0,0,201,1,1
,,1.8,74,58,16,3,0,0,3,13,0,0,0,0,56,0,1
,,4.0,106,84,22,0,0,0,3,22,0,0,0,0,77,0,4
,,1.6,21,17,4,0,0,0,0,0,0,0,0,0,12,0,4
,,0.7,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0
,,0.2,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0
,,0.3,11,10,1,0,0,0,0,1,0,0,0,0,8,0,1
,,0.4,19,18,1,0,0,0,0,1,0,0,0,0,17,0,1
,,1.9,58,58,0,0,0,0,4,0,0,0,0,0,42,0,3
,,4.0,125,109,15,7,1,0,10,0,8,1,6,0,98,1,2
,,0.5,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0
,,2.6,184,157,27,5,0,1,12,16,6,4,0,0,166,0,2
,,0.2,19,13,5,2,0,0,0,1,0,0,0,0,12,1,0
,,2.3,108,103,5,5,0,0,0,0,0,0,0,0,88,0,0
,,0.1,16,15,1,0,0,1,0,1,0,0,0,0,14,0,0
,,2.7,153,137,16,4,0,2,0,12,0,0,0,0,138,0,1
,,0.9,18,18,0,0,0,0,0,0,0,0,0,0,13,0,1
,,3.6,164,152,11,5,1,0,10,1,5,4,0,0,133,1,5
,,0.3,23,21,2,1,0,0,4,1,0,0,0,0,16,0,1
,,2.5,119,94,25,1,0,0,11,24,0,0,0,0,85,0,3
,,1.7,69,60,8,2,0,0,15,0,6,6,0,0,48,1,3
,,4.0,111,96,14,9,0,1,0,0,0,0,0,0,87,1,0
,,3.8,218,199,19,13,0,2,1,2,0,0,0,0,186,0,2
,,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0.9,73,68,5,3,0,0,0,2,0,0,0,0,62,0,2
,,4.0,160,136,23,7,0,0,0,0,0,0,0,0,123,1,2
,,0.7,15,13,2,0,0,0,1,0,0,0,0,0,12,0,0
,,1.6,73,68,5,1,0,1,0,1,0,0,0,0,69,0,0
,,1.2,104,89,15,4,0,0,1,11,0,0,0,0,97,0,0
,,2.6,97,79,18,1,0,0,12,17,0,0,0,0,73,0,4
,,0.4,16,16,0,0,0,0,2,0,0,0,0,0,13,0,1
,,0.9,28,27,1,0,0,0,0,1,0,0,0,0,21,0,2
,,3.4,111,106,5,4,0,0,0,0,0,0,0,0,94,0,3
,,1.5,40,36,3,1,1,0,2,0,2,2,0,0,24,1,0
,,0.2,6,5,1,1,0,0,0,0,0,0,0,0,5,0,0
,,3.9,51,41,8,0,0,1,1,1,0,0,0,0,42,2,0
,,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,1
,,2.0,114,103,11,5,0,1,0,0,0,0,0,0,98,0,0
,,1.8,64,56,7,5,0,0,2,1,1,0,1,0,54,1,1
,,1.0,42,40,2,0,0,0,1,2,0,0,0,0,36,0,2
,,1.2,46,46,0,0,0,0,0,0,0,0,0,0,37,0,2
,,1.5,90,80,9,5,0,0,9,0,4,1,3,0,77,1,0
,,2.0,61,57,3,0,0,0,2,3,0,0,0,0,45,1,1
,,0.6,12,12,0,0,0,0,0,0,0,0,0,0,8,0,1
,,1.1,68,63,5,3,0,0,0,1,0,0,0,0,61,0,0
,,3.7,78,72,6,1,0,1,0,0,0,0,0,0,49,0,3
,,3.3,115,100,12,5,6,0,9,2,4,3,1,0,86,3,4
,,4.0,206,151,55,10,0,0,13,41,4,1,2,0,160,0,6
,,0.8,15,15,0,0,0,0,1,0,0,0,0,0,8,0,1
,,4.0,203,180,22,3,0,0,17,14,5,5,0,0,158,1,2
,,3.4,93,77,16,1,1,0,13,13,2,1,1,0,60,0,2
,,3.5,206,168,38,5,0,0,25,33,0,0,0,0,167,0,8
,,1.0,66,60,6,2,0,0,4,1,2,1,1,0,50,0,1
,,2.9,116,110,6,1,1,2,6,2,3,0,0,0,91,0,7
,,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
,,3.7,146,140,6,6,0,0,0,0,0,0,0,0,127,0,1
,,1.4,19,19,0,0,0,0,1,0,0,0,0,0,10,0,0
,,3.8,233,228,3,3,1,0,0,0,0,0,0,0,200,2,5
,,3.3,287,278,9,9,0,1,0,0,0,0,0,0,260,0,1
,,4.0,155,153,2,2,1,0,4,0,0,0,0,0,139,0,1
,,1.0,28,22,6,0,0,0,5,1,5,2,2,0,22,0,1
,,2.5,89,78,10,3,0,1,5,1,6,1,2,0,70,1,1
,,3.4,54,47,7,0,0,0,0,0,0,0,0,0,36,0,0
,,1.8,167,160,7,6,0,2,0,0,0,0,0,0,150,0,1
,,0.8,51,46,5,1,0,0,0,3,0,0,0,0,42,0,0
,,1.4,100,90,10,1,0,1,8,2,7,3,3,0,89,0,0
,,1.1,29,28,1,0,2,0,0,0,0,0,0,0,20,0,4
,,4.0,213,201,12,8,0,0,3,4,0,0,0,0,177,0,2
,,3.5,62,58,4,0,0,0,12,0,1,0,0,0,39,0,2
,,1.6,119,104,15,3,0,0,10,7,5,0,5,0,92,0,4
,,1.0,32,31,0,0,0,0,1,0,0,0,0,0,26,1,1
