stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,4.0,111,132,84.1,2060.0,739.0,41,47,87.2,56,61,91.8,12,19,63.2,0,0.0,0.0,0.0,1,10,0,10
,,2.8,29,48,60.4,493.0,141.0,13,18,72.2,14,18,77.8,2,5,40.0,1,0.2,0.8,0.2,2,3,1,4
,,3.9,30,51,58.8,469.0,65.0,16,22,72.7,12,20,60.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,3
,,2.7,88,113,77.9,1759.0,728.0,36,38,94.7,33,38,86.8,16,30,53.3,0,0.2,0.0,0.0,1,18,3,12
,,2.9,148,170,87.1,2660.0,743.0,61,71,85.9,69,73,94.5,15,21,71.4,0,0.3,0.1,-0.1,1,10,2,13
,,1.0,96,103,93.2,1720.0,567.0,28,31,90.3,66,69,95.7,1,2,50.0,0,0.0,0.0,0.0,0,11,0,11
,,0.8,40,45,88.9,719.0,296.0,14,15,93.3,21,24,87.5,3,4,75.0,0,0.0,0.0,0.0,0,2,0,4
,,2.0,48,62,77.4,874.0,473.0,21,26,80.8,18,21,85.7,7,11,63.6,0,0.0,0.1,-0.1,1,6,0,8
,,0.8,28,37,75.7,457.0,51.0,10,12,83.3,17,20,85.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,2
,,1.0,38,44,86.4,840.0,390.0,5,7,71.4,28,29,96.6,4,7,57.1,0,0.0,0.0,0.0,0,3,0,1
,,0.3,4,4,100.0,54.0,8.0,3,3,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0
,,3.7,115,137,83.9,2040.0,491.0,49,52,94.2,53,59,89.8,11,17,64.7,2,0.7,0.8,1.2,8,10,3,14
,,3.7,97,137,70.8,1782.0,646.0,43,47,91.5,39,54,72.2,14,28,50.0,2,0.7,0.9,1.1,12,4,1,17
,,1.6,61,81,75.3,937.0,225.0,38,43,88.4,18,24,75.0,4,7,57.1,0,0.4,0.6,-0.6,6,2,4,5
,,4.0,171,202,84.7,2429.0,800.0,107,121,88.4,54,65,83.1,6,7,85.7,0,0.7,0.4,-0.4,2,17,0,23
,,4.0,105,130,80.8,1736.0,491.0,57,60,95.0,38,48,79.2,9,14,64.3,0,0.2,0.0,0.0,1,3,1,8
,,0.2,1,2,50.0,36.0,35.0,0,0,0.0,0,1,0.0,1,1,100.0,0,0.0,0.1,-0.1,1,1,0,1
,,1.1,5,11,45.5,91.0,24.0,2,2,100.0,2,6,33.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0
,,3.6,44,64,68.8,542.0,105.0,29,42,69.0,9,12,75.0,2,3,66.7,0,0.2,0.3,-0.3,5,2,0,4
,,3.5,165,210,78.6,2977.0,1300.0,74,83,89.2,79,88,89.8,11,28,39.3,0,0.2,0.1,-0.1,2,16,2,16
,,2.9,114,135,84.4,1827.0,563.0,59,63,93.7,47,57,82.5,7,13,53.8,1,0.4,0.5,0.5,4,7,5,14
,,0.4,19,22,86.4,330.0,88.0,7,7,100.0,6,7,85.7,4,4,100.0,0,0.3,0.2,-0.2,1,2,1,2
,,1.1,39,52,75.0,535.0,265.0,28,32,87.5,9,11,81.8,2,6,33.3,0,0.1,0.0,0.0,0,1,1,4
,,0.1,9,9,100.0,133.0,28.0,5,5,100.0,4,4,100.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,2
,,0.4,44,52,84.6,719.0,174.0,23,24,95.8,17,19,89.5,4,8,50.0,0,0.1,0.1,-0.1,3,3,0,9
,,0.4,14,17,82.4,208.0,42.0,8,8,100.0,4,4,100.0,1,4,25.0,0,0.0,0.0,0.0,0,1,0,0
,,2.0,28,54,51.9,317.0,65.0,22,33,66.7,5,11,45.5,0,0,0.0,0,0.0,0.1,-0.1,1,2,0,3
