Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Saïd Benrahma,dz ALG,"FW,MF",Lyon,29-051,1995,2.9,2,1,1,1,0,1,3,33.3,2,0,0,0,1,3,0,0,Matches
52,Lucas Beraldo,br BRA,DF,Paris S-G,20-311,2003,4.9,10,9,9,1,0,7,13,53.8,6,4,0,4,3,13,8,0,Matches
53,Dimitry Bertaud,cd COD,GK,Montpellier,26-116,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
54,Emmanuel Biumla,fr FRA,DF,Angers,19-145,2005,3.1,10,5,6,4,0,8,10,80.0,2,4,0,4,3,13,8,0,Matches
55,Marco Bizot,nl NED,GK,Brest,33-204,1991,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
56,Ludovic Blas,fr FRA,"MF,FW",Rennes,26-274,1997,5.6,5,4,1,2,2,4,9,44.4,5,5,2,3,3,8,2,0,Matches
57,Augustine Boakye,gh GHA,"MF,FW",Saint-Étienne,23-332,2000,0.6,3,1,1,2,0,2,4,50.0,2,0,0,0,0,3,0,0,Matches
58,Jeremie Boga,ci CIV,"FW,MF",Nice,27-271,1997,1.9,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
59,Moïse Bombito,ca CAN,DF,Nice,24-184,2000,3.7,7,6,4,3,0,4,5,80.0,1,5,5,0,4,11,19,1,Matches
60,Ayyoub Bouaddi,fr FRA,MF,Lille,16-364,2007,1.0,7,3,4,2,1,3,6,50.0,3,1,0,1,0,7,0,0,Matches
61,Badredine Bouanani,dz ALG,"FW,MF",Nice,19-297,2004,2.9,0,0,0,0,0,0,2,0.0,2,3,0,3,3,3,0,0,Matches
62,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,22-322,2001,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
63,Hicham Boudaoui,dz ALG,MF,Nice,25-007,1999,4.0,14,8,8,3,3,7,13,53.8,6,5,1,4,4,18,1,0,Matches
64,Benjamin Bourigeaud,fr FRA,MF,Rennes,30-260,1994,0.9,1,0,0,1,0,0,2,0.0,2,2,1,1,2,3,1,0,Matches
65,Bilal Brahimi,dz ALG,MF,Nice,24-200,2000,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Matches
66,Lilian Brassier,fr FRA,DF,Marseille,24-333,1999,4.9,5,4,5,0,0,3,4,75.0,1,6,2,4,4,9,20,0,Matches
67,Aurélio Buta,pt POR,DF,Reims,27-233,1997,3.7,7,6,6,0,1,5,10,50.0,5,1,0,1,5,12,9,0,Matches
68,Marcin Bułka,pl POL,GK,Nice,24-362,1999,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,Matches
69,Rémy Cabella,fr FRA,"MF,FW",Lille,34-206,1990,2.9,8,5,1,5,2,5,9,55.6,4,2,0,2,2,10,0,0,Matches
70,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,27-189,1997,4.4,3,2,2,0,1,1,6,16.7,5,2,1,1,3,6,2,0,Matches
71,Duje Ćaleta-Car,hr CRO,DF,Lyon,28-013,1996,6.0,7,2,5,2,0,2,3,66.7,1,8,8,0,10,17,30,0,Matches
72,Issiaga Camara,gn GUI,MF,Nice,19-241,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
73,Lamine Camara,sn SEN,MF,Monaco,20-273,2004,3.7,17,12,7,8,2,7,13,53.8,6,3,0,3,7,24,1,0,Matches
74,Mahdi Camara,fr FRA,MF,Brest,26-092,1998,5.1,14,6,1,9,4,5,8,62.5,3,8,0,8,9,23,7,0,Matches
75,Axel Camblan,fr FRA,"MF,FW",Brest,21-031,2003,0.3,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Jaydee Canvot,fr FRA,DF,Toulouse,18-063,2006,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
77,Pierrick Capelle,fr FRA,MF,Angers,37-168,1987,2.0,6,3,3,2,1,3,6,50.0,3,1,1,0,3,9,0,1,Matches
78,Maxence Caqueret,fr FRA,MF,Lyon,24-228,2000,5.1,17,8,5,9,3,3,17,17.6,14,11,2,9,6,23,1,0,Matches
79,Valentin Carboni,ar ARG,"MF,FW",Marseille,19-209,2005,0.6,2,2,0,1,1,0,1,0.0,1,1,0,1,1,3,1,0,Matches
80,Josué Casimir,fr FRA,"FW,DF",Le Havre,23-006,2001,4.5,7,4,2,3,2,1,4,25.0,3,2,0,2,1,8,7,0,Matches
81,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,24-254,2000,4.7,25,16,14,9,2,8,14,57.1,6,6,1,5,5,30,6,0,Matches
82,Jean-Charles Castelletto,cm CMR,DF,Nantes,29-248,1995,5.0,2,1,2,0,0,1,3,33.3,2,5,4,1,0,2,36,0,Matches
83,Brendan Chardonnet,fr FRA,DF,Brest,29-283,1994,5.0,12,9,5,5,2,8,13,61.5,5,4,3,1,3,15,23,1,Matches
84,Jhoanner Chávez,ec ECU,DF,Lens,22-158,2002,3.4,3,1,1,1,1,1,3,33.3,2,6,1,5,4,7,6,0,Matches
85,Théo Chennahi,fr FRA,DF,Montpellier,19-237,2005,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
86,Sidiki Cherif,fr FRA,FW,Angers,17-290,2006,3.1,4,4,0,3,1,3,4,75.0,1,2,0,2,0,4,0,1,Matches
87,Rayan Cherki,fr FRA,MF,Lyon,21-044,2003,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
88,Lucas Chevalier,fr FRA,GK,Lille,22-329,2001,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
