Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
63,Marco Bizot,nl NED,GK,Brest,33-204,1991,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,8,13,-5,-0.83,,7.5,13.5,-6.0,-1.00,,Matches
64,Ludovic Blas,fr FRA,"MF,FW",Rennes,26-274,1997,6,504,84,93.3,5.6,6,84,3,0,,0,1.17,10,8,+2,+0.36,+2.86,7.0,7.8,-0.8,-0.14,-1.77,Matches
65,Augustine Boakye,gh GHA,"MF,FW",Saint-Étienne,23-332,2000,3,54,18,10.0,0.6,0,,0,3,18,0,0.33,0,1,-1,-1.67,+0.74,0.4,1.4,-1.0,-1.66,+0.17,Matches
66,Mathéo Bodmer,fr FRA,DF,Le Havre,20-147,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
67,Jeremie Boga,ci CIV,"FW,MF",Nice,27-271,1997,3,171,57,31.7,1.9,2,72,0,1,27,0,1.33,2,3,-1,-0.53,-2.72,2.9,3.2,-0.3,-0.18,-1.43,Matches
68,Adama Bojang,gm GAM,FW,Reims,20-125,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
69,Moïse Bombito,ca CAN,DF,Nice,24-184,2000,4,334,84,61.9,3.7,4,84,3,0,,0,2.00,11,1,+10,+2.69,+3.57,8.2,3.6,+4.5,+1.22,+1.12,Matches
70,Léo Botz,fr FRA,FW,Brest,19-263,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
71,Ayyoub Bouaddi,fr FRA,MF,Lille,16-364,2007,5,94,19,17.4,1.0,1,56,0,4,10,1,2.00,3,1,+2,+1.91,+1.51,4.0,0.7,+3.3,+3.15,+3.18,Matches
72,Badredine Bouanani,dz ALG,"FW,MF",Nice,19-297,2004,6,257,43,47.6,2.9,2,76,0,4,26,0,1.33,4,1,+3,+1.05,-0.54,5.6,3.0,+2.5,+0.89,+0.19,Matches
73,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,22-322,2001,2,28,14,5.2,0.3,0,,0,2,14,1,0.50,0,2,-2,-6.43,-4.32,0.0,2.4,-2.3,-7.47,-5.98,Matches
74,Hicham Boudaoui,dz ALG,MF,Nice,25-007,1999,4,359,90,66.5,4.0,4,90,3,0,,0,1.25,6,4,+2,+0.50,-2.48,5.4,6.2,-0.8,-0.20,-2.96,Matches
