Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
58,Jeremie Boga,ci CIV,"FW,MF",Nice,27-271,1997,1.9,42,52,80.8,546,153,30,33,90.9,11,13,84.6,1,2,50.0,1,0.4,0.3,+0.6,4,4,1,1,4,Matches
59,Moïse Bombito,ca CAN,DF,Nice,24-184,2000,3.7,245,266,92.1,4280,1846,104,108,96.3,118,121,97.5,18,30,60.0,0,0.0,0.0,0.0,0,8,0,0,14,Matches
60,Ayyoub Bouaddi,fr FRA,MF,Lille,16-364,2007,1.0,73,75,97.3,1222,231,38,39,97.4,31,31,100.0,4,4,100.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches
61,Badredine Bouanani,dz ALG,"FW,MF",Nice,19-297,2004,2.9,73,101,72.3,1007,244,50,57,87.7,19,30,63.3,3,9,33.3,0,0.3,0.4,-0.3,3,3,2,0,9,Matches
62,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,22-322,2001,0.3,11,13,84.6,166,26,8,9,88.9,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
63,Hicham Boudaoui,dz ALG,MF,Nice,25-007,1999,4.0,145,176,82.4,2219,736,72,84,85.7,66,75,88.0,4,7,57.1,1,0.5,0.5,+0.5,4,15,3,0,24,Matches
64,Benjamin Bourigeaud,fr FRA,MF,Rennes,30-260,1994,0.9,36,48,75.0,646,141,15,16,93.8,17,21,81.0,4,10,40.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
65,Bilal Brahimi,dz ALG,MF,Nice,24-200,2000,0.8,35,40,87.5,614,163,15,16,93.8,18,19,94.7,2,4,50.0,0,0.0,0.2,0.0,1,1,1,1,4,Matches
66,Lilian Brassier,fr FRA,DF,Marseille,24-333,1999,4.9,311,363,85.7,4750,1504,157,164,95.7,140,161,87.0,8,22,36.4,0,0.0,0.1,0.0,0,17,1,0,17,Matches
67,Aurélio Buta,pt POR,DF,Reims,27-233,1997,3.7,126,155,81.3,1927,724,70,80,87.5,49,60,81.7,6,11,54.5,1,0.1,0.5,+0.9,2,7,3,3,9,Matches
68,Marcin Bułka,pl POL,GK,Nice,24-362,1999,6.0,186,217,85.7,4225,2823,58,59,98.3,84,86,97.7,43,70,61.4,0,0.0,0.0,0.0,0,1,0,0,0,Matches
69,Rémy Cabella,fr FRA,"MF,FW",Lille,34-206,1990,2.9,159,190,83.7,2265,488,97,108,89.8,49,57,86.0,8,13,61.5,1,0.9,0.8,+0.1,7,10,3,1,17,Matches
70,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,27-189,1997,4.4,82,121,67.8,1326,267,47,63,74.6,26,40,65.0,8,16,50.0,0,0.3,0.4,-0.3,6,5,2,1,7,Matches
71,Duje Ćaleta-Car,hr CRO,DF,Lyon,28-013,1996,6.0,238,263,90.5,4658,1572,73,80,91.3,141,147,95.9,21,30,70.0,0,0.0,0.0,0.0,0,9,0,0,12,Matches
72,Issiaga Camara,gn GUI,MF,Nice,19-241,2005,0.0,4,4,100.0,48,8,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
73,Lamine Camara,sn SEN,MF,Monaco,20-273,2004,3.7,195,234,83.3,3347,838,85,99,85.9,84,94,89.4,18,29,62.1,1,0.7,0.8,+0.3,10,20,2,1,17,Matches
74,Mahdi Camara,fr FRA,MF,Brest,26-092,1998,5.1,167,195,85.6,2680,568,86,95,90.5,67,76,88.2,9,14,64.3,0,0.2,0.7,-0.2,5,17,3,2,20,Matches
75,Axel Camblan,fr FRA,"MF,FW",Brest,21-031,2003,0.3,3,7,42.9,44,23,2,5,40.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Jaydee Canvot,fr FRA,DF,Toulouse,18-063,2006,0.1,5,6,83.3,99,50,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
77,Pierrick Capelle,fr FRA,MF,Angers,37-168,1987,2.0,60,79,75.9,1026,297,27,33,81.8,28,36,77.8,3,6,50.0,0,0.0,0.3,0.0,0,9,0,0,7,Matches
78,Maxence Caqueret,fr FRA,MF,Lyon,24-228,2000,5.1,202,260,77.7,3147,1177,107,128,83.6,74,85,87.1,14,25,56.0,0,0.3,0.4,-0.3,6,29,8,0,39,Matches
79,Valentin Carboni,ar ARG,"MF,FW",Marseille,19-209,2005,0.6,41,46,89.1,610,134,21,22,95.5,15,16,93.8,2,3,66.7,0,0.0,0.1,0.0,2,4,4,2,4,Matches
80,Josué Casimir,fr FRA,"FW,DF",Le Havre,23-006,2001,4.5,88,120,73.3,1460,361,45,56,80.4,33,42,78.6,8,10,80.0,0,0.2,0.2,-0.2,3,6,3,1,12,Matches
81,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,24-254,2000,4.7,183,225,81.3,3194,844,79,99,79.8,91,102,89.2,10,17,58.8,1,0.2,0.1,+0.8,3,18,2,0,29,Matches
82,Jean-Charles Castelletto,cm CMR,DF,Nantes,29-248,1995,5.0,251,278,90.3,4437,1625,107,110,97.3,116,125,92.8,23,35,65.7,0,0.0,0.1,0.0,0,12,2,0,14,Matches
83,Brendan Chardonnet,fr FRA,DF,Brest,29-283,1994,5.0,201,237,84.8,4103,1513,64,69,92.8,110,118,93.2,26,48,54.2,0,0.0,0.0,0.0,0,6,0,0,4,Matches
84,Jhoanner Chávez,ec ECU,DF,Lens,22-158,2002,3.4,98,132,74.2,1514,678,56,66,84.8,32,44,72.7,7,14,50.0,0,0.3,0.6,-0.3,6,5,3,3,2,Matches
85,Théo Chennahi,fr FRA,DF,Montpellier,19-237,2005,0.0,1,2,50.0,25,25,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
86,Sidiki Cherif,fr FRA,FW,Angers,17-290,2006,3.1,27,51,52.9,390,67,18,29,62.1,9,15,60.0,0,0,,0,0.2,0.2,-0.2,2,3,1,1,2,Matches
87,Rayan Cherki,fr FRA,MF,Lyon,21-044,2003,0.5,19,26,73.1,229,11,13,14,92.9,6,9,66.7,0,3,0.0,0,0.0,0.0,0.0,0,1,1,0,2,Matches
88,Lucas Chevalier,fr FRA,GK,Lille,22-329,2001,6.0,125,155,80.6,2882,2190,40,40,100.0,51,53,96.2,34,61,55.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
89,Pedro Chirivella,es ESP,MF,Nantes,27-130,1997,5.8,333,394,84.5,6031,2069,140,153,91.5,144,165,87.3,40,62,64.5,1,0.3,0.3,+0.7,5,50,5,1,48,Matches
90,Joris Chotard,fr FRA,MF,Montpellier,23-006,2001,2.4,87,99,87.9,1638,512,43,45,95.6,29,32,90.6,15,18,83.3,0,0.0,0.3,0.0,0,13,2,0,15,Matches
91,Jonathan Clauss,fr FRA,"MF,DF",Nice,32-005,1992,5.0,166,223,74.4,2854,1100,80,94,85.1,63,82,76.8,20,36,55.6,2,1.3,0.9,+0.7,7,11,7,3,15,Matches
92,Marcus Coco,fr FRA,DF,Nantes,28-098,1996,3.1,120,148,81.1,1914,740,62,65,95.4,51,62,82.3,5,17,29.4,0,0.1,0.1,-0.1,2,10,2,0,13,Matches
93,Derek Cornelius,ca CAN,DF,Marseille,26-310,1997,3.8,306,327,93.6,4908,2175,142,147,96.6,153,160,95.6,7,13,53.8,0,0.0,0.1,0.0,1,8,0,0,7,Matches
94,Pierre Cornud,fr FRA,DF,Saint-Étienne,27-293,1996,2.3,90,106,84.9,1754,748,44,47,93.6,29,33,87.9,17,24,70.8,0,0.2,0.1,-0.2,1,8,1,0,8,Matches
95,David Costa,pt POR,MF,Lens,23-269,2001,1.5,43,49,87.8,673,202,19,21,90.5,20,22,90.9,2,3,66.7,0,0.1,0.4,-0.1,2,2,2,1,9,Matches
96,Logan Costa,cv CPV,DF,Toulouse,23-182,2001,1.0,47,56,83.9,845,482,20,20,100.0,23,26,88.5,4,9,44.4,0,0.5,0.0,-0.5,1,4,1,1,4,Matches
97,Lasso Coulibaly,gh GHA,"FW,MF",Auxerre,21-347,2002,0.4,9,10,90.0,111,0,6,6,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
98,Soumaïla Coulibaly,fr FRA,DF,Brest,20-352,2003,1.2,70,80,87.5,1592,495,19,20,95.0,38,41,92.7,13,19,68.4,0,0.0,0.0,0.0,0,1,0,0,2,Matches
99,Tanguy Coulibaly,fr FRA,FW,Montpellier,23-225,2001,3.2,64,88,72.7,810,166,44,52,84.6,15,24,62.5,1,5,20.0,0,0.4,0.2,-0.4,7,3,0,0,5,Matches
100,Nicolas Cozza,fr FRA,DF,Nantes,25-266,1999,1.3,52,64,81.3,755,278,27,28,96.4,22,26,84.6,1,5,20.0,0,0.0,0.0,0.0,1,5,1,0,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Charlie Cresswell,eng ENG,DF,Toulouse,22-044,2002,3.6,163,214,76.2,2869,952,59,72,81.9,92,105,87.6,10,32,31.3,0,0.5,0.2,-0.5,1,6,0,0,10,Matches
102,Kévin Danois,fr FRA,"MF,DF",Auxerre,20-094,2004,2.5,104,136,76.5,1624,436,56,65,86.2,39,47,83.0,5,12,41.7,0,0.2,0.2,-0.2,4,8,1,0,21,Matches
103,Kevin Danso,at AUT,DF,Lens,26-011,1998,2.0,87,108,80.6,1570,683,45,52,86.5,32,35,91.4,10,18,55.6,0,0.0,0.0,0.0,1,3,0,0,6,Matches
104,Dante,br BRA,DF,Nice,40-348,1983,5.3,356,410,86.8,5633,2329,179,192,93.2,162,172,94.2,10,34,29.4,0,0.0,0.1,0.0,0,31,3,0,33,Matches
105,Pape Daouda Diongue,sn SEN,MF,Strasbourg,,,0.5,19,24,79.2,215,55,11,14,78.6,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
106,Mohammed Daramy,dk DEN,FW,Reims,22-267,2002,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
107,Jonathan David,ca CAN,FW,Lille,24-260,2000,4.1,96,119,80.7,1268,169,63,74,85.1,29,31,93.5,2,4,50.0,0,0.2,0.5,-0.2,4,4,4,0,10,Matches
