Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
66,Lilian Brassier,fr FRA,DF,Marseille,24-333,1999,4.9,0,3,1,33.3,0.61,0.20,0.00,0.00,12.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
67,Aurélio Buta,pt POR,DF,Reims,27-233,1997,3.7,0,2,0,0.0,0.54,0.00,0.00,,17.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
68,Marcin Bułka,pl POL,GK,Nice,24-362,1999,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Rémy Cabella,fr FRA,"MF,FW",Lille,34-206,1990,2.9,0,7,2,28.6,2.42,0.69,0.00,0.00,15.6,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
70,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,27-189,1997,4.4,1,15,9,60.0,3.40,2.04,0.07,0.11,20.0,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
71,Duje Ćaleta-Car,hr CRO,DF,Lyon,28-013,1996,6.0,1,3,1,33.3,0.50,0.17,0.33,1.00,8.7,0,0,0,0.7,0.7,0.22,+0.3,+0.3,Matches
72,Issiaga Camara,gn GUI,MF,Nice,19-241,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
73,Lamine Camara,sn SEN,MF,Monaco,20-273,2004,3.7,2,6,3,50.0,1.60,0.80,0.33,0.67,18.0,0,0,0,0.6,0.6,0.11,+1.4,+1.4,Matches
74,Mahdi Camara,fr FRA,MF,Brest,26-092,1998,5.1,2,9,6,66.7,1.78,1.18,0.22,0.33,18.9,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
75,Axel Camblan,fr FRA,"MF,FW",Brest,21-031,2003,0.3,0,1,0,0.0,3.46,0.00,0.00,,16.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
