Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
47,Dylan Batubinsika,cd COD,DF,Saint-Étienne,28-228,1996,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,13,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
48,Haris Belkebla,dz ALG,MF,Angers,30-246,1994,3,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,15,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
49,Yassin Belkhdim,fr FRA,MF,Angers,22-229,2002,6,3,279,3.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,6,6,11,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,Matches
50,Eliesse Ben Seghir,ma MAR,"FW,MF",Monaco,19-227,2005,6,5,394,4.4,2,0,2,2,0,0,0,0,1.0,1.0,1.7,2.7,33,31,40,0.46,0.00,0.46,0.46,0.46,0.22,0.39,0.61,0.22,0.61,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Saïd Benrahma,dz ALG,"FW,MF",Lyon,29-051,1995,3,3,260,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.6,15,9,39,0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.20,0.04,0.20,Matches
52,Lucas Beraldo,br BRA,DF,Paris S-G,20-311,2003,5,5,442,4.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,3,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
53,Dimitry Bertaud,cd COD,GK,Montpellier,26-116,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,Emmanuel Biumla,fr FRA,DF,Angers,19-145,2005,4,3,283,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Marco Bizot,nl NED,GK,Brest,33-204,1991,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
