stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,3.1,1,0,0,2,7,3,2,1,0,0,0,0,4,2,10,16.7
,,5.0,1,0,0,10,3,0,1,6,8,0,0,0,20,11,7,61.1
,,4.0,0,0,0,7,6,0,27,3,7,0,0,0,21,9,10,47.4
,,0.7,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0.0
,,4.5,1,0,0,2,2,0,19,1,5,0,0,0,16,2,1,66.7
,,1.1,0,0,0,1,0,3,2,0,1,0,0,0,2,0,0,0.0
,,2.7,1,0,0,2,2,2,1,0,3,0,0,0,1,3,6,33.3
,,2.3,1,0,0,4,2,0,15,2,0,0,0,0,15,0,3,0.0
,,4.4,0,0,0,3,3,0,25,6,4,0,0,0,26,3,2,60.0
,,3.8,0,0,0,4,4,0,3,2,3,0,0,0,11,0,3,0.0
,,0.9,0,0,0,0,1,0,5,0,2,0,0,0,3,1,1,50.0
,,3.9,2,0,0,5,0,0,18,1,8,0,0,0,14,3,4,42.9
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,1.3,0,0,0,0,2,0,1,0,2,0,0,0,2,2,0,100.0
,,1.8,1,0,0,1,4,0,2,2,4,0,0,0,5,2,4,33.3
,,3.1,1,0,0,2,4,0,1,7,4,0,0,0,23,4,9,30.8
,,3.7,0,0,0,2,1,1,24,2,3,0,0,0,14,1,2,33.3
,,5.0,1,0,0,4,0,0,0,7,2,0,1,0,19,6,5,54.5
,,0.3,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,50.0
,,5.0,3,0,0,4,2,0,1,7,4,0,0,0,24,9,8,52.9
,,1.4,1,0,0,1,3,0,6,1,1,0,0,0,3,2,5,28.6
,,2.1,0,0,0,6,4,0,10,4,6,0,1,0,7,3,4,42.9
,,0.5,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,50.0
,,4.7,0,0,0,3,6,0,9,3,5,0,0,0,13,1,6,14.3
,,5.2,0,0,0,5,6,2,7,3,0,0,0,0,15,25,28,47.2
,,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
,,0.5,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,50.0
,,2.1,0,0,0,0,0,0,0,3,0,0,0,0,9,6,7,46.2
,,1.4,1,0,0,4,2,0,2,4,2,0,0,0,10,0,0,0.0
,,1.5,0,0,0,1,1,1,12,1,1,0,0,0,6,0,2,0.0
,,4.2,2,0,0,4,11,0,2,6,5,0,0,0,17,6,2,75.0
,,2.0,0,0,0,3,2,0,0,2,2,0,0,1,5,8,1,88.9
,,2.0,0,1,0,4,2,0,3,0,5,0,0,0,7,1,5,16.7
,,1.5,0,0,0,1,0,0,3,0,1,0,0,0,3,1,7,12.5
,,2.0,1,0,0,4,2,6,1,0,2,0,0,0,3,8,11,42.1
,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0
,,1.9,0,0,0,3,2,0,4,0,2,0,0,0,6,3,4,42.9
,,0.3,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,66.7
,,0.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
,,1.1,0,0,0,1,1,0,9,2,3,0,0,0,2,0,2,0.0
,,5.0,2,0,0,10,3,0,9,7,10,0,0,0,15,0,2,0.0
,,2.1,0,0,0,2,3,1,3,1,1,0,0,0,12,1,1,50.0
,,4.2,0,0,0,4,8,0,3,6,4,0,0,0,20,1,8,11.1
,,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
,,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,2.6,1,1,0,2,2,0,0,0,0,0,0,0,5,3,8,27.3
,,1.0,0,0,0,0,0,0,0,3,2,0,0,0,11,0,0,0.0
,,3.7,2,0,0,8,3,0,0,3,2,0,0,0,8,6,5,54.5
,,2.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0
,,3.0,1,0,0,5,9,0,6,1,2,0,0,0,18,1,5,16.7
,,1.9,0,0,0,2,2,0,0,1,0,0,0,0,6,3,0,100.0
