stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,3.3,176,4,32,113,35,6,176,2,0,0.0,1,50.0,94,520.0,237.0,3,5,0,7,3,123,9
,,3.2,246,36,131,113,3,2,246,0,0,0.0,0,0.0,158,753.0,425.0,1,0,0,2,0,193,1
,,0.9,24,0,1,7,16,3,24,0,0,0.0,0,0.0,12,38.0,9.0,0,0,0,3,2,19,4
,,3.2,131,4,16,58,59,12,131,11,3,27.3,6,54.5,84,476.0,166.0,6,2,2,6,2,89,24
,,0.7,14,0,1,2,11,5,14,0,0,0.0,0,0.0,7,35.0,1.0,0,0,0,0,0,10,2
,,4.2,301,46,187,106,8,2,301,0,0,0.0,0,0.0,163,736.0,423.0,1,0,0,1,0,198,0
,,1.9,120,2,14,63,45,6,120,1,1,100.0,0,0.0,69,381.0,148.0,2,0,0,0,2,92,11
,,2.1,71,0,7,24,40,12,71,7,2,28.6,3,42.9,47,359.0,154.0,4,3,4,9,1,59,20
,,1.9,33,0,4,12,17,7,33,0,0,0.0,0,0.0,13,39.0,18.0,1,0,1,1,0,24,7
,,2.3,81,3,8,37,37,17,81,4,1,25.0,2,50.0,35,203.0,83.0,2,4,0,4,6,60,13
,,1.3,77,4,24,48,6,1,77,2,0,0.0,2,100.0,31,146.0,71.0,0,0,0,3,1,41,4
,,3.0,193,23,104,86,4,2,193,1,1,100.0,0,0.0,101,334.0,174.0,0,1,0,4,0,136,0
,,3.7,339,12,57,230,58,3,339,3,2,66.7,1,33.3,211,1034.0,478.0,5,2,0,4,1,255,3
,,2.7,144,11,33,61,55,4,144,2,1,50.0,1,50.0,59,423.0,211.0,6,2,0,2,1,75,13
,,0.5,34,1,3,14,18,2,34,4,2,50.0,2,50.0,17,93.0,36.0,0,0,0,1,3,23,6
,,4.0,174,17,65,55,55,5,174,5,2,40.0,2,40.0,80,448.0,247.0,7,6,1,3,1,78,17
,,5.0,195,140,195,0,0,0,195,0,0,0.0,0,0.0,135,672.0,508.0,0,0,0,0,0,127,0
,,0.3,27,8,14,10,3,0,27,1,0,0.0,1,100.0,12,45.0,18.0,0,0,0,1,1,13,1
,,0.1,3,0,1,2,0,0,3,0,0,0.0,0,0.0,2,30.0,12.0,0,0,0,0,0,2,0
,,0.1,4,1,2,2,0,0,4,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
,,2.3,80,0,3,32,45,7,80,6,5,83.3,0,0.0,38,254.0,89.0,3,2,2,4,1,63,11
,,4.9,291,17,82,179,31,1,291,2,2,100.0,0,0.0,104,418.0,109.0,1,2,0,9,4,168,5
,,3.5,227,12,69,127,34,2,227,3,2,66.7,1,33.3,81,347.0,176.0,4,0,2,2,1,112,7
,,1.3,69,0,2,39,29,4,69,7,4,57.1,3,42.9,38,163.0,43.0,1,1,1,8,3,51,5
,,2.9,149,0,10,48,92,14,149,6,3,50.0,3,50.0,84,461.0,217.0,6,3,2,5,1,104,34
,,3.4,170,9,30,97,45,3,170,7,3,42.9,2,28.6,75,432.0,157.0,3,2,0,4,3,104,15
,,3.9,113,0,9,45,62,12,113,10,4,40.0,4,40.0,74,342.0,104.0,3,3,1,25,11,92,25
,,4.7,235,18,68,134,36,3,235,3,2,66.7,1,33.3,105,455.0,223.0,4,3,1,9,2,119,1
,,0.1,9,1,1,3,5,0,9,1,1,100.0,0,0.0,6,32.0,11.0,0,0,0,0,0,8,4
,,5.0,263,33,156,101,10,1,263,1,1,100.0,0,0.0,132,746.0,381.0,2,1,0,2,0,144,2
,,5.0,377,14,60,205,115,6,377,6,4,66.7,2,33.3,242,1580.0,839.0,10,17,0,7,1,282,12
,,4.9,368,12,78,216,78,1,368,0,0,0.0,0,0.0,171,678.0,348.0,3,2,0,5,3,241,3
,,3.8,224,12,61,90,77,2,224,15,6,40.0,6,40.0,100,660.0,397.0,13,14,0,8,2,113,15
,,1.0,77,1,12,26,39,3,77,5,4,80.0,1,20.0,44,164.0,86.0,2,3,2,2,0,51,15
,,4.1,115,11,14,73,28,11,115,5,1,20.0,3,60.0,48,176.0,44.0,1,1,0,15,2,78,10
,,2.2,110,4,29,69,13,0,110,3,2,66.7,1,33.3,50,302.0,178.0,2,1,0,2,4,64,3
,,4.9,210,5,29,67,116,17,210,16,6,37.5,9,56.3,106,689.0,391.0,16,8,4,6,7,115,34
,,0.3,29,2,2,19,11,3,29,3,2,66.7,1,33.3,17,114.0,35.0,1,0,2,2,1,18,6
,,1.1,50,5,16,20,15,0,50,1,1,100.0,0,0.0,19,76.0,43.0,2,3,0,0,2,28,4
,,1.0,25,1,1,12,12,7,24,2,0,0.0,1,50.0,15,88.0,45.0,2,0,1,3,0,18,7
,,4.0,130,118,128,2,0,0,130,0,0,0.0,0,0.0,60,269.0,172.0,0,0,0,0,0,49,0
,,1.2,71,0,24,39,8,1,71,0,0,0.0,0,0.0,36,228.0,68.0,2,0,0,3,0,41,7
,,4.1,309,30,143,160,7,2,309,2,2,100.0,0,0.0,190,1074.0,674.0,1,2,0,3,3,200,1
,,4.6,180,7,19,50,111,18,180,18,8,44.4,9,50.0,109,592.0,304.0,14,5,7,11,10,144,46
,,3.4,140,0,12,49,81,20,140,25,10,40.0,14,56.0,90,683.0,362.0,15,6,9,7,6,102,35
,,1.5,113,12,60,54,0,0,113,0,0,0.0,0,0.0,79,358.0,151.0,1,0,0,1,0,81,0
,,4.9,293,3,26,96,179,28,293,43,16,37.2,19,44.2,195,1444.0,752.0,23,14,10,10,7,237,65
,,1.9,36,2,3,11,23,8,36,0,0,0.0,0,0.0,19,103.0,40.0,3,1,0,4,1,20,4
,,3.7,131,0,10,45,78,9,131,21,9,42.9,11,52.4,92,808.0,424.0,15,8,8,10,4,101,23
,,3.4,222,29,123,96,3,2,222,0,0,0.0,0,0.0,125,790.0,543.0,4,0,0,2,1,145,0
,,5.5,375,25,95,232,50,9,375,2,1,50.0,1,50.0,185,1061.0,537.0,10,6,0,5,4,256,9
