stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,0.1,2,2,100.0,34.0,18.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,1.1,11,21,52.4,203.0,16.0,5,8,62.5,4,11,36.4,2,2,100.0,0,0.0,0.0,0.0,1,2,0,2
,,0.9,13,17,76.5,146.0,44.0,11,13,84.6,2,4,50.0,0,0,0.0,0,0.0,0.0,0.0,0,1,1,1
,,4.0,82,114,71.9,1568.0,681.0,26,33,78.8,46,57,80.7,9,20,45.0,0,0.0,0.0,0.0,0,5,0,9
,,1.3,15,22,68.2,210.0,66.0,11,15,73.3,2,3,66.7,1,1,100.0,0,0.1,0.0,0.0,1,0,1,2
,,2.5,170,192,88.5,3179.0,1169.0,53,55,96.4,100,109,91.7,12,21,57.1,0,0.0,0.0,0.0,1,13,0,15
,,0.3,33,35,94.3,677.0,177.0,6,6,100.0,26,28,92.9,1,1,100.0,0,0.0,0.0,0.0,0,1,0,2
,,2.3,25,34,73.5,332.0,56.0,14,19,73.7,8,10,80.0,1,1,100.0,0,0.1,0.0,0.0,0,1,0,3
,,0.9,18,24,75.0,196.0,12.0,10,11,90.9,5,6,83.3,0,2,0.0,1,0.0,0.2,0.8,2,0,0,1
,,3.8,36,54,66.7,435.0,6.0,25,35,71.4,7,11,63.6,0,3,0.0,0,0.0,0.1,-0.1,2,0,0,0
,,2.9,117,148,79.1,1753.0,377.0,67,74,90.5,40,51,78.4,6,12,50.0,0,0.3,0.3,-0.3,10,6,1,14
,,2.7,154,181,85.1,2789.0,974.0,57,63,90.5,83,92,90.2,11,21,52.4,0,0.0,0.1,-0.1,2,14,0,10
,,3.8,73,138,52.9,1293.0,381.0,39,51,76.5,20,34,58.8,11,37,29.7,1,0.3,0.7,0.3,5,8,1,11
,,0.1,3,4,75.0,21.0,4.0,2,2,100.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,3.4,71,121,58.7,1165.0,698.0,36,40,90.0,29,53,54.7,5,20,25.0,0,0.0,0.0,0.0,1,10,0,8
,,2.6,82,111,73.9,957.0,320.0,61,76,80.3,19,25,76.0,0,2,0.0,0,0.1,0.0,0.0,1,8,0,14
,,1.0,14,21,66.7,193.0,88.0,6,9,66.7,5,7,71.4,1,1,100.0,0,0.0,0.0,0.0,1,1,1,0
,,2.0,67,82,81.7,1052.0,381.0,38,43,88.4,20,23,87.0,6,10,60.0,1,0.8,0.5,0.5,6,5,2,10
,,5.0,276,310,89.0,5073.0,1500.0,114,119,95.8,135,146,92.5,24,36,66.7,0,0.3,0.1,-0.1,2,26,3,28
,,0.5,11,12,91.7,133.0,57.0,9,9,100.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,3
,,3.3,130,167,77.8,2045.0,830.0,70,78,89.7,47,61,77.0,9,20,45.0,0,0.2,1.0,-1.0,9,21,1,31
,,0.3,9,12,75.0,108.0,30.0,6,7,85.7,3,4,75.0,0,0,0.0,0,0.0,0.0,0.0,1,1,0,1
,,2.4,98,143,68.5,1650.0,342.0,48,58,82.8,41,57,71.9,8,18,44.4,0,0.3,0.1,-0.1,1,9,1,6
,,2.9,150,173,86.7,3016.0,874.0,54,56,96.4,76,79,96.2,20,32,62.5,0,0.0,0.0,0.0,1,18,0,14
,,2.8,49,69,71.0,605.0,180.0,26,33,78.8,15,19,78.9,1,5,20.0,0,0.0,0.0,0.0,0,2,0,5
,,3.3,51,77,66.2,755.0,195.0,28,36,77.8,19,26,73.1,2,4,50.0,1,0.2,0.1,0.9,3,4,1,4
,,0.9,48,62,77.4,736.0,182.0,26,28,92.9,18,21,85.7,3,9,33.3,0,0.1,0.1,-0.1,2,1,1,1
,,0.6,20,27,74.1,343.0,86.0,7,10,70.0,12,14,85.7,0,2,0.0,0,0.0,0.0,0.0,0,0,0,3
,,2.1,52,69,75.4,713.0,222.0,41,47,87.2,9,16,56.3,2,4,50.0,0,0.0,0.0,0.0,0,5,0,8
,,2.7,51,79,64.6,873.0,392.0,25,35,71.4,18,25,72.0,7,14,50.0,0,0.2,0.0,0.0,1,2,3,10
,,1.0,37,40,92.5,621.0,251.0,19,21,90.5,15,15,100.0,3,3,100.0,0,0.0,0.0,0.0,0,4,0,3
,,1.8,109,119,91.6,1687.0,320.0,66,67,98.5,35,38,92.1,6,10,60.0,0,0.2,0.2,-0.2,2,11,2,13
,,5.0,130,180,72.2,3620.0,2769.0,21,21,100.0,62,63,98.4,46,94,48.9,0,0.0,0.0,0.0,0,2,0,0
,,3.7,126,170,74.1,2310.0,583.0,68,79,86.1,38,49,77.6,17,26,65.4,0,0.5,0.3,-0.3,5,17,0,16
,,2.0,78,89,87.6,1470.0,403.0,28,31,90.3,42,45,93.3,8,12,66.7,0,0.2,0.1,-0.1,2,4,0,4
,,5.0,141,167,84.4,3168.0,2010.0,42,42,100.0,72,75,96.0,27,49,55.1,0,0.0,0.0,0.0,0,1,0,0
,,4.3,125,151,82.8,1724.0,344.0,81,90,90.0,39,43,90.7,2,8,25.0,0,0.6,0.5,-0.5,6,5,2,17
,,1.3,17,22,77.3,206.0,22.0,12,14,85.7,4,6,66.7,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,2.0,91,107,85.0,1424.0,419.0,52,54,96.3,28,34,82.4,8,12,66.7,0,0.1,0.1,-0.1,2,3,0,10
,,1.5,75,82,91.5,1420.0,537.0,23,25,92.0,46,48,95.8,6,8,75.0,0,0.0,0.0,0.0,0,0,0,2
,,4.6,169,224,75.4,2692.0,662.0,106,121,87.6,39,51,76.5,19,40,47.5,1,1.1,1.1,-0.1,6,16,1,11
,,1.3,22,31,71.0,309.0,77.0,10,12,83.3,7,9,77.8,2,6,33.3,0,0.1,0.0,0.0,0,1,0,3
,,0.5,42,51,82.4,754.0,181.0,20,23,87.0,18,20,90.0,4,5,80.0,0,0.0,0.0,0.0,0,5,0,6
,,0.5,10,17,58.8,171.0,61.0,7,11,63.6,1,3,33.3,2,2,100.0,0,0.0,0.0,0.0,0,0,0,1
,,1.0,27,32,84.4,357.0,104.0,18,19,94.7,9,12,75.0,0,0,0.0,0,0.1,0.0,0.0,0,1,0,1
,,3.4,85,99,85.9,1469.0,256.0,31,36,86.1,50,51,98.0,2,6,33.3,0,0.0,0.0,0.0,0,3,0,1
,,4.0,79,120,65.8,2466.0,1912.0,10,10,100.0,41,41,100.0,28,69,40.6,0,0.0,0.0,0.0,0,1,0,0
,,4.0,139,186,74.7,2521.0,713.0,70,84,83.3,44,56,78.6,21,31,67.7,2,1.1,0.7,1.3,9,13,0,22
,,1.0,23,27,85.2,579.0,375.0,4,4,100.0,13,13,100.0,6,10,60.0,0,0.0,0.0,0.0,0,0,0,0
,,0.0,2,5,40.0,48.0,39.0,0,2,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,1
,,2.8,141,154,91.6,1847.0,537.0,84,88,95.5,50,54,92.6,0,4,0.0,0,0.0,0.0,0.0,0,12,0,7
,,2.7,88,107,82.2,1509.0,485.0,45,48,93.8,36,38,94.7,6,12,50.0,0,0.1,0.1,-0.1,2,12,0,16
,,3.3,122,153,79.7,2173.0,550.0,53,60,88.3,57,67,85.1,11,19,57.9,0,0.1,0.2,-0.2,3,22,0,25
,,2.2,73,95,76.8,1414.0,501.0,28,33,84.8,36,44,81.8,9,14,64.3,0,0.0,0.0,0.0,0,11,0,13
,,2.3,80,99,80.8,1430.0,358.0,33,40,82.5,40,47,85.1,7,12,58.3,0,0.0,0.0,0.0,0,6,0,6
,,1.9,83,99,83.8,1264.0,350.0,48,50,96.0,28,34,82.4,5,7,71.4,0,0.7,0.6,-0.6,5,11,1,13
,,1.5,34,57,59.6,579.0,211.0,17,21,81.0,10,19,52.6,5,12,41.7,1,0.1,0.1,0.9,3,7,0,6
,,3.5,98,121,81.0,1671.0,477.0,44,51,86.3,39,47,83.0,11,15,73.3,0,0.1,0.1,-0.1,2,12,1,17
