stat_id,player_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.4,3,0.89,0,3,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.6,5,1.94,3,0,1,1,0,0,1,0.39,0,0,0,1,0,0
,,1.0,2,1.89,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,2.0,12,6.0,9,2,0,0,0,1,1,0.5,0,1,0,0,0,0
,,5.0,10,2.0,7,1,1,0,0,1,1,0.2,1,0,0,0,0,0
,,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.3,19,5.68,17,1,0,1,0,0,1,0.3,1,0,0,0,0,0
,,0.3,1,3.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.4,3,1.22,1,0,1,1,0,0,0,0.0,0,0,0,0,0,0
,,2.9,3,1.03,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,2.8,1,0.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.3,7,2.14,5,0,1,0,1,0,2,0.61,1,0,1,0,0,0
,,0.9,5,5.49,3,2,0,0,0,0,1,1.1,1,0,0,0,0,0
,,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.1,3,1.41,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0
,,2.7,8,3.0,5,0,1,0,1,1,1,0.37,1,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.8,3,1.68,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.7,13,3.53,8,4,0,1,0,0,1,0.27,0,0,0,1,0,0
,,2.0,3,1.5,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.3,18,4.15,15,0,2,0,0,1,2,0.46,2,0,0,0,0,0
,,1.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.0,5,2.51,3,2,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.5,1,0.67,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.6,12,2.58,4,6,1,1,0,0,1,0.22,1,0,0,0,0,0
,,1.3,4,3.21,1,1,1,0,1,0,0,0.0,0,0,0,0,0,0
,,0.5,2,4.0,2,0,0,0,0,0,1,2.0,1,0,0,0,0,0
,,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.4,1,0.3,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,13,3.25,10,3,0,0,0,0,3,0.75,3,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.8,2,0.72,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,7,2.61,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,3.3,7,2.15,6,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,3,1.38,3,0,0,0,0,0,1,0.46,1,0,0,0,0,0
,,2.3,2,0.87,2,0,0,0,0,0,1,0.43,1,0,0,0,0,0
,,1.9,13,6.72,7,2,1,3,0,0,3,1.55,0,1,0,2,0,0
,,1.5,5,3.33,4,0,1,0,0,0,1,0.67,1,0,0,0,0,0
,,3.5,9,2.57,7,0,1,1,0,0,4,1.14,3,0,1,0,0,0
,,3.3,3,0.92,2,0,0,1,0,0,1,0.31,1,0,0,0,0,0
,,5.0,11,2.2,10,1,0,0,0,0,1,0.2,1,0,0,0,0,0
,,0.7,1,1.38,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.7,7,1.48,7,0,0,0,0,0,1,0.21,1,0,0,0,0,0
,,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.2,3,2.45,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,8,2.7,7,0,0,0,1,0,1,0.34,1,0,0,0,0,0
,,5.0,3,0.61,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.8,1,1.32,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,13,3.25,6,4,3,0,0,0,1,0.25,0,1,0,0,0,0
,,2.7,2,0.74,1,0,0,0,1,0,1,0.37,0,0,0,0,1,0
,,0.8,3,3.6,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,5.0,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,7,3.13,4,2,0,1,0,0,1,0.45,1,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,7,2.58,4,0,1,1,1,0,1,0.37,1,0,0,0,0,0
,,0.3,3,10.0,2,1,0,0,0,0,1,3.33,0,1,0,0,0,0
,,1.4,1,0.7,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.8,29,5.99,18,0,4,2,4,1,4,0.83,1,0,1,0,2,0
,,3.4,3,0.88,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.4,8,2.33,7,0,0,0,1,0,2,0.58,2,0,0,0,0,0
,,4.0,8,1.99,8,0,0,0,0,0,1,0.25,1,0,0,0,0,0
,,5.0,10,2.0,10,0,0,0,0,0,1,0.2,1,0,0,0,0,0
,,4.4,6,1.37,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.2,16,3.83,8,3,1,0,2,2,1,0.24,0,0,1,0,0,0
,,3.7,1,0.27,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,4,2.07,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.5,6,3.88,5,1,0,0,0,0,1,0.65,1,0,0,0,0,0
,,5.0,1,0.2,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,5.0,2,0.4,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,3,1.33,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,4.6,17,3.73,10,0,2,3,2,0,0,0.0,0,0,0,0,0,0
