stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,5,343,3.8,4,81.0,1,1,20.0,0,0.2,3,8,-5,-1.31,2.6,6.6,-4.0,-1.06
,,3,93,1.0,1,75.0,0,2,9.0,2,1.67,1,1,0,0.0,2.2,1.0,1.2,1.16
,,5,368,4.1,5,74.0,2,0,0.0,0,1.4,4,4,0,0.0,4.8,5.5,-0.7,-0.17
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,5,198,2.2,2,59.0,0,3,27.0,0,1.4,3,3,0,0.0,2.4,3.7,-1.3,-0.59
,,5,437,4.9,5,87.0,2,0,0.0,0,1.4,7,6,1,0.21,6.4,5.3,1.1,0.24
,,4,29,0.3,0,0.0,0,4,7.0,1,3.0,0,1,-1,-3.1,0.8,0.7,0.1,0.35
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,101,1.1,1,90.0,1,1,11.0,3,1.5,0,4,-4,-3.56,0.1,2.5,-2.4,-2.15
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,86,1.0,1,62.0,0,2,12.0,2,1.0,1,2,-1,-1.05,1.8,1.3,0.4,0.46
,,4,360,4.0,4,90.0,4,0,0.0,1,1.5,10,9,1,0.25,6.5,6.9,-0.5,-0.11
,,4,111,1.2,1,57.0,0,3,18.0,1,0.5,1,3,-2,-1.62,0.8,2.0,-1.2,-1.0
,,5,370,4.1,4,90.0,4,1,10.0,0,1.4,5,5,0,0.0,4.5,5.0,-0.5,-0.13
,,5,417,4.6,5,83.0,3,0,0.0,0,1.4,6,5,1,0.22,4.6,4.5,0.1,0.03
,,5,302,3.4,3,83.0,2,2,26.0,0,1.4,3,4,-1,-0.3,2.7,4.6,-1.8,-0.54
,,2,135,1.5,2,68.0,1,0,0.0,3,1.0,2,2,0,0.0,3.2,1.2,2.0,1.35
,,5,442,4.9,5,88.0,1,0,0.0,0,3.0,17,4,13,2.65,12.3,4.1,8.2,1.67
,,2,167,1.9,2,84.0,1,0,0.0,0,0.5,0,1,-1,-0.54,1.3,1.4,-0.1,-0.06
,,5,333,3.7,4,76.0,1,1,31.0,0,1.4,6,6,0,0.0,2.9,5.3,-2.4,-0.64
,,4,305,3.4,4,76.0,2,0,0.0,0,0.25,1,5,-4,-1.18,2.6,5.1,-2.5,-0.73
,,6,495,5.5,5,90.0,5,1,45.0,0,0.67,3,7,-4,-0.73,3.9,7.8,-3.9,-0.71
