stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,2,99,1.1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.27,0.3,0.27,0.1,0.13,0.4,0.4
,,6,370,4.1,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.02,0.1,0.02,0.3,0.08,0.4,0.1
,,5,227,2.5,3,0,0.0,1,0.4,1,0.4,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.6,0.63,1.6,0.63
,,1,19,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.04,0.0,0.04,0.0,0.05,0.1,0.09
,,3,155,1.7,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,120,1.3,2,1,0.75,1,0.75,2,1.5,1,0.75,0,0,0,0,0.3,0.23,0.3,0.23,0.3,0.25,0.6,0.48
,,1,6,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,102,1.1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.2,0.2,0.2,0.0,0.03,0.3,0.22
,,2,84,0.9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.01,0.1,0.01,0.0,0.0,0.1,0.01
,,3,115,1.3,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.11,0.1,0.11,0.0,0.01,0.2,0.12
,,3,225,2.5,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02
,,1,30,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,208,2.3,2,1,0.43,0,0.0,1,0.43,1,0.43,0,0,0,0,1.1,0.48,1.1,0.48,0.0,0.0,1.1,0.48
,,2,79,0.9,1,0,0.0,1,1.14,1,1.14,0,0.0,0,0,0,0,0.1,0.06,0.1,0.06,0.2,0.28,0.3,0.35
,,4,344,3.8,4,2,0.52,0,0.0,2,0.52,2,0.52,0,0,1,0,1.2,0.33,1.2,0.32,0.1,0.03,1.3,0.34
