stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,333,3.7,4,2,0.54,2,0.54,4,1.08,2,0.54,0,0,0,0,1.4,0.38,1.4,0.38,0.7,0.18,2.1,0.56
,,2,52,0.6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.07
,,2,95,1.1,1,0,0.0,1,0.95,1,0.95,0,0.0,0,0,0,0,0.2,0.24,0.2,0.24,0.1,0.09,0.3,0.33
,,2,154,1.7,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,76,0.8,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,123,1.4,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.16,0.2,0.16,0.0,0.0,0.2,0.16
,,3,270,3.0,3,1,0.33,1,0.33,2,0.67,1,0.33,0,0,1,0,0.2,0.07,0.2,0.07,0.5,0.16,0.7,0.23
,,1,80,0.9,1,1,1.13,0,0.0,1,1.13,1,1.13,0,0,0,0,0.2,0.17,0.2,0.17,0.0,0.0,0.2,0.17
,,2,76,0.8,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.05,0.0,0.05,0.0,0.01,0.1,0.07
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.03,0.1,0.03,0.0,0.0,0.1,0.03
,,2,175,1.9,2,0,0.0,1,0.51,1,0.51,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.05
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,171,1.9,2,0,0.0,1,0.53,1,0.53,0,0.0,0,0,0,0,0.4,0.23,0.4,0.23,0.7,0.35,1.1,0.58
,,4,314,3.5,4,1,0.29,0,0.0,1,0.29,1,0.29,0,0,2,0,0.8,0.22,0.8,0.22,0.3,0.09,1.1,0.31
,,4,359,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.6,0.15,0.6,0.15,0.0,0.0,0.6,0.15
,,1,4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,268,3.0,3,1,0.34,1,0.34,2,0.67,1,0.34,0,0,2,1,0.3,0.09,0.3,0.09,0.4,0.14,0.7,0.23
,,4,349,3.9,4,2,0.52,0,0.0,2,0.52,2,0.52,0,0,1,0,0.5,0.13,0.5,0.13,0.2,0.05,0.7,0.18
,,2,26,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.17
,,3,172,1.9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02
,,4,344,3.8,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.08,0.3,0.08,0.3,0.07,0.6,0.15
,,2,38,0.4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.07,0.0,0.07,0.0,0.1,0.1,0.17
,,4,276,3.1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.6,0.19,0.6,0.19,0.1,0.04,0.7,0.23
,,4,275,3.1,3,0,0.0,1,0.33,1,0.33,0,0.0,0,0,1,0,0.1,0.05,0.1,0.05,0.2,0.06,0.3,0.11
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.03,0.1,0.03,0.0,0.0,0.1,0.03
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.03,0.1,0.03,0.0,0.0,0.1,0.03
,,3,223,2.5,3,1,0.4,0,0.0,1,0.4,1,0.4,0,0,0,0,0.1,0.05,0.1,0.05,0.3,0.1,0.4,0.15
,,1,3,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,261,2.9,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.15,0.4,0.15,0.2,0.06,0.6,0.21
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,357,4.0,4,0,0.0,1,0.25,1,0.25,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,0.2,0.05,0.3,0.07
,,3,219,2.4,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.03,0.1,0.03,0.0,0.0,0.1,0.03
,,4,333,3.7,4,1,0.27,1,0.27,2,0.54,1,0.27,0,0,0,0,0.5,0.14,0.5,0.14,0.6,0.17,1.2,0.31
,,4,188,2.1,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.01,0.0,0.01,0.1,0.03,0.1,0.05
,,3,253,2.8,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,173,1.9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.2,0.12,0.2,0.12
,,3,134,1.5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.6,0.38,0.6,0.38,0.1,0.07,0.7,0.45
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
,,2,38,0.4,0,1,2.37,0,0.0,1,2.37,1,2.37,0,0,0,0,0.2,0.52,0.2,0.52,0.0,0.0,0.2,0.52
,,1,17,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,131,1.5,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.06,0.1,0.06,0.1,0.07,0.2,0.13
,,1,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,251,2.8,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.07,0.2,0.07,0.5,0.17,0.7,0.24
,,3,50,0.6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,180,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.0,0.02,0.1,0.04
,,4,338,3.8,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,45,0.5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.32,0.2,0.32,0.0,0.0,0.2,0.32
,,4,193,2.1,1,1,0.47,0,0.0,1,0.47,1,0.47,0,0,0,0,0.6,0.3,0.6,0.3,0.1,0.05,0.7,0.34
,,4,331,3.7,4,0,0.0,1,0.27,1,0.27,0,0.0,0,0,0,0,0.3,0.08,0.3,0.08,0.2,0.06,0.5,0.14
,,1,5,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,332,3.7,4,2,0.54,1,0.27,3,0.81,0,0.0,2,3,0,0,2.7,0.74,0.4,0.1,0.4,0.11,0.8,0.21
,,4,233,2.6,3,3,1.16,2,0.77,5,1.93,3,1.16,0,0,1,0,1.6,0.6,1.6,0.6,2.5,0.95,4.0,1.55
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,20,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.27,0.1,0.27
