stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,4,285,3.2,3,90.0,3,1,15.0,0,1.5,6,6,0,0.0,5.3,4.7,0.6,0.2
,,4,255,2.8,3,70.0,0,1,45.0,0,3.0,13,2,11,3.88,9.7,2.3,7.4,2.61
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,15,0.2,0,0.0,0,1,15.0,1,0.0,0,3,-3,-18.0,0.0,1.3,-1.3,-7.69
,,4,360,4.0,4,90.0,4,0,0.0,0,1.0,4,8,-4,-1.0,5.5,8.0,-2.5,-0.62
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,21,0.2,0,0.0,0,2,11.0,0,0.0,0,1,-1,-4.29,0.1,0.4,-0.3,-1.3
,,4,360,4.0,4,90.0,4,0,0.0,0,1.25,4,4,0,0.0,5.0,2.8,2.2,0.55
,,3,244,2.7,3,81.0,1,0,0.0,0,0.33,1,9,-8,-2.95,1.9,4.8,-2.9,-1.08
,,2,91,1.0,2,46.0,0,0,0.0,1,0.0,0,2,-2,-1.98,1.4,1.9,-0.5,-0.48
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,136,1.5,1,85.0,0,1,51.0,0,0.0,0,5,-5,-3.31,0.6,1.9,-1.3,-0.85
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,125,1.4,2,63.0,0,0,0.0,0,0.0,0,1,-1,-0.72,0.6,2.6,-2.1,-1.49
,,2,60,0.7,0,0.0,0,2,30.0,1,1.0,1,1,0,0.0,1.4,0.5,0.9,1.36
,,3,270,3.0,3,90.0,3,0,0.0,1,1.33,4,5,-1,-0.33,2.3,5.9,-3.5,-1.18
,,3,174,1.9,2,76.0,0,1,23.0,0,1.0,0,3,-3,-1.55,2.0,3.8,-1.8,-0.92
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,90.0,3,0,0.0,1,0.33,2,10,-8,-2.67,2.9,6.2,-3.3,-1.11
,,3,162,1.8,2,71.0,1,1,20.0,0,1.0,2,3,-1,-0.56,2.6,2.5,0.1,0.06
,,3,270,3.0,3,90.0,3,0,0.0,0,1.0,4,7,-3,-1.0,3.2,4.8,-1.6,-0.53
,,2,15,0.2,0,0.0,0,2,8.0,2,1.5,0,1,-1,-6.0,0.1,0.1,0.0,0.1
,,2,96,1.1,1,64.0,0,1,32.0,1,2.0,3,0,3,2.81,1.9,0.9,1.0,0.93
,,4,335,3.7,4,84.0,3,0,0.0,0,0.75,3,8,-5,-1.34,4.1,6.8,-2.8,-0.74
,,1,5,0.1,0,0.0,0,1,5.0,0,0.0,0,0,0,0.0,0.0,0.1,-0.1,-1.1
,,2,79,0.9,1,65.0,0,1,14.0,2,2.0,1,0,1,1.14,1.2,1.1,0.1,0.16
,,2,57,0.6,1,45.0,0,1,12.0,1,0.0,0,1,-1,-1.58,0.1,0.5,-0.4,-0.64
,,1,90,1.0,1,90.0,1,0,0.0,1,0.0,0,1,-1,-1.0,0.4,2.0,-1.5,-1.51
,,4,335,3.7,4,84.0,2,0,0.0,0,0.75,3,7,-4,-1.07,3.9,7.0,-3.1,-0.82
,,4,298,3.3,3,90.0,3,1,28.0,0,3.0,15,2,13,3.93,9.9,2.4,7.5,2.27
,,3,181,2.0,2,90.0,2,1,1.0,1,1.33,4,3,1,0.5,3.0,1.9,1.1,0.54
,,1,10,0.1,0,0.0,0,1,10.0,0,0.0,0,0,0,0.0,0.0,0.1,-0.1,-0.55
,,1,39,0.4,0,0.0,0,1,39.0,3,3.0,1,0,1,2.31,0.3,0.2,0.0,0.09
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,8,0.1,0,0.0,0,1,8.0,0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,131,1.5,1,69.0,0,3,21.0,0,0.75,3,7,-4,-2.75,2.9,3.1,-0.2,-0.11
,,4,360,4.0,4,90.0,4,0,0.0,0,1.0,4,8,-4,-1.0,5.5,8.0,-2.5,-0.62
,,4,295,3.3,4,74.0,0,0,0.0,0,0.75,2,6,-4,-1.22,3.5,5.4,-2.0,-0.6
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,7,0.1,0,0.0,0,1,7.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.62
,,1,90,1.0,1,90.0,1,0,0.0,0,1.0,1,1,0,0.0,2.3,0.9,1.3,1.34
,,1,19,0.2,1,19.0,0,0,0.0,0,3.0,1,0,1,4.74,0.1,0.0,0.1,0.35
,,3,42,0.5,0,0.0,0,3,14.0,1,0.33,0,1,-1,-2.14,0.5,0.4,0.2,0.37
,,4,340,3.8,4,85.0,3,0,0.0,0,0.75,3,8,-5,-1.32,4.0,7.3,-3.3,-0.88
,,4,360,4.0,4,90.0,4,0,0.0,0,1.25,4,4,0,0.0,5.0,2.8,2.2,0.55
,,4,360,4.0,4,90.0,4,0,0.0,0,1.5,5,4,1,0.25,5.5,4.5,1.1,0.26
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,80,0.9,1,72.0,0,2,4.0,1,3.0,2,1,1,1.13,0.5,1.8,-1.2,-1.39
,,4,261,2.9,3,86.0,2,1,3.0,0,1.0,2,5,-3,-1.03,3.5,3.3,0.3,0.1
,,3,68,0.8,0,0.0,0,3,23.0,0,2.33,1,1,0,0.0,1.4,1.9,-0.5,-0.63
,,3,139,1.5,1,90.0,1,2,25.0,0,3.0,5,2,3,1.94,4.1,1.6,2.5,1.64
,,4,360,4.0,4,90.0,4,0,0.0,0,2.5,12,4,8,2.0,6.9,5.0,1.9,0.47
,,2,84,0.9,1,62.0,0,1,22.0,0,1.5,0,0,0,0.0,0.9,0.9,-0.1,-0.08
,,4,360,4.0,4,90.0,4,0,0.0,0,0.25,2,13,-11,-2.75,3.2,7.5,-4.3,-1.07
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,90.0,4,0,0.0,0,0.25,2,13,-11,-2.75,3.2,7.5,-4.3,-1.07
,,4,258,2.9,2,90.0,1,2,40.0,0,1.5,4,1,3,1.05,3.7,2.0,1.7,0.6
,,3,185,2.1,3,62.0,0,0,0.0,1,1.67,1,0,1,0.49,2.8,1.2,1.6,0.78
,,1,11,0.1,0,0.0,0,1,11.0,0,0.0,0,0,0,0.0,0.1,0.0,0.1,0.86
