stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,3.8,232,40,140,90,5,5,232,0,0,0.0,0,0.0,125,650.0,266.0,1,0,0,0,0,145,0
,,1.1,23,0,0,9,14,3,23,1,0,0.0,1,100.0,13,64.0,27.0,1,0,1,1,1,19,7
,,4.0,147,124,145,2,0,0,147,0,0,0.0,0,0.0,73,411.0,225.0,0,0,0,0,0,76,0
,,4.0,300,24,143,134,25,1,300,2,1,50.0,0,0.0,149,569.0,290.0,1,0,0,1,1,199,3
,,0.8,38,0,4,25,9,0,38,2,0,0.0,2,100.0,15,95.0,43.0,2,1,0,3,1,24,3
,,4.0,162,116,161,1,0,0,162,0,0,0.0,0,0.0,104,546.0,362.0,0,0,0,0,0,84,0
,,0.1,3,1,1,1,1,0,3,0,0,0.0,0,0.0,2,8.0,0.0,0,0,0,0,0,2,1
,,3.0,95,4,21,51,23,2,95,3,3,100.0,0,0.0,44,224.0,97.0,5,1,0,1,2,49,8
,,0.1,2,0,0,1,1,0,2,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
,,1.0,46,1,22,17,8,1,46,1,0,0.0,1,100.0,23,66.0,22.0,0,0,0,3,0,25,1
,,4.0,207,22,104,96,9,3,207,0,0,0.0,0,0.0,126,623.0,435.0,2,3,0,1,0,134,1
,,0.4,24,2,3,15,6,0,24,3,1,33.3,2,66.7,19,144.0,110.0,4,0,0,0,1,17,2
,,0.1,8,0,0,2,6,3,8,1,0,0.0,1,100.0,5,20.0,5.0,0,0,0,0,1,6,3
,,0.1,1,0,0,1,0,0,1,1,0,0.0,1,100.0,2,53.0,0.0,0,1,0,0,2,2,1
,,1.4,74,1,15,24,35,2,74,3,2,66.7,1,33.3,31,172.0,94.0,3,2,0,2,3,43,10
,,1.6,114,6,23,62,30,3,114,2,1,50.0,1,50.0,56,349.0,163.0,5,4,1,3,1,78,13
,,0.1,5,0,0,2,3,0,5,1,0,0.0,1,100.0,4,26.0,11.0,1,1,0,1,1,4,4
,,1.3,93,1,17,67,11,0,93,6,4,66.7,2,33.3,58,181.0,89.0,0,0,0,0,0,63,0
,,3.0,120,4,35,70,16,1,120,5,2,40.0,3,60.0,53,192.0,41.0,0,0,0,2,4,75,5
,,1.9,48,1,1,30,17,5,48,3,0,0.0,3,100.0,25,111.0,37.0,2,0,2,5,2,30,7
,,3.1,156,10,42,62,53,6,156,4,2,50.0,2,50.0,49,160.0,46.0,2,1,2,3,4,68,9
,,0.2,19,0,0,13,6,0,19,0,0,0.0,0,0.0,14,66.0,19.0,0,1,0,0,0,15,0
,,4.0,120,98,119,1,0,0,120,1,1,100.0,0,0.0,65,289.0,208.0,0,0,0,0,0,57,0
,,2.5,186,6,50,104,32,0,186,0,0,0.0,0,0.0,125,472.0,257.0,3,7,0,3,0,149,8
,,0.7,42,1,5,27,10,2,42,3,0,0.0,3,100.0,26,128.0,62.0,1,0,0,0,0,29,3
,,0.7,33,1,6,17,10,3,33,5,1,20.0,4,80.0,23,69.0,5.0,0,1,0,5,3,25,4
,,2.2,205,21,72,124,10,1,205,0,0,0.0,0,0.0,152,768.0,465.0,2,2,0,0,0,172,0
,,1.9,117,1,31,75,12,1,117,2,2,100.0,0,0.0,54,213.0,102.0,2,2,0,2,0,85,0
