stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,3.6,1,0,0,6,9,1,0,0,2,0,0,0,5,4,1,80.0
,,2.0,1,0,0,0,6,0,4,3,3,0,0,0,9,2,3,40.0
,,1.0,0,0,0,3,5,0,1,0,3,0,0,0,5,0,0,0.0
,,0.6,0,0,0,1,2,0,4,0,0,0,0,0,5,3,0,100.0
,,0.9,0,0,0,1,0,0,1,3,2,0,0,0,7,0,0,0.0
,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,3.0,2,0,0,4,5,0,3,1,6,0,0,0,27,1,0,100.0
,,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,1.5,0,0,0,1,3,0,6,1,3,1,0,0,6,0,1,0.0
,,4.0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0
,,0.8,1,0,0,6,0,0,0,2,1,0,1,0,4,2,4,33.3
,,1.3,0,0,0,2,0,1,11,0,2,0,0,0,4,0,0,0.0
,,1.0,0,0,0,1,3,1,2,0,2,0,0,0,5,1,3,25.0
,,0.1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,100.0
,,0.1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,100.0
,,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
,,3.8,0,0,0,1,11,0,7,0,1,0,0,0,18,1,4,20.0
,,0.8,0,0,0,1,4,0,2,0,0,0,0,0,10,1,1,50.0
,,1.4,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0.0
,,0.3,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0.0
,,3.0,0,0,0,7,2,2,1,0,0,0,0,0,7,2,3,40.0
,,3.8,1,0,0,9,3,0,3,7,5,0,0,0,16,15,8,65.2
,,0.5,0,0,0,1,0,0,0,0,3,0,0,0,2,0,1,0.0
,,4.0,0,0,0,2,6,0,3,1,3,1,0,0,14,2,1,66.7
,,3.5,0,0,0,4,1,0,10,1,5,0,0,0,8,1,2,33.3
,,2.9,0,0,0,5,4,2,15,0,4,0,0,0,10,2,1,66.7
,,4.0,0,0,0,7,11,3,4,2,2,0,0,0,5,3,10,23.1
