stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,1.8,68,68,0,0,0,0,0,0,0,0,0,0,54,0,2
,,3.0,159,119,40,10,0,2,26,22,8,2,5,0,113,0,3
,,0.2,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0
,,1.1,17,17,0,0,0,0,0,0,0,0,0,0,11,0,3
,,3.7,221,210,11,3,0,1,0,1,0,0,0,0,203,0,2
,,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
,,0.9,50,42,8,2,0,2,0,6,0,0,0,0,42,0,0
,,0.6,17,17,0,0,0,0,0,0,0,0,0,0,15,0,0
,,1.0,32,26,6,0,0,0,1,6,0,0,0,0,20,0,1
,,3.7,158,156,2,1,0,1,1,1,0,0,0,0,133,0,2
,,3.3,294,286,8,3,0,0,0,5,0,0,0,0,276,0,2
,,2.0,81,78,3,1,0,0,1,2,0,0,0,0,75,0,1
,,0.1,11,8,3,0,0,0,1,3,0,0,0,0,6,0,0
,,0.4,19,11,7,1,0,0,2,6,0,0,0,0,14,1,0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1.5,38,35,3,2,0,0,5,0,1,0,1,0,28,0,2
,,4.0,124,90,32,8,0,1,0,0,0,0,0,0,80,2,0
,,3.3,139,115,24,8,1,1,21,1,12,4,6,0,108,0,4
,,0.1,9,7,1,0,0,0,0,1,0,0,0,0,8,1,0
,,1.0,50,47,3,3,0,0,0,0,0,0,0,0,43,0,0
,,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
,,0.5,21,17,4,0,0,0,2,2,2,0,2,0,18,0,0
,,3.8,167,158,9,7,0,1,4,1,1,1,0,0,148,0,4
,,4.0,120,90,30,7,0,0,0,0,0,0,0,0,93,0,0
,,4.0,288,277,11,8,0,1,2,1,0,0,0,0,257,0,2
,,0.9,65,57,8,4,0,0,0,4,0,0,0,0,62,0,0
,,2.9,153,150,3,3,1,0,0,0,0,0,0,0,137,0,1
,,0.8,16,15,1,1,0,0,2,0,0,0,0,0,13,0,1
