Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
103,Abdoulaye Doucouré,MLI,MF,Everton,31,1993,5,4,306,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.07,0.2,0.07,0.0,0.0,0.2,0.07,4,8,9,0.0,0.07
104,Cheick Doucouré,MLI,MF,Crystal Palace,24,2000,3,1,93,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,1,6,0,0.0,0.04
105,Flynn Downes,ENG,MF,Southampton,25,1999,5,5,450,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.2,0.04,0.2,0.04,0.7,0.15,1.0,0.19,10,25,11,0.0,0.19
106,Tommy Doyle,ENG,MF,Wolves,22,2001,5,0,69,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.05,0.0,0.05,0.0,0.05,0.1,0.1,1,12,2,0.0,0.1
107,Radu Drăgușin,ROU,DF,Tottenham,22,2002,2,1,100,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0,1,0,0.0,0.02
108,Lewis Dunk,ENG,DF,Brighton,32,1991,6,6,525,5.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.2,0.03,0.2,0.03,0.4,0.07,0.6,0.1,5,48,1,0.0,0.1
109,Jhon Durán,COL,FW,Aston Villa,20,2003,6,0,163,1.8,4,2.21,0,0.0,4,2.21,4,2.21,0,0,1,0,2.1,1.14,2.1,1.14,0.0,0.03,2.1,1.16,0,3,11,2.21,1.16
110,Ederson,BRA,GK,Manchester City,31,1993,6,6,540,6.0,0,0.0,1,0.17,1,0.17,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.4,0.06,0.4,0.06,0,1,0,0.17,0.06
111,George Edmundson,ENG,DF,Ipswich Town,27,1997,1,0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
112,Odsonne Édouard,FRA,"MF,FW",Crystal Palace,26,1998,2,1,115,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.31,0.4,0.31,0.0,0.04,0.4,0.34,2,4,7,0.0,0.34
113,Odsonne Édouard,FRA,"FW,MF",Leicester City,26,1998,2,0,9,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0,1,1,0.0,0.43
114,Samuel Edozie,ENG,"DF,FW",Southampton,21,2003,2,0,65,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.14,0.1,0.14,6,4,23,0.0,0.14
