Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
43,Philip Billing,DEN,MF,Bournemouth,28,1996,0.3,6,13,46.2,77,24,3,5,60.0,2,5,40.0,0,1,0.0,0,0.0,0.1,0.0,0,1,1,1,0
44,Yves Bissouma,MLI,MF,Tottenham,28,1996,2.0,143,154,92.9,2271,580,80,85,94.1,49,49,100.0,10,14,71.4,0,0.2,0.1,-0.2,2,15,2,0,17
45,Lamare Bogarde,NED,DF,Aston Villa,20,2004,1.9,86,99,86.9,1265,446,55,60,91.7,28,31,90.3,2,5,40.0,0,0.1,0.1,-0.1,1,10,1,0,6
46,Willy Boly,CIV,DF,Nott'ham Forest,33,1991,1.0,43,54,79.6,833,371,13,14,92.9,25,27,92.6,4,12,33.3,0,0.0,0.0,0.0,0,2,0,0,2
47,Jarrod Bowen,ENG,"FW,MF",West Ham,27,1996,5.7,84,129,65.1,1446,514,44,53,83.0,27,38,71.1,12,25,48.0,1,1.3,1.0,-0.3,14,8,10,0,20
48,Conor Bradley,NIR,DF,Liverpool,21,2003,0.9,73,85,85.9,1064,311,42,44,95.5,29,33,87.9,0,5,0.0,0,0.0,0.1,0.0,0,4,0,0,5
49,Jarrad Branthwaite,ENG,DF,Everton,22,2002,1.0,27,32,84.4,532,144,6,8,75.0,17,19,89.5,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,1
50,Ben Brereton,CHI,FW,Southampton,25,1999,3.8,105,128,82.0,1508,330,68,74,91.9,28,38,73.7,7,11,63.6,0,0.1,0.1,-0.1,3,8,1,1,6
51,Emi Buendía,ARG,"MF,FW",Aston Villa,27,1996,0.2,12,13,92.3,110,32,11,11,100.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0,2,0,0,2
52,Santiago Bueno,URU,DF,Wolves,25,1998,0.9,50,55,90.9,889,278,24,26,92.3,22,23,95.7,4,6,66.7,0,0.0,0.0,0.0,0,1,0,0,2
53,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19,2004,3.2,72,97,74.2,1038,290,46,58,79.3,20,24,83.3,4,8,50.0,2,0.6,0.5,1.4,5,9,3,1,10
54,Dan Burn,ENG,DF,Newcastle Utd,32,1992,6.0,264,289,91.3,4525,1966,105,115,91.3,145,149,97.3,11,17,64.7,0,0.1,0.1,-0.1,1,2,2,0,10
55,Wes Burns,WAL,FW,Ipswich Town,29,1994,2.3,38,55,69.1,625,167,19,23,82.6,10,17,58.8,6,8,75.0,0,0.6,0.4,-0.6,2,0,3,2,1
56,Moisés Caicedo,ECU,MF,Chelsea,22,2001,5.8,279,319,87.5,4583,1258,125,137,91.2,125,139,89.9,20,27,74.1,1,1.1,0.7,-0.1,4,25,8,2,19
57,Tom Cairney,SCO,MF,Fulham,33,1991,0.8,41,45,91.1,603,168,20,21,95.2,20,20,100.0,0,0,0.0,0,0.3,0.2,-0.3,2,2,2,1,7
58,Jens Cajuste,SWE,MF,Ipswich Town,25,1999,0.9,31,35,88.6,507,64,12,14,85.7,18,20,90.0,0,0,0.0,0,0.1,0.0,-0.1,2,3,1,0,3
59,Riccardo Calafiori,ITA,DF,Arsenal,22,2002,2.3,94,108,87.0,1447,300,51,59,86.4,37,40,92.5,5,5,100.0,0,0.1,0.3,-0.1,2,5,2,0,12
60,Dominic Calvert-Lewin,ENG,FW,Everton,27,1997,5.6,51,83,61.4,585,159,39,56,69.6,6,14,42.9,2,5,40.0,1,0.2,0.4,0.8,2,6,1,0,7
61,Diego Carlos,BRA,DF,Aston Villa,31,1993,2.0,120,136,88.2,2520,885,26,30,86.7,78,83,94.0,15,21,71.4,0,0.0,0.0,0.0,0,5,0,0,7
62,Fabio Carvalho,POR,"FW,MF",Brentford,22,2002,2.6,56,83,67.5,794,168,33,42,78.6,17,23,73.9,3,9,33.3,1,0.5,0.4,0.5,3,6,2,0,7
63,Casemiro,BRA,MF,Manchester Utd,32,1992,3.0,161,205,78.5,2725,775,69,83,83.1,76,88,86.4,10,17,58.8,0,1.2,0.6,-1.2,5,13,5,1,15
64,Matty Cash,POL,DF,Aston Villa,27,1997,1.1,38,49,77.6,621,258,18,20,90.0,18,22,81.8,1,4,25.0,0,0.1,0.0,-0.1,1,7,0,0,4
65,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,1997,1.0,25,36,69.4,405,166,13,16,81.3,7,8,87.5,3,5,60.0,0,0.0,0.0,0.0,0,3,2,0,4
66,Federico Chiesa,ITA,FW,Liverpool,26,1997,0.2,7,8,87.5,67,12,5,6,83.3,1,1,100.0,0,0,0.0,0,0.0,0.1,0.0,0,1,0,0,0
67,Chiquinho,POR,MF,Wolves,24,2000,0.1,3,3,100.0,71,22,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0
