Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
78,Maxwel Cornet,CIV,FW,Southampton,28,1996,0.3,14,0,1,7,6,1,14,1,0,0.0,1,100.0,8,57,23,1,0,1,0,0,11,2
79,Vladimír Coufal,CZE,DF,West Ham,32,1992,2.2,116,8,33,59,24,0,116,2,0,0.0,0,0.0,42,247,62,3,3,0,2,3,54,4
80,Aaron Cresswell,ENG,DF,West Ham,34,1989,0.2,24,0,3,13,8,0,24,0,0,0.0,0,0.0,14,49,20,1,2,0,0,0,17,1
81,Marc Cucurella,ESP,DF,Chelsea,26,1998,5.6,377,34,138,176,63,6,377,1,1,100.0,0,0.0,143,571,289,5,0,0,4,1,234,14
82,Matheus Cunha,BRA,"MF,FW",Wolves,25,1999,5.1,234,9,23,102,120,25,234,21,10,47.6,8,38.1,133,1186,543,20,16,11,14,11,156,33
83,Diogo Dalot,POR,DF,Manchester Utd,25,1999,6.0,434,32,164,200,72,5,434,10,6,60.0,2,20.0,250,1101,612,6,9,0,7,0,257,19
84,Mikkel Damsgaard,DEN,MF,Brentford,24,2000,4.2,251,10,57,113,86,9,251,13,7,53.8,4,30.8,145,851,420,13,7,2,7,8,162,10
85,Danilo,BRA,MF,Nott'ham Forest,23,2001,0.2,6,0,2,4,0,0,6,3,1,33.3,2,66.7,4,26,3,0,0,0,1,0,3,0
86,Leif Davis,ENG,DF,Ipswich Town,24,2000,6.0,302,33,111,92,104,8,302,9,3,33.3,6,66.7,137,833,356,12,8,1,9,1,144,25
87,Craig Dawson,ENG,DF,Wolves,34,1990,3.3,208,36,112,88,9,5,208,3,1,33.3,1,33.3,118,683,437,2,1,0,0,0,138,3
88,Kevin De Bruyne,BEL,MF,Manchester City,33,1991,4.0,357,1,21,112,226,17,357,8,4,50.0,3,37.5,177,802,442,10,12,2,4,9,275,32
89,Liam Delap,ENG,FW,Ipswich Town,21,2003,5.0,105,8,17,46,45,13,105,8,4,50.0,4,50.0,74,617,335,10,6,6,17,11,85,18
90,Sepp van den Berg,NED,DF,Brentford,22,2001,3.2,216,39,121,69,26,4,216,1,0,0.0,1,100.0,96,313,100,0,2,0,4,1,131,8
91,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,26,1998,0.5,41,0,8,24,9,0,41,1,1,100.0,0,0.0,28,174,108,3,0,0,0,1,34,1
92,Amad Diallo,CIV,FW,Manchester Utd,22,2002,3.8,243,1,17,78,153,31,243,11,2,18.2,9,81.8,155,1092,474,26,15,15,8,7,185,58
93,Rúben Dias,POR,DF,Manchester City,27,1997,5.1,531,52,190,243,99,7,531,0,0,0.0,0,0.0,353,2128,1207,10,16,1,2,1,422,2
94,Luis Díaz,COL,FW,Liverpool,27,1997,4.8,227,3,19,83,131,31,227,24,10,41.7,11,45.8,155,1204,601,20,14,15,8,8,174,46
95,Tyler Dibling,ENG,"FW,MF",Southampton,18,2006,2.3,118,0,6,51,62,8,118,19,9,47.4,6,31.6,87,685,413,14,7,6,3,4,100,20
96,Lucas Digne,FRA,DF,Aston Villa,31,1993,4.8,305,17,101,85,122,1,305,3,2,66.7,1,33.3,153,644,228,0,3,0,3,3,179,20
97,Issa Diop,FRA,DF,Fulham,27,1997,3.1,173,19,89,80,4,4,173,0,0,0.0,0,0.0,97,430,216,0,0,0,2,1,111,1
98,Axel Disasi,FRA,DF,Chelsea,26,1998,1.0,83,6,40,39,4,0,83,1,1,100.0,0,0.0,46,255,84,1,0,0,1,0,55,0
99,Roman Dixon,ENG,DF,Everton,19,2004,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1
100,Matt Doherty,IRL,DF,Wolves,32,1992,2.3,135,13,49,55,33,5,135,1,1,100.0,0,0.0,52,183,68,1,2,0,3,1,62,8
