Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
81,Marc Cucurella,ESP,DF,Chelsea,26,1998,5.6,4,0,0,6,12,1,7,5,5,0,0,0,24,7,13,35.0
82,Matheus Cunha,BRA,"MF,FW",Wolves,25,1999,5.1,1,0,0,9,12,4,29,3,5,0,0,0,19,1,4,20.0
83,Diogo Dalot,POR,DF,Manchester Utd,25,1999,6.0,1,0,0,9,4,0,6,14,10,0,1,0,47,7,6,53.8
84,Mikkel Damsgaard,DEN,MF,Brentford,24,2000,4.2,0,0,0,2,4,0,11,9,10,0,0,0,25,2,2,50.0
85,Danilo,BRA,MF,Nott'ham Forest,23,2001,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
86,Leif Davis,ENG,DF,Ipswich Town,24,2000,6.0,0,0,0,8,9,2,35,3,8,0,1,0,35,4,3,57.1
87,Craig Dawson,ENG,DF,Wolves,34,1990,3.3,0,0,0,2,2,1,0,4,2,0,0,0,11,5,1,83.3
88,Kevin De Bruyne,BEL,MF,Manchester City,33,1991,4.0,1,0,0,4,3,2,29,2,1,0,0,0,15,1,4,20.0
89,Liam Delap,ENG,FW,Ipswich Town,21,2003,5.0,2,0,0,13,11,3,0,1,1,0,0,0,13,4,5,44.4
90,Sepp van den Berg,NED,DF,Brentford,22,2001,3.2,0,0,0,3,2,0,1,1,7,0,0,0,11,8,6,57.1
91,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,26,1998,0.5,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0.0
92,Amad Diallo,CIV,FW,Manchester Utd,22,2002,3.8,1,0,0,7,1,1,10,2,8,0,0,0,18,1,1,50.0
93,Rúben Dias,POR,DF,Manchester City,27,1997,5.1,3,0,0,4,3,0,2,8,3,0,0,1,17,9,5,64.3
94,Luis Díaz,COL,FW,Liverpool,27,1997,4.8,0,0,0,7,5,0,2,2,5,0,0,0,22,2,4,33.3
95,Tyler Dibling,ENG,"FW,MF",Southampton,18,2006,2.3,0,0,0,3,12,0,5,1,3,1,0,0,8,0,3,0.0
96,Lucas Digne,FRA,DF,Aston Villa,31,1993,4.8,1,0,0,7,4,1,24,7,10,0,0,0,14,6,7,46.2
97,Issa Diop,FRA,DF,Fulham,27,1997,3.1,0,0,0,1,0,0,0,0,5,0,0,0,6,3,1,75.0
98,Axel Disasi,FRA,DF,Chelsea,26,1998,1.0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0.0
99,Roman Dixon,ENG,DF,Everton,19,2004,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0
100,Matt Doherty,IRL,DF,Wolves,32,1992,2.3,0,0,0,0,1,0,2,2,6,0,0,0,9,5,2,71.4
101,Jeremy Doku,BEL,FW,Manchester City,22,2002,3.4,0,0,0,1,6,2,14,0,2,0,0,0,13,0,0,0.0
102,Nicolás Domínguez,ARG,"FW,MF",Nott'ham Forest,26,1998,1.8,1,0,0,3,0,0,0,2,4,0,0,0,7,5,1,83.3
103,Abdoulaye Doucouré,MLI,MF,Everton,31,1993,3.4,0,0,0,6,1,4,5,2,3,0,0,0,19,7,4,63.6
104,Cheick Doucouré,MLI,MF,Crystal Palace,24,2000,1.0,0,0,0,1,2,0,0,2,3,0,0,0,4,1,1,50.0
105,Flynn Downes,ENG,MF,Southampton,25,1999,5.0,2,0,0,9,7,0,1,10,7,0,0,0,18,4,3,57.1
106,Tommy Doyle,ENG,MF,Wolves,22,2001,0.8,0,0,0,1,0,0,3,0,0,0,0,0,4,0,0,0.0
107,Radu Drăgușin,ROU,DF,Tottenham,22,2002,1.1,0,0,0,1,2,0,0,1,0,0,0,0,3,5,2,71.4
108,Lewis Dunk,ENG,DF,Brighton,32,1991,5.8,2,0,0,0,4,1,2,6,0,0,0,0,34,13,11,54.2
109,Jhon Durán,COL,FW,Aston Villa,20,2003,1.8,1,0,0,3,5,1,0,0,3,0,0,0,2,7,7,50.0
110,Ederson,BRA,GK,Manchester City,31,1993,6.0,2,0,0,1,0,0,0,1,0,0,1,0,11,0,1,0.0
111,George Edmundson,ENG,DF,Ipswich Town,27,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
112,Odsonne Édouard,FRA,"MF,FW",Crystal Palace,26,1998,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0
113,Odsonne Édouard,FRA,"FW,MF",Leicester City,26,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
114,Samuel Edozie,ENG,"DF,FW",Southampton,21,2003,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,0.0
115,Anthony Elanga,SWE,FW,Nott'ham Forest,22,2002,3.9,1,0,0,1,7,2,19,2,1,0,0,0,15,3,6,33.3
116,Harvey Elliott,ENG,FW,Liverpool,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
117,Yunus Emre Konak,TUR,"MF,FW",Brentford,18,2006,0.2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,50.0
118,Julio Enciso,PAR,"MF,FW",Brighton,20,2004,0.7,0,0,0,0,3,0,10,0,0,0,0,0,3,1,0,100.0
119,Wataru Endo,JPN,MF,Liverpool,31,1993,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
120,Christian Eriksen,DEN,MF,Manchester Utd,32,1992,1.9,1,0,0,2,1,0,18,1,0,0,0,0,9,0,3,0.0
121,Pervis Estupiñán,ECU,DF,Brighton,26,1998,2.1,1,0,0,1,1,0,24,3,1,0,0,0,9,5,2,71.4
122,Evanilson,BRA,FW,Bournemouth,24,1999,3.1,0,0,0,5,6,3,0,0,2,1,0,0,6,4,7,36.4
123,Jonny Evans,NIR,DF,Manchester Utd,36,1988,0.3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,33.3
124,Eberechi Eze,ENG,"MF,FW",Crystal Palace,26,1998,6.0,0,0,0,2,14,0,15,3,7,0,0,0,34,1,14,6.7
125,Łukasz Fabiański,POL,GK,West Ham,39,1985,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
126,Wout Faes,BEL,DF,Leicester City,26,1998,6.0,1,0,0,6,1,0,0,5,3,0,0,0,15,14,6,70.0
127,Abdul Fatawu Issahaku,GHA,FW,Leicester City,20,2004,3.0,0,0,0,3,10,1,6,3,12,0,0,0,17,6,5,54.5
128,João Félix,POR,"MF,FW",Chelsea,24,1999,1.2,1,0,0,1,6,0,0,0,0,0,0,0,8,1,1,50.0
129,Evan Ferguson,IRL,FW,Brighton,19,2004,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0
130,Bruno Fernandes,POR,"MF,FW",Manchester Utd,30,1994,5.3,1,1,0,4,3,1,29,3,10,0,0,0,22,2,4,33.3
131,Mateus Fernandes,POR,MF,Southampton,20,2004,2.5,0,0,0,4,6,0,2,2,3,0,0,0,10,1,4,20.0
132,Enzo Fernández,ARG,MF,Chelsea,23,2001,4.8,1,0,0,4,8,0,10,1,6,0,0,0,23,2,4,33.3
