Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
177,Will Hughes,ENG,MF,Crystal Palace,29,1995,2.3,4,1.76,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
178,Dean Huijsen,ESP,DF,Bournemouth,19,2005,2.2,4,1.86,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
179,Omari Hutchinson,ENG,"MF,FW",Ipswich Town,20,2003,5.9,14,2.37,9,0,3,0,1,1,2,0.34,2,0,0,0,0,0
180,Rasmus Højlund,DEN,FW,Manchester Utd,21,2003,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
181,Igor,BRA,DF,Brighton,26,1998,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
182,Danny Ings,ENG,"FW,MF",West Ham,32,1992,0.3,1,2.9,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
183,Tim Iroegbunam,ENG,MF,Everton,21,2003,4.0,9,2.25,5,0,1,0,1,2,0,0.0,0,0,0,0,0,0
184,Andy Irving,SCO,MF,West Ham,24,2000,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
185,Alexander Isak,SWE,FW,Newcastle Utd,25,1999,4.5,11,2.44,8,0,0,1,0,2,2,0.44,1,0,0,0,0,1
186,Alex Iwobi,NGA,FW,Fulham,28,1996,5.7,30,5.28,25,0,2,2,1,0,3,0.53,3,0,0,0,0,0
187,Nicolas Jackson,SEN,FW,Chelsea,23,2001,4.9,12,2.45,11,0,1,0,0,0,5,1.02,5,0,0,0,0,0
188,Vitaly Janelt,GER,"MF,DF",Brentford,26,1998,5.2,7,1.34,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
189,Daniel Jebbison,ENG,FW,Bournemouth,21,2003,0.3,2,6.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
