Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
116,Harvey Elliott,ENG,FW,Liverpool,21,2003,0.1,14,12,1,0,0,0,0,1,0,0,0,0,12,1,0
117,Yunus Emre Konak,TUR,"MF,FW",Brentford,18,2006,0.2,13,12,1,0,0,0,0,1,0,0,0,0,10,0,1
118,Julio Enciso,PAR,"MF,FW",Brighton,20,2004,0.7,47,39,8,3,0,0,10,0,5,2,1,0,33,0,1
119,Wataru Endo,JPN,MF,Liverpool,31,1993,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
120,Christian Eriksen,DEN,MF,Manchester Utd,32,1992,1.9,142,118,24,5,2,2,18,2,16,6,1,5,117,0,2
121,Pervis Estupiñán,ECU,DF,Brighton,26,1998,2.1,155,124,31,4,0,0,24,17,10,5,5,0,126,0,3
122,Evanilson,BRA,FW,Bournemouth,24,1999,3.1,37,36,1,0,1,0,0,0,0,0,0,0,25,0,3
123,Jonny Evans,NIR,DF,Manchester Utd,36,1988,0.3,24,20,4,1,0,0,0,2,0,0,0,0,22,0,0
124,Eberechi Eze,ENG,"MF,FW",Crystal Palace,26,1998,6.0,258,214,40,17,2,3,15,2,10,5,2,0,207,4,6
125,Łukasz Fabiański,POL,GK,West Ham,39,1985,0.5,8,6,2,0,0,0,0,0,0,0,0,0,5,0,0
126,Wout Faes,BEL,DF,Leicester City,26,1998,6.0,271,259,12,7,1,1,0,0,0,0,0,0,237,0,4
127,Abdul Fatawu Issahaku,GHA,FW,Leicester City,20,2004,3.0,73,70,3,0,2,1,6,3,0,0,0,0,47,0,4
128,João Félix,POR,"MF,FW",Chelsea,24,1999,1.2,62,60,1,0,0,0,0,1,0,0,0,0,50,1,1
129,Evan Ferguson,IRL,FW,Brighton,19,2004,0.3,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
130,Bruno Fernandes,POR,"MF,FW",Manchester Utd,30,1994,5.3,311,283,27,5,2,1,29,3,10,4,2,1,229,1,13
131,Mateus Fernandes,POR,MF,Southampton,20,2004,2.5,105,101,4,2,3,0,2,0,1,0,0,0,85,0,2
132,Enzo Fernández,ARG,MF,Chelsea,23,2001,4.8,273,252,20,7,3,4,10,1,11,9,0,0,221,1,5
133,Mark Flekken,NED,GK,Brentford,31,1993,6.0,334,283,50,27,0,5,0,0,0,0,0,0,259,1,0
134,Phil Foden,ENG,"MF,FW",Manchester City,24,2000,1.0,74,72,2,1,0,0,2,0,1,0,1,0,62,0,2
135,Wesley Fofana,FRA,DF,Chelsea,23,2000,5.6,350,332,17,11,0,0,1,5,0,0,0,0,313,1,3
136,Carlos Forbs,POR,MF,Wolves,20,2004,0.5,20,20,0,0,0,0,3,0,0,0,0,0,9,0,5
137,Ryan Fraser,SCO,FW,Southampton,30,1994,0.9,24,23,1,0,0,0,2,1,0,0,0,0,20,0,0
138,Niclas Füllkrug,GER,FW,West Ham,31,1993,0.7,14,13,1,0,0,0,0,0,0,0,0,0,13,0,0
139,Cody Gakpo,NED,FW,Liverpool,25,1999,1.4,49,49,0,0,0,1,5,0,0,0,0,0,37,0,0
140,Idrissa Gana Gueye,SEN,MF,Everton,35,1989,3.8,118,114,4,1,1,0,0,0,0,0,0,0,102,0,1
141,Alejandro Garnacho,ARG,FW,Manchester Utd,20,2004,3.6,113,108,4,0,1,3,9,3,1,1,0,0,90,1,6
142,James Garner,ENG,"DF,MF",Everton,23,2001,1.8,68,51,16,0,0,0,4,16,0,0,0,0,46,1,3
143,Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24,2000,4.8,181,178,1,1,1,3,3,0,0,0,0,0,135,2,7
144,Billy Gilmour,SCO,MF,Brighton,23,2001,1.1,67,65,2,1,1,2,1,0,1,1,0,0,58,0,0
145,João Gomes,BRA,MF,Wolves,23,2001,5.5,240,234,6,3,1,2,4,2,0,0,0,0,209,0,3
146,Rodrigo Gomes,POR,"FW,MF",Wolves,21,2003,1.3,30,27,3,0,1,0,5,2,1,0,1,0,15,0,0
147,Toti Gomes,POR,DF,Wolves,25,1999,4.0,189,175,13,5,0,0,0,6,0,0,0,0,166,1,4
148,Joe Gomez,ENG,DF,Liverpool,27,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
149,Anthony Gordon,ENG,FW,Newcastle Utd,23,2001,5.6,177,149,27,5,1,0,29,8,12,7,3,0,129,1,7
150,Ryan Gravenberch,NED,MF,Liverpool,22,2002,6.0,399,391,8,7,2,0,1,1,0,0,0,0,355,0,5
151,Archie Gray,ENG,"MF,DF",Tottenham,18,2006,0.4,40,35,5,3,0,0,0,2,0,0,0,0,35,0,3
152,Jack Grealish,ENG,FW,Manchester City,29,1995,3.0,147,143,4,0,0,0,5,2,2,0,0,0,129,0,4
153,Jacob Greaves,ENG,DF,Ipswich Town,24,2000,6.0,258,239,17,13,0,0,0,2,0,0,0,0,226,2,1
154,Gonçalo Guedes,POR,"FW,MF",Wolves,27,1996,0.5,11,7,3,0,0,0,0,1,0,0,0,0,6,1,0
155,Marc Guéhi,ENG,DF,Crystal Palace,24,2000,6.0,368,348,18,17,0,2,0,1,0,0,0,0,318,2,2
