Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
49,Daniel Bentley,ENG,GK,Wolves,31,1993,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Sander Berge,NOR,MF,Fulham,26,1998,4,111.0,28.0,20.6,1.2,0,0.0,0,4,28.0,0,2.0,1.0,2.0,-1.0,-0.81,1.8,2.0,-0.2,-0.13
51,Lucas Bergvall,SWE,"MF,FW",Tottenham,18,2006,5,51.0,10.0,9.4,0.6,0,0.0,0,5,10.0,1,2.0,1.0,0.0,1.0,1.76,1.7,0.3,1.4,2.44
52,Victor Bernth Kristiansen,DEN,DF,Leicester City,21,2002,6,534.0,89.0,98.9,5.9,6,89.0,5,0,0.0,0,0.5,8.0,12.0,-4.0,-0.67,4.2,12.4,-8.2,-1.38
53,Beto,GNB,FW,Everton,26,1998,4,47.0,12.0,8.7,0.5,0,0.0,0,4,12.0,2,0.0,0.0,4.0,-4.0,-7.66,0.2,1.8,-1.7,-3.22
54,Philip Billing,DEN,MF,Bournemouth,28,1996,2,23.0,12.0,5.1,0.3,0,0.0,0,2,12.0,0,0.5,1.0,1.0,0.0,0.0,0.5,0.6,-0.1,-0.21
55,Yves Bissouma,MLI,MF,Tottenham,28,1996,3,181.0,60.0,33.5,2.0,2,77.0,0,1,28.0,1,2.0,5.0,2.0,3.0,1.49,3.9,2.8,1.1,0.55
56,Lamare Bogarde,NED,DF,Aston Villa,20,2004,2,168.0,84.0,31.1,1.9,2,84.0,1,0,0.0,2,3.0,5.0,3.0,2.0,1.07,3.4,1.3,2.1,1.13
57,Willy Boly,CIV,DF,Nott'ham Forest,33,1991,2,91.0,46.0,16.9,1.0,1,90.0,1,1,1.0,2,2.0,1.0,1.0,0.0,0.0,1.3,1.2,0.1,0.09
58,Jarrod Bowen,ENG,"FW,MF",West Ham,27,1996,6,516.0,86.0,95.6,5.7,6,86.0,3,0,0.0,0,0.83,6.0,9.0,-3.0,-0.52,5.9,9.9,-4.0,-0.7
59,Conor Bradley,NIR,DF,Liverpool,21,2003,4,79.0,20.0,14.6,0.9,0,0.0,0,4,20.0,2,2.25,0.0,1.0,-1.0,-1.14,1.3,0.9,0.4,0.5
60,Jarrad Branthwaite,ENG,DF,Everton,22,2002,1,90.0,90.0,16.7,1.0,1,90.0,1,0,0.0,0,3.0,2.0,1.0,1.0,1.0,0.9,0.9,0.0,-0.02
61,James Bree,ENG,"DF,MF",Southampton,26,1997,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Ben Brereton,CHI,FW,Southampton,25,1999,5,344.0,69.0,76.4,3.8,4,78.0,2,1,32.0,0,0.2,1.0,8.0,-7.0,-1.83,4.4,7.6,-3.2,-0.84
63,David Brooks,WAL,"FW,MF",Bournemouth,27,1997,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Emi Buendía,ARG,"MF,FW",Aston Villa,27,1996,3,15.0,5.0,2.8,0.2,0,0.0,0,3,5.0,3,2.33,0.0,0.0,0.0,0.0,0.4,0.2,0.3,1.57
65,Santiago Bueno,URU,DF,Wolves,25,1998,2,85.0,43.0,15.7,0.9,1,76.0,0,1,9.0,4,0.0,1.0,4.0,-3.0,-3.18,0.6,3.5,-2.9,-3.06
66,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19,2004,5,290.0,58.0,53.7,3.2,3,77.0,0,2,29.0,1,0.4,6.0,5.0,1.0,0.31,2.3,6.2,-3.9,-1.22
67,Cameron Burgess,AUS,DF,Ipswich Town,28,1995,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Dan Burn,ENG,DF,Newcastle Utd,32,1992,6,540.0,90.0,100.0,6.0,6,90.0,6,0,0.0,0,1.83,8.0,7.0,1.0,0.17,8.3,9.6,-1.3,-0.22
69,Wes Burns,WAL,FW,Ipswich Town,29,1994,4,208.0,52.0,38.5,2.3,3,62.0,0,1,22.0,0,0.75,1.0,1.0,0.0,0.0,2.2,3.9,-1.7,-0.74
70,Moisés Caicedo,ECU,MF,Chelsea,22,2001,6,525.0,88.0,97.2,5.8,6,88.0,5,0,0.0,0,2.17,14.0,7.0,7.0,1.2,11.7,6.8,4.9,0.85
71,Tom Cairney,SCO,MF,Fulham,33,1991,4,71.0,18.0,13.1,0.8,0,0.0,0,4,18.0,2,1.25,1.0,2.0,-1.0,-1.27,0.8,1.6,-0.9,-1.12
72,Jens Cajuste,SWE,MF,Ipswich Town,25,1999,2,80.0,40.0,14.8,0.9,1,60.0,0,1,20.0,2,1.0,0.0,1.0,-1.0,-1.13,1.2,2.1,-1.0,-1.08
73,Riccardo Calafiori,ITA,DF,Arsenal,22,2002,4,207.0,52.0,38.3,2.3,2,82.0,1,2,22.0,1,2.0,6.0,3.0,3.0,1.3,6.3,2.7,3.6,1.58
