Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
47,Jarrod Bowen,ENG,"FW,MF",West Ham,27,1996,5.7,1,10,4,40.0,1.74,0.7,0.1,0.25,18.7,0,0,0,0.7,0.7,0.07,0.3,0.3
48,Conor Bradley,NIR,DF,Liverpool,21,2003,0.9,0,2,1,50.0,2.28,1.14,0.0,0.0,8.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2
49,Jarrad Branthwaite,ENG,DF,Everton,22,2002,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
50,Ben Brereton,CHI,FW,Southampton,25,1999,3.8,0,9,1,11.1,2.35,0.26,0.0,0.0,17.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8
51,Emi Buendía,ARG,"MF,FW",Aston Villa,27,1996,0.2,0,1,0,0.0,6.0,0.0,0.0,0.0,20.4,1,0,0,0.1,0.1,0.09,-0.1,-0.1
52,Santiago Bueno,URU,DF,Wolves,25,1998,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
53,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19,2004,3.2,1,5,2,40.0,1.55,0.62,0.2,0.5,17.1,0,0,0,0.4,0.4,0.08,0.6,0.6
54,Dan Burn,ENG,DF,Newcastle Utd,32,1992,6.0,0,5,2,40.0,0.83,0.33,0.0,0.0,12.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4
55,Wes Burns,WAL,FW,Ipswich Town,29,1994,2.3,0,1,0,0.0,0.43,0.0,0.0,0.0,15.2,0,0,0,0.2,0.2,0.16,-0.2,-0.2
56,Moisés Caicedo,ECU,MF,Chelsea,22,2001,5.8,0,3,0,0.0,0.51,0.0,0.0,0.0,23.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
57,Tom Cairney,SCO,MF,Fulham,33,1991,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
