Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
382,Pau Torres,es ESP,DF,Aston Villa,27-258,1997,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
383,Adama Traoré,es ESP,FW,Fulham,28-249,1996,5.2,1,13,4,30.8,2.51,0.77,0.08,0.25,15.7,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
384,Mark Travers,ie IRL,GK,Bournemouth,25-135,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
385,Ryan Trevitt,eng ENG,MF,Brentford,21-202,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
386,Kieran Trippier,eng ENG,DF,Newcastle Utd,34-011,1990,2.3,0,1,0,0.0,0.43,0.00,0.00,,17.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
387,Leandro Trossard,be BEL,FW,Arsenal,29-301,1994,3.4,2,10,4,40.0,2.93,1.17,0.20,0.50,16.6,0,0,0,1.5,1.5,0.15,+0.5,+0.5,Matches
388,Kostas Tsimikas,gr GRE,DF,Liverpool,28-141,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
389,Axel Tuanzebe,cd COD,DF,Ipswich Town,26-321,1997,5.7,0,3,0,0.0,0.53,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
390,Destiny Udogie,it ITA,DF,Tottenham,21-307,2002,5.3,0,3,0,0.0,0.57,0.00,0.00,,14.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
391,Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,23-172,2001,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
392,Lesley Ugochukwu,fr FRA,MF,Southampton,20-188,2004,1.1,0,1,0,0.0,0.95,0.00,0.00,,7.4,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
393,Enes Ünal,tr TUR,FW,Bournemouth,27-143,1997,0.3,0,3,2,66.7,11.74,7.83,0.00,0.00,23.0,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
394,Virgil van Dijk,nl NED,DF,Liverpool,33-084,1991,6.0,0,3,1,33.3,0.50,0.17,0.00,0.00,10.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
395,Jamie Vardy,eng ENG,FW,Leicester City,37-263,1987,5.6,2,3,3,100.0,0.54,0.54,0.67,0.67,8.2,0,0,0,1.4,1.4,0.48,+0.6,+0.6,Matches
396,Renato Veiga,pt POR,"MF,DF",Chelsea,21-063,2003,1.4,0,2,1,50.0,1.38,0.69,0.00,0.00,21.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
397,Joël Veltman,nl NED,DF,Brighton,32-259,1992,4.8,0,1,0,0.0,0.21,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
398,Micky van de Ven,nl NED,DF,Tottenham,23-164,2001,4.9,0,3,1,33.3,0.61,0.20,0.00,0.00,12.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
399,Bart Verbruggen,nl NED,GK,Brighton,22-043,2002,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
400,Jannik Vestergaard,dk DEN,DF,Leicester City,32-058,1992,2.0,0,1,0,0.0,0.50,0.00,0.00,,12.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
401,Guglielmo Vicario,it ITA,GK,Tottenham,27-359,1996,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
402,Kyle Walker,eng ENG,DF,Manchester City,34-125,1990,2.9,0,5,2,40.0,1.73,0.69,0.00,0.00,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
403,Kyle Walker-Peters,eng ENG,DF,Southampton,27-170,1997,3.9,0,6,2,33.3,1.54,0.51,0.00,0.00,19.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
404,Christian Walton,eng ENG,GK,Ipswich Town,28-326,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
405,Aaron Wan-Bissaka,eng ENG,"DF,MF",West Ham,26-309,1997,4.3,0,1,0,0.0,0.23,0.00,0.00,,24.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
406,James Ward-Prowse,eng ENG,MF,West Ham,29-334,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
407,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,29-334,1994,2.3,0,1,0,0.0,0.43,0.00,0.00,,28.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
408,Ollie Watkins,eng ENG,FW,Aston Villa,28-275,1995,4.9,4,14,7,50.0,2.86,1.43,0.29,0.57,8.8,0,0,0,3.5,3.5,0.25,+0.5,+0.5,Matches
409,Adam Webster,eng ENG,DF,Brighton,29-270,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
410,Danny Welbeck,eng ENG,FW,Brighton,33-309,1990,5.6,3,16,7,43.8,2.85,1.25,0.19,0.43,15.5,3,0,0,2.4,2.4,0.15,+0.6,+0.6,Matches
411,Timo Werner,de GER,"FW,MF",Tottenham,28-208,1996,1.3,0,2,2,100.0,1.54,1.54,0.00,0.00,18.6,0,0,0,0.6,0.6,0.31,-0.6,-0.6,Matches
412,Adam Wharton,eng ENG,MF,Crystal Palace,20-120,2004,5.3,0,7,4,57.1,1.32,0.76,0.00,0.00,25.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
413,Ben White,eng ENG,DF,Arsenal,26-358,1997,4.5,0,3,1,33.3,0.67,0.22,0.00,0.00,21.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
414,Mats Wieffer,nl NED,MF,Brighton,24-319,1999,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
415,Neco Williams,wls WAL,DF,Nott'ham Forest,23-170,2001,3.7,0,7,1,14.3,1.89,0.27,0.00,0.00,18.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
416,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-041,1999,1.4,0,2,0,0.0,1.43,0.00,0.00,,12.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
417,Harry Wilson,wls WAL,FW,Fulham,27-192,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
418,Harry Winks,eng ENG,MF,Leicester City,28-241,1996,6.0,0,1,0,0.0,0.17,0.00,0.00,,31.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
419,Yoane Wissa,cd COD,FW,Brentford,28-027,1996,3.2,3,9,4,44.4,2.80,1.25,0.33,0.75,11.4,0,0,0,2.4,2.4,0.27,+0.6,+0.6,Matches
420,Chris Wood,nz NZL,FW,Nott'ham Forest,32-298,1991,5.3,3,10,7,70.0,1.89,1.32,0.20,0.29,13.0,0,1,1,2.3,1.5,0.15,+0.7,+0.5,Matches
421,Luke Woolfenden,eng ENG,DF,Ipswich Town,25-345,1998,3.0,0,1,0,0.0,0.33,0.00,0.00,,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
422,Yehor Yarmoliuk,ua UKR,MF,Brentford,20-213,2004,1.1,0,2,1,50.0,1.80,0.90,0.00,0.00,21.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
423,Ryan Yates,eng ENG,MF,Nott'ham Forest,26-314,1997,4.0,0,5,2,40.0,1.25,0.50,0.00,0.00,23.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
424,Ashley Young,eng ENG,DF,Everton,39-083,1985,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
425,Illia Zabarnyi,ua UKR,DF,Bournemouth,22-029,2002,5.0,0,1,0,0.0,0.20,0.00,0.00,,6.1,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
426,Oleksandr Zinchenko,ua UKR,DF,Arsenal,27-290,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
427,Joshua Zirkzee,nl NED,FW,Manchester Utd,23-131,2001,3.9,1,9,6,66.7,2.28,1.52,0.11,0.17,11.2,0,0,0,2.4,2.4,0.27,-1.4,-1.4,Matches
428,Martin Ødegaard,no NOR,MF,Arsenal,25-288,1998,2.8,0,3,2,66.7,1.07,0.71,0.00,0.00,16.0,0,0,0,0.4,0.4,0.15,-0.4,-0.4,Matches
