Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
72,Conor Coady,eng ENG,DF,Leicester City,31-218,1993,0.1,8,4,8,0,0,0,8,0,0,,0,,2,7,0,0,1,1,1,0,0,0,Matches
73,Séamus Coleman,ie IRL,DF,Everton,35-355,1988,1.0,52,3,12,30,10,2,52,2,2,100.0,0,0.0,22,100,35,0,0,0,1,0,25,2,Matches
74,Nathan Collins,ie IRL,DF,Brentford,23-153,2001,6.0,384,62,220,140,24,10,384,1,1,100.0,0,0.0,209,927,463,5,1,0,1,3,248,3,Matches
75,Toby Collyer,eng ENG,MF,Manchester Utd,20-271,2004,0.5,31,1,8,16,7,1,31,1,1,100.0,0,0.0,20,108,27,0,0,0,5,0,23,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Levi Colwill,eng ENG,DF,Chelsea,21-217,2003,6.0,467,80,265,193,10,4,467,2,1,50.0,1,50.0,258,1321,758,3,1,0,4,1,332,0,Matches
77,Lewis Cook,eng ENG,MF,Bournemouth,27-240,1997,4.9,281,15,69,154,63,5,281,3,1,33.3,2,66.7,106,580,349,4,5,0,5,2,132,5,Matches
78,Maxwel Cornet,ci CIV,FW,Southampton,28-003,1996,0.3,14,0,1,7,6,1,14,1,0,0.0,1,100.0,8,57,23,1,0,1,0,0,11,2,Matches
79,Vladimír Coufal,cz CZE,DF,West Ham,32-039,1992,2.2,116,8,33,59,24,0,116,2,0,0.0,0,0.0,42,247,62,3,3,0,2,3,54,4,Matches
80,Aaron Cresswell,eng ENG,DF,West Ham,34-290,1989,0.2,24,0,3,13,8,0,24,0,0,,0,,14,49,20,1,2,0,0,0,17,1,Matches
81,Marc Cucurella,es ESP,DF,Chelsea,26-070,1998,5.6,377,34,138,176,63,6,377,1,1,100.0,0,0.0,143,571,289,5,0,0,4,1,234,14,Matches
82,Matheus Cunha,br BRA,"MF,FW",Wolves,25-126,1999,5.1,234,9,23,102,120,25,234,21,10,47.6,8,38.1,133,1186,543,20,16,11,14,11,156,33,Matches
83,Diogo Dalot,pt POR,DF,Manchester Utd,25-196,1999,6.0,434,32,164,200,72,5,434,10,6,60.0,2,20.0,250,1101,612,6,9,0,7,0,257,19,Matches
84,Mikkel Damsgaard,dk DEN,MF,Brentford,24-089,2000,4.2,251,10,57,113,86,9,251,13,7,53.8,4,30.8,145,851,420,13,7,2,7,8,162,10,Matches
85,Danilo,br BRA,MF,Nott'ham Forest,23-154,2001,0.2,6,0,2,4,0,0,6,3,1,33.3,2,66.7,4,26,3,0,0,0,1,0,3,0,Matches
86,Leif Davis,eng ENG,DF,Ipswich Town,24-262,2000,6.0,302,33,111,92,104,8,302,9,3,33.3,6,66.7,137,833,356,12,8,1,9,1,144,25,Matches
87,Craig Dawson,eng ENG,DF,Wolves,34-147,1990,3.3,208,36,112,88,9,5,208,3,1,33.3,1,33.3,118,683,437,2,1,0,0,0,138,3,Matches
88,Kevin De Bruyne,be BEL,MF,Manchester City,33-094,1991,4.0,357,1,21,112,226,17,357,8,4,50.0,3,37.5,177,802,442,10,12,2,4,9,275,32,Matches
89,Liam Delap,eng ENG,FW,Ipswich Town,21-235,2003,5.0,105,8,17,46,45,13,105,8,4,50.0,4,50.0,74,617,335,10,6,6,17,11,85,18,Matches
90,Sepp van den Berg,nl NED,DF,Brentford,22-285,2001,3.2,216,39,121,69,26,4,216,1,0,0.0,1,100.0,96,313,100,0,2,0,4,1,131,8,Matches
91,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-024,1998,0.5,41,0,8,24,9,0,41,1,1,100.0,0,0.0,28,174,108,3,0,0,0,1,34,1,Matches
92,Amad Diallo,ci CIV,FW,Manchester Utd,22-081,2002,3.8,243,1,17,78,153,31,243,11,2,18.2,9,81.8,155,1092,474,26,15,15,8,7,185,58,Matches
93,Rúben Dias,pt POR,DF,Manchester City,27-139,1997,5.1,531,52,190,243,99,7,531,0,0,,0,,353,2128,1207,10,16,1,2,1,422,2,Matches
94,Luis Díaz,co COL,FW,Liverpool,27-261,1997,4.8,227,3,19,83,131,31,227,24,10,41.7,11,45.8,155,1204,601,20,14,15,8,8,174,46,Matches
95,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-202,2006,2.3,118,0,6,51,62,8,118,19,9,47.4,6,31.6,87,685,413,14,7,6,3,4,100,20,Matches
96,Lucas Digne,fr FRA,DF,Aston Villa,31-072,1993,4.8,305,17,101,85,122,1,305,3,2,66.7,1,33.3,153,644,228,0,3,0,3,3,179,20,Matches
97,Issa Diop,fr FRA,DF,Fulham,27-265,1997,3.1,173,19,89,80,4,4,173,0,0,,0,,97,430,216,0,0,0,2,1,111,1,Matches
98,Axel Disasi,fr FRA,DF,Chelsea,26-203,1998,1.0,83,6,40,39,4,0,83,1,1,100.0,0,0.0,46,255,84,1,0,0,1,0,55,0,Matches
99,Roman Dixon,eng ENG,DF,Everton,19-279,2004,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1,Matches
100,Matt Doherty,ie IRL,DF,Wolves,32-258,1992,2.3,135,13,49,55,33,5,135,1,1,100.0,0,0.0,52,183,68,1,2,0,3,1,62,8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Jeremy Doku,be BEL,FW,Manchester City,22-126,2002,3.4,194,1,7,48,145,22,194,31,15,48.4,8,25.8,140,1444,912,37,22,11,8,8,163,48,Matches
102,Nicolás Domínguez,ar ARG,"FW,MF",Nott'ham Forest,26-094,1998,1.8,101,6,18,47,36,3,101,1,0,0.0,1,100.0,36,107,55,1,2,0,1,0,50,4,Matches
103,Abdoulaye Doucouré,ml MLI,MF,Everton,31-273,1993,3.4,139,4,39,60,42,5,139,3,2,66.7,1,33.3,67,314,141,4,1,0,3,3,77,9,Matches
104,Cheick Doucouré,ml MLI,MF,Crystal Palace,24-266,2000,1.0,63,1,10,43,10,1,63,2,2,100.0,0,0.0,35,119,54,1,1,1,0,1,41,0,Matches
105,Flynn Downes,eng ENG,MF,Southampton,25-254,1999,5.0,375,17,92,198,85,9,375,5,1,20.0,4,80.0,160,948,486,10,5,2,7,7,270,11,Matches
106,Tommy Doyle,eng ENG,MF,Wolves,22-349,2001,0.8,78,4,19,43,16,0,78,0,0,,0,,41,313,112,1,1,0,2,1,52,2,Matches
107,Radu Drăgușin,ro ROU,DF,Tottenham,22-240,2002,1.1,70,7,26,36,9,2,70,1,0,0.0,0,0.0,33,138,65,0,1,0,1,0,39,0,Matches
108,Lewis Dunk,eng ENG,DF,Brighton,32-314,1991,5.8,596,63,299,260,43,4,596,1,0,0.0,1,100.0,374,1783,913,5,5,0,0,0,441,1,Matches
109,Jhon Durán,co COL,FW,Aston Villa,20-292,2003,1.8,80,4,6,37,37,13,80,6,1,16.7,5,83.3,46,100,35,0,1,0,4,7,63,11,Matches
110,Ederson,br BRA,GK,Manchester City,31-044,1993,6.0,239,164,235,4,0,0,239,0,0,,0,,151,772,453,0,0,0,1,0,156,0,Matches
111,George Edmundson,eng ENG,DF,Ipswich Town,27-030,1997,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0,Matches
112,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,26-258,1998,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7,Matches
113,Odsonne Édouard,fr FRA,"FW,MF",Leicester City,26-258,1998,0.1,5,0,0,2,3,2,5,0,0,,0,,3,11,0,0,0,1,1,2,3,1,Matches
114,Samuel Edozie,eng ENG,"DF,FW",Southampton,21-246,2003,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23,Matches
115,Anthony Elanga,se SWE,FW,Nott'ham Forest,22-156,2002,3.9,147,2,19,52,81,18,147,15,3,20.0,7,46.7,85,662,371,11,4,10,10,5,94,20,Matches
116,Harvey Elliott,eng ENG,FW,Liverpool,21-179,2003,0.1,14,0,1,4,9,1,14,0,0,,0,,10,50,28,1,0,1,0,0,11,3,Matches
117,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,18-264,2006,0.2,16,0,2,8,6,0,16,1,0,0.0,1,100.0,7,29,15,0,0,0,0,2,11,0,Matches
118,Julio Enciso,py PAR,"MF,FW",Brighton,20-251,2004,0.7,59,0,3,24,33,1,59,8,3,37.5,3,37.5,32,149,75,2,3,0,3,1,41,7,Matches
119,Wataru Endo,jp JPN,MF,Liverpool,31-234,1993,0.0,1,0,1,0,0,0,1,0,0,,0,,1,6,0,0,0,0,0,0,0,0,Matches
120,Christian Eriksen,dk DEN,MF,Manchester Utd,32-229,1992,1.9,158,3,19,85,54,4,158,0,0,,0,,79,303,113,2,3,0,1,2,104,10,Matches
121,Pervis Estupiñán,ec ECU,DF,Brighton,26-253,1998,2.1,173,3,25,84,66,5,173,3,1,33.3,2,66.7,100,484,275,8,5,4,2,3,118,26,Matches
122,Evanilson,br BRA,FW,Bournemouth,24-360,1999,3.1,69,4,5,30,34,15,68,5,1,20.0,2,40.0,35,172,85,2,0,0,2,4,47,5,Matches
123,Jonny Evans,nir NIR,DF,Manchester Utd,36-271,1988,0.3,27,1,7,18,3,0,27,0,0,,0,,10,34,9,0,0,0,0,0,13,0,Matches
124,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-093,1998,6.0,348,2,43,166,147,23,348,31,9,29.0,20,64.5,226,1222,609,19,13,8,11,10,253,45,Matches
125,Łukasz Fabiański,pl POL,GK,West Ham,39-165,1985,0.5,8,8,8,0,0,0,8,0,0,,0,,6,46,38,0,0,0,0,0,2,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
126,Wout Faes,be BEL,DF,Leicester City,26-180,1998,6.0,349,83,213,127,11,6,349,2,2,100.0,0,0.0,183,925,545,2,2,0,4,3,218,1,Matches
127,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-206,2004,3.0,135,10,44,48,48,4,135,22,6,27.3,10,45.5,82,554,223,9,4,3,10,6,86,17,Matches
128,João Félix,pt POR,"MF,FW",Chelsea,24-325,1999,1.2,84,1,10,41,34,10,84,11,3,27.3,4,36.4,57,416,254,7,2,2,2,2,66,9,Matches
129,Evan Ferguson,ie IRL,FW,Brighton,19-347,2004,0.3,7,0,0,3,4,1,7,0,0,,0,,3,11,5,0,1,0,0,0,6,2,Matches
130,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,30-022,1994,5.3,373,5,39,175,163,16,373,9,6,66.7,2,22.2,230,1071,483,14,8,3,9,7,271,31,Matches
131,Mateus Fernandes,pt POR,MF,Southampton,20-082,2004,2.5,134,3,20,60,56,11,134,7,3,42.9,4,57.1,70,460,239,8,6,1,6,3,98,17,Matches
132,Enzo Fernández,ar ARG,MF,Chelsea,23-257,2001,4.8,322,8,62,171,89,10,322,7,2,28.6,3,42.9,174,622,322,4,3,0,9,7,234,12,Matches
133,Mark Flekken,nl NED,GK,Brentford,31-109,1993,6.0,355,285,343,14,0,0,355,0,0,,0,,241,1117,534,0,0,0,0,0,223,0,Matches
134,Phil Foden,eng ENG,"MF,FW",Manchester City,24-125,2000,1.0,84,3,10,17,57,8,84,2,2,100.0,0,0.0,55,225,111,3,1,1,0,1,67,10,Matches
135,Wesley Fofana,fr FRA,DF,Chelsea,23-288,2000,5.6,405,43,197,198,17,4,405,6,3,50.0,1,16.7,261,1348,597,4,3,0,10,2,302,3,Matches
136,Carlos Forbs,pt POR,MF,Wolves,20-195,2004,0.5,25,0,2,7,16,5,25,3,2,66.7,1,33.3,18,94,62,2,1,2,3,0,20,9,Matches
137,Ryan Fraser,sct SCO,FW,Southampton,30-219,1994,0.9,34,3,11,14,9,0,34,1,0,0.0,1,100.0,17,107,58,3,2,0,1,1,22,4,Matches
138,Niclas Füllkrug,de GER,FW,West Ham,31-234,1993,0.7,24,3,3,10,11,6,24,2,0,0.0,2,100.0,10,51,43,2,0,2,4,1,15,3,Matches
