Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
31,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-052,1997,5,4,286,3.2,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.0,16,11,24,0.00,0.31,0.31,0.00,0.31,0.10,0.21,0.31,0.10,0.31,Matches
32,Carlos Baleba,cm CMR,MF,Brighton,20-271,2004,5,4,349,3.9,1,1,2,1,0,0,1,0,0.7,0.7,0.2,0.9,6,24,2,0.26,0.26,0.52,0.26,0.52,0.19,0.05,0.24,0.19,0.24,Matches
33,Ross Barkley,eng ENG,MF,Aston Villa,30-300,1993,5,0,126,1.4,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,4,5,1,0.00,0.71,0.71,0.00,0.71,0.09,0.07,0.17,0.09,0.17,Matches
34,Harvey Barnes,eng ENG,FW,Newcastle Utd,26-296,1997,6,3,324,3.6,3,1,4,3,0,0,0,0,1.8,1.8,1.6,3.5,14,17,29,0.83,0.28,1.11,0.83,1.11,0.51,0.45,0.96,0.51,0.96,Matches
35,Calvin Bassey,ng NGA,DF,Fulham,24-274,1999,6,6,540,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,19,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
36,Jan Bednarek,pl POL,DF,Southampton,28-171,1996,5,5,440,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
37,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-095,1998,6,6,388,4.3,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,11,5,19,0.23,0.00,0.23,0.23,0.23,0.07,0.05,0.12,0.07,0.12,Matches
38,Rodrigo Bentancur,uy URU,MF,Tottenham,27-097,1997,5,4,305,3.4,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,4,23,2,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.12,0.10,0.12,Matches
39,Sander Berge,no NOR,MF,Fulham,26-229,1998,4,0,111,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
40,Lucas Bergvall,se SWE,"MF,FW",Tottenham,18-241,2006,5,0,51,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,4,3,0.00,0.00,0.00,0.00,0.00,0.14,0.34,0.48,0.14,0.48,Matches
41,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21-289,2002,6,6,534,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,9,15,18,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
42,Beto,gw GNB,FW,Everton,26-243,1998,4,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Philip Billing,dk DEN,MF,Bournemouth,28-111,1996,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Yves Bissouma,ml MLI,MF,Tottenham,28-031,1996,3,2,181,2.0,1,0,1,1,0,0,2,0,0.1,0.1,0.2,0.3,5,17,0,0.50,0.00,0.50,0.50,0.50,0.05,0.08,0.13,0.05,0.13,Matches
45,Lamare Bogarde,nl NED,DF,Aston Villa,20-269,2004,2,2,168,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
46,Willy Boly,ci CIV,DF,Nott'ham Forest,33-240,1991,2,1,91,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
47,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27-285,1996,6,6,516,5.7,1,1,2,1,0,0,0,0,0.7,0.7,1.3,1.9,20,20,32,0.17,0.17,0.35,0.17,0.35,0.12,0.22,0.33,0.12,0.33,Matches
48,Conor Bradley,nir NIR,DF,Liverpool,21-083,2003,4,0,79,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,5,5,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
49,Jarrad Branthwaite,eng ENG,DF,Everton,22-095,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
50,Ben Brereton,cl CHI,FW,Southampton,25-165,1999,5,4,344,3.8,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,9,6,29,0.00,0.00,0.00,0.00,0.00,0.20,0.03,0.22,0.20,0.22,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
