stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,2,44,0.5,0,0.0,0,2,22.0,2,0.0,0,2,-2,-4.09,0.2,1.1,-0.9,-1.84
,,4,300,3.3,4,75.0,2,0,0.0,0,2.5,3,3,0,0.0,2.9,5.3,-2.4,-0.71
,,4,271,3.0,4,68.0,1,0,0.0,0,2.5,2,3,-1,-0.33,1.9,5.5,-3.6,-1.21
,,4,330,3.7,4,83.0,1,0,0.0,0,1.25,4,3,1,0.27,4.0,3.1,0.8,0.23
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,141,1.6,2,68.0,0,1,6.0,1,0.33,1,4,-3,-1.91,0.6,4.8,-4.2,-2.67
,,4,66,0.7,0,0.0,0,4,17.0,0,2.25,2,1,1,1.36,1.2,1.6,-0.4,-0.55
,,4,329,3.7,4,82.0,3,0,0.0,0,2.25,7,0,7,1.91,7.6,2.5,5.1,1.4
,,4,316,3.5,4,79.0,0,0,0.0,0,1.0,6,4,2,0.57,5.1,4.4,0.8,0.22
,,3,236,2.6,3,79.0,1,0,0.0,1,2.33,7,3,4,1.53,3.7,3.8,-0.1,-0.04
,,4,360,4.0,4,90.0,4,0,0.0,0,2.5,6,1,5,1.25,5.0,4.2,0.8,0.2
,,4,197,2.2,2,79.0,0,2,20.0,0,1.5,2,1,1,0.46,4.7,2.3,2.4,1.1
,,4,353,3.9,4,88.0,3,0,0.0,0,1.5,4,5,-1,-0.25,7.1,5.4,1.7,0.45
,,1,27,0.3,0,0.0,0,1,27.0,0,0.0,0,1,-1,-3.33,0.2,0.7,-0.5,-1.64
,,4,250,2.8,3,78.0,1,1,17.0,0,2.5,3,0,3,1.08,3.3,2.7,0.6,0.2
,,4,360,4.0,4,90.0,4,0,0.0,0,2.25,7,6,1,0.25,6.7,4.5,2.2,0.55
,,4,346,3.8,4,87.0,3,0,0.0,0,1.5,4,5,-1,-0.26,7.0,5.4,1.6,0.42
,,4,169,1.9,2,61.0,0,2,24.0,0,1.0,3,2,1,0.53,2.1,1.6,0.5,0.24
,,4,293,3.3,4,73.0,2,0,0.0,0,0.5,3,6,-3,-0.92,4.4,4.8,-0.4,-0.11
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
