stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
,,0.1,0,0,0,1,0,1,1,0,1,0,0,0,2,2,2,50.0
,,2.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0
,,3.4,1,0,0,4,11,1,10,1,3,0,0,0,11,2,1,66.7
,,4.0,0,0,0,2,4,1,35,3,3,0,0,0,17,1,6,14.3
,,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,3.0,0,0,0,3,0,0,0,3,2,0,0,0,13,8,4,66.7
,,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0
,,3.0,2,0,0,6,3,1,14,2,2,0,0,0,14,6,5,54.5
,,4.0,0,0,0,1,2,0,21,3,5,0,0,0,22,4,2,66.7
,,3.9,0,0,0,4,3,0,10,0,2,0,0,0,9,2,3,40.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,0.9,1,0,0,1,0,0,1,3,6,0,0,0,6,0,1,0.0
,,3.9,3,0,0,6,3,0,3,0,5,0,0,0,17,2,1,66.7
,,4.0,1,0,0,4,7,0,2,7,6,0,0,0,24,9,6,60.0
,,1.2,1,0,0,2,1,0,2,0,1,0,0,0,2,1,0,100.0
,,0.7,0,0,0,1,1,0,3,0,0,0,0,0,3,1,1,50.0
,,2.8,0,0,0,3,7,0,0,1,0,0,0,0,4,14,14,50.0
,,3.9,1,0,0,6,1,4,6,4,11,0,0,0,22,8,8,50.0
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,75.0
,,4.0,0,0,0,5,0,0,0,1,4,0,0,0,18,3,2,60.0
,,2.3,1,0,0,2,1,1,5,0,3,0,0,0,11,1,1,50.0
,,3.3,0,0,0,1,8,0,5,4,2,0,0,0,11,4,3,57.1
,,2.5,1,0,0,4,3,3,2,3,7,0,0,0,20,1,1,50.0
,,3.8,1,0,0,10,4,0,5,2,3,0,0,0,21,2,6,25.0
,,1.1,0,0,0,0,1,0,1,0,5,0,0,0,2,0,1,0.0
