stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,0.3,17,27,63.0,311.0,146.0,9,11,81.8,6,7,85.7,2,4,50.0,0,0.0,0.0,0.0,0,3,0,6
,,0.1,6,6,100.0,74.0,1.0,4,4,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.7,26,33,78.8,379.0,125.0,11,11,100.0,14,19,73.7,0,1,0.0,0,0.6,0.6,-0.6,4,0,1,1
,,2.3,88,116,75.9,1108.0,183.0,64,76,84.2,19,26,73.1,1,7,14.3,1,0.5,0.9,0.1,6,1,1,9
,,2.3,25,46,54.3,344.0,45.0,15,23,65.2,8,18,44.4,1,1,100.0,0,0.0,0.1,-0.1,2,2,0,2
,,1.3,52,62,83.9,1105.0,310.0,16,21,76.2,29,29,100.0,7,11,63.6,0,0.0,0.0,0.0,0,4,0,3
,,0.2,11,16,68.8,157.0,43.0,6,7,85.7,3,5,60.0,1,3,33.3,0,0.0,0.0,0.0,0,2,0,1
,,1.5,45,53,84.9,873.0,345.0,20,23,87.0,20,22,90.9,5,6,83.3,0,0.0,0.1,-0.1,1,7,0,12
,,4.0,61,118,51.7,2282.0,1946.0,11,11,100.0,18,18,100.0,32,87,36.8,0,0.0,0.0,0.0,0,8,0,0
,,1.7,50,59,84.7,824.0,211.0,27,32,84.4,19,23,82.6,4,4,100.0,0,0.1,0.1,-0.1,1,1,0,3
,,4.0,77,110,70.0,1147.0,276.0,44,52,84.6,26,33,78.8,5,13,38.5,1,1.2,1.7,-0.7,4,4,1,7
,,2.8,92,132,69.7,1855.0,1069.0,38,45,84.4,39,48,81.3,15,38,39.5,0,0.1,0.1,-0.1,2,17,2,9
,,3.1,175,189,92.6,2327.0,369.0,109,115,94.8,56,60,93.3,3,3,100.0,2,0.8,1.2,0.8,7,5,0,18
,,0.1,4,8,50.0,98.0,59.0,1,3,33.3,2,2,100.0,1,2,50.0,0,0.0,0.2,-0.2,1,1,0,2
,,1.4,31,40,77.5,410.0,64.0,20,22,90.9,10,14,71.4,0,0,0.0,1,0.3,0.3,0.7,4,2,1,3
,,2.0,80,95,84.2,1217.0,349.0,40,47,85.1,30,32,93.8,6,8,75.0,0,0.2,0.1,-0.1,2,8,0,9
,,2.4,89,124,71.8,1260.0,187.0,50,58,86.2,33,43,76.7,2,13,15.4,0,0.5,0.3,-0.3,3,3,1,8
,,1.7,39,53,73.6,606.0,268.0,19,21,90.5,18,24,75.0,1,4,25.0,0,0.0,0.1,-0.1,1,2,0,2
,,3.0,130,146,89.0,1898.0,244.0,77,83,92.8,46,50,92.0,6,7,85.7,1,0.7,0.3,0.7,3,11,0,13
,,2.0,26,34,76.5,267.0,69.0,23,28,82.1,2,3,66.7,0,1,0.0,0,0.2,0.1,-0.1,1,0,0,3
,,0.2,5,6,83.3,66.0,19.0,4,5,80.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0
,,0.1,3,7,42.9,74.0,5.0,0,1,0.0,3,5,60.0,0,1,0.0,0,0.1,0.2,-0.2,2,0,0,0
,,2.5,33,52,63.5,416.0,126.0,23,28,82.1,7,15,46.7,1,5,20.0,0,0.3,0.1,-0.1,3,2,0,5
,,0.1,3,3,100.0,36.0,4.0,2,2,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.2,16,17,94.1,212.0,35.0,10,10,100.0,6,7,85.7,0,0,0.0,0,0.0,0.0,0.0,0,1,0,2
,,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,2.0,101,112,90.2,2321.0,1556.0,21,21,100.0,63,65,96.9,17,26,65.4,0,0.0,0.0,0.0,0,0,0,0
,,3.9,307,327,93.9,5308.0,1530.0,117,124,94.4,180,189,95.2,7,9,77.8,0,0.1,0.0,0.0,1,28,0,23
,,0.1,1,2,50.0,35.0,0.0,0,1,0.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0
,,0.3,5,6,83.3,61.0,13.0,2,3,66.7,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.4,61,69,88.4,1093.0,218.0,29,32,90.6,25,28,89.3,6,7,85.7,0,0.0,0.0,0.0,0,9,0,2
,,3.8,28,52,53.8,341.0,64.0,16,28,57.1,9,17,52.9,0,0,0.0,1,0.4,0.8,0.2,3,1,1,2
,,3.3,179,226,79.2,2788.0,865.0,92,106,86.8,70,83,84.3,10,20,50.0,0,0.8,1.0,-1.0,5,14,2,17
,,0.8,19,26,73.1,283.0,56.0,10,11,90.9,6,6,100.0,1,1,100.0,0,0.2,0.3,-0.3,2,0,2,0
,,2.5,26,35,74.3,462.0,155.0,11,12,91.7,9,11,81.8,4,7,57.1,0,0.0,0.0,0.0,1,2,0,8
,,4.0,191,220,86.8,2903.0,541.0,114,124,91.9,58,66,87.9,14,19,73.7,1,0.7,1.0,0.0,11,12,1,17
,,4.0,110,142,77.5,2379.0,966.0,36,42,85.7,53,56,94.6,20,36,55.6,0,0.2,0.4,-0.4,3,9,0,7
,,3.8,94,138,68.1,1706.0,510.0,39,49,79.6,39,49,79.6,13,25,52.0,0,0.6,0.7,-0.7,11,11,2,22
,,0.2,8,10,80.0,125.0,24.0,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,2
,,0.5,20,25,80.0,341.0,82.0,9,9,100.0,10,12,83.3,1,2,50.0,0,0.0,0.0,0.0,0,2,0,3
,,4.0,157,197,79.7,2564.0,834.0,77,85,90.6,64,82,78.0,11,18,61.1,0,0.1,0.0,0.0,1,12,1,14
,,4.0,254,289,87.9,4211.0,1351.0,128,138,92.8,107,115,93.0,16,31,51.6,1,1.0,1.0,0.0,7,40,0,25
,,3.0,76,104,73.1,1239.0,364.0,34,40,85.0,37,47,78.7,4,9,44.4,0,0.0,0.0,0.0,1,4,0,6
,,0.1,7,7,100.0,147.0,70.0,1,1,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0
,,0.4,22,30,73.3,299.0,163.0,16,18,88.9,6,8,75.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,1
,,0.8,20,21,95.2,287.0,134.0,14,14,100.0,6,6,100.0,0,1,0.0,0,0.0,0.0,0.0,0,6,0,5
,,4.0,232,274,84.7,3602.0,1217.0,119,125,95.2,104,114,91.2,7,28,25.0,0,0.1,0.0,0.0,0,24,0,12
,,3.6,70,101,69.3,946.0,209.0,39,54,72.2,19,28,67.9,3,6,50.0,1,0.8,1.2,-0.2,7,6,1,10
,,1.0,11,18,61.1,384.0,342.0,4,4,100.0,1,2,50.0,6,12,50.0,0,0.0,0.0,0.0,0,0,0,0
,,0.7,31,49,63.3,582.0,212.0,14,15,93.3,14,20,70.0,3,13,23.1,0,0.0,0.0,0.0,0,6,0,4
,,1.9,28,41,68.3,525.0,267.0,9,11,81.8,12,15,80.0,5,8,62.5,0,0.1,0.4,-0.4,3,4,1,7
,,0.4,27,30,90.0,417.0,179.0,15,16,93.8,9,10,90.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,7
,,3.8,114,131,87.0,1750.0,606.0,68,73,93.2,37,45,82.2,7,9,77.8,0,0.0,0.2,-0.2,2,7,0,6
,,3.8,203,228,89.0,2726.0,688.0,125,133,94.0,59,67,88.1,7,8,87.5,0,0.1,0.0,0.0,1,17,0,25
,,0.2,13,13,100.0,223.0,23.0,4,4,100.0,8,8,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0
,,0.7,23,25,92.0,334.0,84.0,13,13,100.0,8,8,100.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,1
,,0.1,1,1,100.0,17.0,14.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,1,0,0,1
,,4.0,305,331,92.1,5331.0,2520.0,144,154,93.5,135,143,94.4,23,28,82.1,0,0.1,0.0,0.0,1,23,0,18
,,3.6,30,50,60.0,466.0,57.0,19,28,67.9,7,9,77.8,3,3,100.0,0,0.1,0.1,-0.1,2,2,0,6
,,1.2,76,83,91.6,1381.0,250.0,32,37,86.5,35,36,97.2,7,7,100.0,0,0.0,0.0,0.0,0,5,0,5
