stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,0.3,18,2,2,15,1,1,18,1,1,100.0,0,0.0,7,25.0,13.0,1,0,0,0,0,14,1
,,3.6,281,11,87,117,80,5,281,2,1,50.0,1,50.0,143,585.0,327.0,6,4,1,2,2,179,8
,,4.0,240,22,89,95,60,3,240,11,6,54.5,4,36.4,120,436.0,223.0,5,5,1,8,4,130,18
,,0.5,51,0,7,23,22,0,51,1,0,0.0,0,0.0,24,94.0,35.0,0,2,0,0,0,40,1
,,3.7,195,11,60,112,23,1,195,2,1,50.0,0,0.0,90,429.0,176.0,1,2,0,1,3,109,2
,,2.8,145,9,59,59,28,3,145,7,2,28.6,4,57.1,93,463.0,226.0,3,3,0,2,5,97,10
,,4.0,155,8,25,75,61,14,155,21,9,42.9,9,42.9,82,652.0,481.0,14,8,3,10,7,93,18
,,4.0,361,38,135,213,16,6,361,0,0,0.0,0,0.0,240,1236.0,761.0,2,4,0,2,2,249,1
,,1.0,40,0,1,14,25,7,40,3,2,66.7,1,33.3,24,137.0,75.0,2,1,1,2,2,35,7
,,2.0,76,58,74,2,0,0,76,1,1,100.0,0,0.0,50,293.0,149.0,0,0,0,0,0,47,0
,,3.8,161,2,16,37,110,32,161,13,6,46.2,7,53.8,104,575.0,327.0,11,3,9,8,7,109,38
,,3.9,190,3,10,56,125,36,190,13,5,38.5,8,61.5,137,861.0,372.0,20,5,17,12,7,171,50
,,4.0,278,25,128,145,7,1,278,1,1,100.0,0,0.0,164,707.0,348.0,1,1,0,1,1,204,0
,,4.0,178,121,176,2,0,0,178,0,0,0.0,0,0.0,110,565.0,377.0,0,0,0,0,0,106,0
,,0.5,37,1,5,7,25,3,37,4,2,50.0,2,50.0,24,152.0,77.0,2,0,1,1,0,26,9
,,2.4,146,4,36,92,20,6,146,0,0,0.0,0,0.0,60,231.0,67.0,0,2,0,2,1,76,2
,,0.3,36,0,4,19,13,3,36,4,3,75.0,1,25.0,18,91.0,62.0,2,1,0,0,0,21,2
,,0.1,8,0,0,6,2,0,8,0,0,0.0,0,0.0,6,61.0,10.0,0,0,0,1,0,7,2
,,0.7,42,1,4,12,26,8,42,2,0,0.0,1,50.0,25,177.0,97.0,2,2,2,2,3,28,9
,,2.3,141,1,6,20,119,23,141,11,5,45.5,2,18.2,96,840.0,564.0,21,6,13,9,3,106,31
,,2.3,74,3,10,27,38,8,74,8,3,37.5,4,50.0,48,319.0,160.0,6,2,2,5,5,56,17
,,1.3,77,13,39,28,10,2,77,0,0,0.0,0,0.0,46,194.0,105.0,0,0,0,0,0,52,3
,,0.2,23,0,4,12,8,0,23,0,0,0.0,0,0.0,7,48.0,11.0,0,0,0,3,0,11,2
,,1.5,95,8,30,45,21,0,95,5,0,0.0,4,80.0,50,237.0,107.0,0,0,0,4,2,50,5
,,4.0,125,95,124,1,0,0,125,0,0,0.0,0,0.0,81,459.0,232.0,0,0,0,0,0,73,0
,,1.7,81,7,22,34,27,1,81,6,3,50.0,3,50.0,46,316.0,179.0,3,2,1,2,0,43,4
,,4.0,174,5,33,47,99,25,174,15,4,26.7,9,60.0,107,906.0,426.0,15,9,10,7,9,121,32
,,2.8,172,22,91,67,14,4,172,2,1,50.0,1,50.0,88,529.0,273.0,1,4,0,0,2,97,0
,,3.1,211,3,24,69,118,24,211,2,1,50.0,1,50.0,106,621.0,351.0,5,3,5,1,6,169,21
,,0.1,17,1,8,3,6,0,17,4,0,0.0,3,75.0,7,17.0,0.0,0,0,0,0,0,6,0
,,1.4,68,5,7,19,42,8,68,7,2,28.6,4,57.1,41,246.0,80.0,7,2,4,4,1,44,12
,,2.0,112,3,19,75,20,0,112,5,3,60.0,2,40.0,67,281.0,151.0,4,3,0,2,3,75,3
,,2.4,152,5,18,63,72,11,152,1,1,100.0,0,0.0,61,237.0,128.0,2,5,0,7,2,93,12
,,1.7,68,2,25,29,15,0,68,3,1,33.3,0,0.0,25,138.0,60.0,2,1,0,1,1,19,1
,,3.0,181,8,29,89,64,11,181,5,0,0.0,4,80.0,114,603.0,313.0,6,6,3,3,3,138,19
,,2.0,56,1,4,23,30,12,56,5,3,60.0,2,40.0,37,156.0,77.0,4,3,3,5,2,44,10
,,0.2,12,1,7,4,1,0,12,0,0,0.0,0,0.0,1,4.0,0.0,0,0,0,0,2,5,0
,,0.1,13,1,2,0,11,2,13,2,1,50.0,1,50.0,7,83.0,36.0,2,2,2,1,0,7,3
,,2.5,79,4,14,33,33,18,79,1,0,0.0,1,100.0,27,64.0,21.0,1,1,1,2,2,46,11
,,0.1,4,0,1,2,1,0,4,0,0,0.0,0,0.0,2,7.0,0.0,0,0,0,1,0,2,0
,,0.2,19,0,6,7,6,1,19,2,1,50.0,1,50.0,14,62.0,14.0,0,0,0,0,0,16,2
,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
,,2.0,114,107,114,0,0,0,114,0,0,0.0,0,0.0,91,361.0,151.0,0,0,0,0,0,83,0
,,3.9,347,25,114,193,41,3,347,2,0,0.0,2,100.0,206,1083.0,636.0,6,7,0,1,0,276,0
,,0.1,2,0,0,2,0,0,2,0,0,0.0,0,0.0,3,40.0,0.0,0,0,1,0,1,3,1
,,0.3,7,0,1,6,0,0,7,0,0,0.0,0,0.0,5,15.0,6.0,0,0,0,0,2,7,0
,,1.4,77,7,20,39,19,1,77,0,0,0.0,0,0.0,39,288.0,131.0,1,4,0,0,0,56,0
,,3.8,87,5,10,43,34,12,87,3,2,66.7,1,33.3,37,126.0,53.0,2,1,2,15,3,58,9
,,3.3,263,13,75,100,89,4,263,6,3,50.0,2,33.3,146,677.0,390.0,7,7,1,1,0,183,16
,,0.8,36,1,5,13,18,5,36,3,0,0.0,2,66.7,21,165.0,78.0,4,1,1,0,4,22,8
,,2.5,54,1,14,24,16,2,54,2,1,50.0,1,50.0,37,246.0,65.0,3,1,1,5,2,37,8
,,4.0,256,2,23,140,97,14,256,4,3,75.0,1,25.0,145,715.0,470.0,14,9,3,9,3,187,19
,,4.0,191,32,106,73,16,9,191,2,0,0.0,2,100.0,85,424.0,135.0,1,2,0,2,0,104,0
,,3.8,194,3,17,69,111,14,194,9,3,33.3,6,66.7,94,603.0,352.0,11,9,2,6,7,112,30
,,0.2,10,0,1,1,8,1,10,0,0,0.0,0,0.0,6,32.0,24.0,1,1,0,0,0,8,2
,,0.5,36,10,18,11,7,0,36,0,0,0.0,0,0.0,18,94.0,59.0,0,0,0,0,0,20,1
,,4.0,241,7,68,111,63,7,241,4,1,25.0,1,25.0,116,589.0,327.0,8,7,0,5,3,126,10
,,4.0,328,15,65,202,63,3,328,7,4,57.1,2,28.6,192,741.0,345.0,4,7,1,5,3,247,3
,,3.0,138,11,44,65,30,8,138,7,4,57.1,3,42.9,60,299.0,131.0,5,0,3,2,2,63,5
