Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
409,Petar Stojanović,si SVN,MF,Empoli,28-359,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
410,Gabriel Strefezza,br BRA,"MF,FW",Como,27-165,1997,5.7,22,3.85,16,4,0,1,0,1,1,0.18,1,0,0,0,0,0,Matches
411,Ibrahim Sulemana,gh GHA,MF,Atalanta,21-131,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
412,Tomáš Suslov,sk SVK,"FW,MF",Hellas Verona,22-115,2002,2.7,6,2.20,4,0,1,0,0,1,1,0.37,0,0,0,0,0,1,Matches
413,Zion Suzuki,jp JPN,GK,Parma,22-040,2002,3.8,1,0.26,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
414,Marin Šverko,hr CRO,DF,Venezia,26-239,1998,3.0,3,1.01,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
415,Mile Svilar,rs SRB,GK,Roma,25-034,1999,6.0,2,0.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
416,Michael Svoboda,at AUT,DF,Venezia,25-351,1998,5.3,8,1.52,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
417,Adrien Tameze,cm CMR,"MF,DF",Torino,30-239,1994,2.7,3,1.13,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
418,Mehdi Taremi,ir IRN,"FW,MF",Inter,32-074,1992,1.9,7,3.73,6,0,0,1,0,0,2,1.07,1,0,0,1,0,0,Matches
419,Nuno Tavares,pt POR,DF,Lazio,24-248,2000,3.7,18,4.82,11,3,1,1,2,0,7,1.87,4,1,1,0,1,0,Matches
420,Loum Tchaouna,fr FRA,"FW,MF",Lazio,21-022,2003,1.6,5,3.08,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
421,Jackson Tchatchoua,cm CMR,"MF,DF",Hellas Verona,23-016,2001,6.0,11,1.85,9,2,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
422,Casper Tengstedt,dk DEN,FW,Hellas Verona,24-121,2000,4.4,5,1.12,3,0,0,0,2,0,1,0.22,1,0,0,0,0,0,Matches
423,Filippo Terracciano,it ITA,DF,Milan,21-235,2003,1.0,2,2.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
424,Pietro Terracciano,it ITA,GK,Fiorentina,34-206,1990,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
425,Florian Thauvin,fr FRA,"MF,FW",Udinese,31-248,1993,5.0,19,3.81,14,2,1,1,0,1,3,0.60,2,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
426,Malick Thiaw,de GER,DF,Milan,23-053,2001,1.0,1,1.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
427,Morten Thorsby,no NOR,"MF,DF",Genoa,28-148,1996,1.5,5,3.31,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
428,Khéphren Thuram,fr FRA,MF,Juventus,23-188,2001,1.3,2,1.53,2,0,0,0,0,0,1,0.76,1,0,0,0,0,0,Matches
429,Marcus Thuram,fr FRA,FW,Inter,27-055,1997,5.3,14,2.62,12,0,0,0,2,0,4,0.75,3,0,0,0,1,0,Matches
430,Rafael Tolói,it ITA,DF,Atalanta,33-356,1990,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
431,Fikayo Tomori,eng ENG,DF,Milan,26-286,1997,5.0,3,0.60,3,0,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches
432,Souleymane Touré,fr FRA,DF,Udinese,21-186,2003,1.2,1,0.85,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
433,Stefano Turati,it ITA,GK,Monza,23-025,2001,4.0,1,0.25,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
434,Kacper Urbanski,pl POL,"MF,FW",Bologna,20-023,2004,1.5,5,3.44,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
435,Emanuele Valeri,it ITA,DF,Parma,25-298,1998,2.1,4,1.93,3,0,0,0,0,1,3,1.44,3,0,0,0,0,0,Matches
