Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
79,Franco Carboni,it ITA,DF,Venezia,21-179,2003,0.0,2,2,100.0,17,16,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
80,Marco Carnesecchi,it ITA,GK,Atalanta,24-091,2000,5.0,103,142,72.5,2865,1890,13,13,100.0,58,58,100.0,32,71,45.1,0,0.0,0.0,0.0,0,2,0,0,0,Matches
81,Nicolò Casale,it ITA,DF,Bologna,26-229,1998,1.8,89,103,86.4,1869,628,22,26,84.6,58,63,92.1,8,8,100.0,0,0.0,0.0,0.0,0,5,0,0,4,Matches
82,Nicolò Casale,it ITA,DF,Lazio,26-229,1998,1.5,100,110,90.9,2040,595,27,30,90.0,59,62,95.2,13,17,76.5,0,0.0,0.0,0.0,0,12,0,0,6,Matches
83,Federico Cassa,it ITA,"MF,FW",Atalanta,18-242,2006,0.2,5,6,83.3,54,9,5,5,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
84,Valentín Castellanos,ar ARG,FW,Lazio,25-363,1998,4.6,55,87,63.2,705,159,28,39,71.8,19,28,67.9,1,3,33.3,0,0.4,0.5,-0.4,3,5,2,1,8,Matches
85,Santiago Castro,ar ARG,FW,Bologna,20-001,2004,5.0,72,90,80.0,1364,183,31,33,93.9,30,39,76.9,8,11,72.7,1,0.4,0.5,+0.6,3,3,1,0,5,Matches
86,Gaetano Castrovilli,it ITA,MF,Lazio,27-226,1997,1.0,41,45,91.1,690,173,22,25,88.0,15,16,93.8,4,4,100.0,0,0.7,0.0,-0.7,2,7,0,0,7,Matches
87,Danilo Cataldi,it ITA,MF,Fiorentina,30-055,1994,3.3,127,145,87.6,2583,649,45,49,91.8,61,64,95.3,20,30,66.7,0,0.1,0.1,-0.1,1,12,2,2,8,Matches
88,Zeki Çelik,tr TUR,DF,Roma,27-226,1997,4.8,199,243,81.9,3236,1022,93,101,92.1,83,101,82.2,16,28,57.1,0,0.2,0.2,-0.2,5,14,5,3,16,Matches
89,Alberto Cerri,it ITA,FW,Como,28-167,1996,0.7,9,14,64.3,119,0,6,10,60.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
