Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
350,Pablo Marí,es ESP,DF,Monza,31-030,1993,6,540,90,100.0,6.0,6,90,6,0,,0,0.50,4,8,-4,-0.67,,2.2,6.7,-4.5,-0.75,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
351,Luca Marianucci,it ITA,DF,Empoli,20-069,2004,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
352,Mirko Marić,hr CRO,FW,Monza,29-137,1995,1,9,9,1.7,0.1,0,,0,1,9,4,0.00,0,0,0,0.00,+0.68,0.0,0.1,-0.1,-0.66,+0.09,Matches
353,Rafa Marín,es ESP,DF,Napoli,22-134,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
354,Răzvan Marin,ro ROU,MF,Cagliari,28-130,1996,5,416,83,92.4,4.6,5,83,3,0,,0,0.40,1,7,-6,-1.30,+1.35,5.3,6.5,-1.2,-0.25,-3.27,Matches
355,Renato Marin,it ITA,GK,Roma,18-082,2006,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
356,Guillermo Maripán,cl CHI,DF,Torino,30-147,1994,2,103,52,19.1,1.1,1,90,1,1,13,1,1.50,4,3,+1,+0.87,+0.67,2.4,1.1,+1.3,+1.11,+1.86,Matches
357,Aarón Martín,es ESP,DF,Genoa,27-161,1997,5,450,90,83.3,5.0,5,90,5,0,,1,1.00,4,7,-3,-0.60,+2.40,6.0,7.7,-1.7,-0.34,+1.83,Matches
358,Tommaso Martinelli,it ITA,GK,Fiorentina,18-268,2006,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
359,Josep Martinez,es ESP,GK,Inter,26-126,1998,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
360,Lautaro Martínez,ar ARG,FW,Inter,27-039,1997,5,397,79,73.5,4.4,5,79,1,0,,0,1.60,10,5,+5,+1.13,+0.50,5.9,4.7,+1.2,+0.27,-1.30,Matches
361,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,28-143,1996,5,219,44,40.6,2.4,3,65,1,2,13,1,1.20,3,5,-2,-0.82,-1.38,3.9,3.9,0.0,-0.01,-0.89,Matches
362,Kevin Martins,it ITA,DF,Monza,19-243,2005,1,4,4,0.7,0.0,0,,0,1,4,0,0.00,0,0,0,0.00,+0.67,0.0,0.1,-0.1,-2.43,-1.69,Matches
