Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
74,Antonio Candela,it ITA,DF,Venezia,24-156,2000,4.9,0,2,0,0.0,0.41,0.00,0.00,,21.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
75,Gianluca Caprari,it ITA,MF,Monza,31-062,1993,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Elia Caprile,it ITA,GK,Napoli,23-036,2001,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,Francesco Caputo,it ITA,FW,Empoli,37-055,1987,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78,Andrea Carboni,it ITA,DF,Monza,23-239,2001,3.9,0,1,0,0.0,0.26,0.00,0.00,,28.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
79,Franco Carboni,it ITA,DF,Venezia,21-179,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
80,Marco Carnesecchi,it ITA,GK,Atalanta,24-091,2000,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
81,Nicolò Casale,it ITA,DF,Bologna,26-229,1998,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
82,Nicolò Casale,it ITA,DF,Lazio,26-229,1998,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,11.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
