Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
69,Hakan Çalhanoğlu,tr TUR,MF,Inter,30-235,1994,4.1,366,7,66,212,89,5,365,1,1,100.0,0,0.0,241,1217,616,5,10,1,4,0,281,14,Matches
70,Drissa Camara,ci CIV,FW,Parma,22-225,2002,0.3,15,1,4,5,6,2,15,0,0,,0,,8,32,27,1,0,1,1,0,9,0,Matches
71,Nicolò Cambiaghi,it ITA,FW,Bologna,23-277,2000,0.2,20,0,0,5,15,1,20,0,0,,0,,15,77,46,1,0,0,0,0,16,4,Matches
72,Andrea Cambiaso,it ITA,"DF,FW",Juventus,24-223,2000,5.1,363,10,85,197,87,7,363,11,6,54.5,4,36.4,208,1404,726,15,13,1,14,4,271,18,Matches
73,Matteo Cancellieri,it ITA,"FW,MF",Parma,22-231,2002,1.7,77,4,13,29,36,4,77,14,5,35.7,7,50.0,41,331,151,7,2,4,5,7,46,13,Matches
74,Antonio Candela,it ITA,DF,Venezia,24-156,2000,4.9,174,13,79,55,42,4,174,5,3,60.0,2,40.0,88,466,180,3,1,0,3,4,100,7,Matches
75,Gianluca Caprari,it ITA,MF,Monza,31-062,1993,2.2,95,0,4,49,42,1,95,3,1,33.3,1,33.3,74,397,149,5,4,1,8,8,82,16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Elia Caprile,it ITA,GK,Napoli,23-036,2001,1.6,31,26,31,0,0,0,31,0,0,,0,,14,81,45,0,0,0,0,0,18,0,Matches
77,Francesco Caputo,it ITA,FW,Empoli,37-055,1987,0.1,2,0,0,1,1,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,1,Matches
78,Andrea Carboni,it ITA,DF,Monza,23-239,2001,3.9,249,17,106,132,11,0,249,1,1,100.0,0,0.0,162,618,232,2,4,0,1,1,180,1,Matches
79,Franco Carboni,it ITA,DF,Venezia,21-179,2003,0.0,4,0,3,0,1,0,4,1,1,100.0,0,0.0,3,18,15,0,1,0,0,0,2,0,Matches
80,Marco Carnesecchi,it ITA,GK,Atalanta,24-091,2000,5.0,157,134,157,0,0,0,157,0,0,,0,,83,391,239,0,0,0,0,0,76,0,Matches
81,Nicolò Casale,it ITA,DF,Bologna,26-229,1998,1.8,116,15,62,55,0,0,116,0,0,,0,,65,288,164,0,0,0,1,0,82,0,Matches
82,Nicolò Casale,it ITA,DF,Lazio,26-229,1998,1.5,124,9,39,83,2,2,124,0,0,,0,,83,375,211,0,1,1,1,0,99,0,Matches
83,Federico Cassa,it ITA,"MF,FW",Atalanta,18-242,2006,0.2,9,0,1,2,6,0,9,1,0,0.0,1,100.0,9,61,41,1,2,1,0,0,8,2,Matches
84,Valentín Castellanos,ar ARG,FW,Lazio,25-363,1998,4.6,138,2,6,53,82,31,138,6,4,66.7,2,33.3,78,399,187,8,5,6,11,6,102,23,Matches
85,Santiago Castro,ar ARG,FW,Bologna,20-001,2004,5.0,146,6,17,60,74,22,146,16,7,43.8,9,56.3,81,357,104,2,2,2,8,12,96,29,Matches
86,Gaetano Castrovilli,it ITA,MF,Lazio,27-226,1997,1.0,57,0,13,33,11,3,57,1,0,0.0,1,100.0,41,226,143,4,1,1,1,2,41,4,Matches
87,Danilo Cataldi,it ITA,MF,Fiorentina,30-055,1994,3.3,173,12,43,106,26,3,173,2,1,50.0,1,50.0,100,644,259,6,8,1,2,1,116,2,Matches
88,Zeki Çelik,tr TUR,DF,Roma,27-226,1997,4.8,282,10,67,142,76,6,282,1,0,0.0,1,100.0,143,652,269,4,4,0,2,0,170,14,Matches
89,Alberto Cerri,it ITA,FW,Como,28-167,1996,0.7,23,1,4,8,12,5,23,0,0,,0,,13,37,8,0,0,0,2,1,17,5,Matches
90,Gabriel Charpentier,cg CGO,FW,Parma,25-136,1999,0.2,11,4,8,2,1,0,11,0,0,,0,,1,0,0,0,0,0,1,0,3,1,Matches
91,Walid Cheddira,ma MAR,FW,Napoli,26-252,1998,0.1,3,0,0,1,2,0,3,0,0,,0,,1,3,0,0,0,0,0,0,2,1,Matches
92,Leandro Chichizola,ar ARG,GK,Parma,34-187,1990,1.0,54,45,53,1,0,0,54,0,0,,0,,30,156,107,0,0,0,0,0,31,0,Matches
93,Samuel Chukwueze,ng NGA,FW,Milan,25-131,1999,2.0,92,1,14,39,41,4,92,5,2,40.0,3,60.0,62,409,237,7,5,1,5,3,69,19,Matches
94,Aaron Ciammaglichella,it ITA,MF,Torino,19-248,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
95,Alessandro Circati,au AUS,DF,Parma,20-356,2003,4.0,219,57,135,83,1,0,219,0,0,,0,,98,406,210,1,0,0,3,2,125,0,Matches
96,Alphadjo Cissè,it ITA,MF,Hellas Verona,17-344,2006,0.0,8,0,1,6,1,0,8,0,0,,0,,4,12,0,0,0,0,0,0,7,0,Matches
97,Saúl Coco,gq EQG,DF,Torino,25-234,1999,5.0,319,41,142,169,9,2,319,3,2,66.7,1,33.3,176,858,368,0,2,0,3,0,203,0,Matches
98,Lorenzo Colombo,it ITA,"FW,MF",Empoli,22-206,2002,4.7,142,1,11,74,60,13,141,17,8,47.1,9,52.9,78,559,239,8,7,2,16,10,93,22,Matches
99,Andrea Colpani,it ITA,"MF,FW",Fiorentina,25-142,1999,4.2,142,2,10,58,74,12,142,8,2,25.0,5,62.5,100,678,283,10,12,4,9,6,112,33,Matches
100,Pietro Comuzzo,it ITA,DF,Fiorentina,19-223,2005,4.5,331,28,167,150,14,3,331,0,0,,0,,211,878,359,3,3,0,3,1,232,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Francisco Conceição,pt POR,FW,Juventus,21-291,2002,0.8,46,1,9,10,27,4,46,3,3,100.0,0,0.0,36,241,127,5,3,3,3,2,38,6,Matches
102,Diego Coppola,it ITA,DF,Hellas Verona,20-277,2003,6.0,318,33,171,146,3,1,318,1,0,0.0,1,100.0,169,876,347,1,0,0,0,2,175,0,Matches
103,Joaquín Correa,ar ARG,"MF,FW",Inter,30-048,1994,0.2,15,0,0,9,7,1,15,0,0,,0,,8,67,61,2,2,0,1,0,12,1,Matches
104,Lassana Coulibaly,ml MLI,MF,Lecce,28-173,1996,2.8,124,5,28,84,13,1,124,1,1,100.0,0,0.0,66,377,149,2,2,0,3,2,82,3,Matches
105,Woyo Coulibaly,fr FRA,DF,Parma,25-133,1999,5.0,271,13,83,152,40,5,271,10,5,50.0,4,40.0,149,1018,594,17,7,5,11,3,161,10,Matches
106,Bryan Cristante,it ITA,MF,Roma,29-211,1995,5.6,399,21,73,268,59,12,399,3,2,66.7,1,33.3,208,1259,674,6,7,1,5,2,284,3,Matches
107,Domen Črnigoj,si SVN,MF,Venezia,28-317,1995,0.4,28,3,6,12,10,1,28,0,0,,0,,15,86,62,3,2,0,3,0,16,2,Matches
108,Juan Cuadrado,co COL,DF,Atalanta,36-127,1988,0.7,66,1,7,19,40,6,66,5,2,40.0,2,40.0,40,215,136,7,9,2,1,1,48,13,Matches
109,Patrick Cutrone,it ITA,FW,Como,26-271,1998,5.2,151,1,4,60,88,31,150,5,2,40.0,2,40.0,95,450,204,13,3,7,15,8,108,42,Matches
110,Wylan Cyprien,fr FRA,MF,Parma,29-246,1995,0.3,28,2,8,11,9,1,28,0,0,,0,,11,46,33,1,1,1,0,0,15,0,Matches
111,Danilo D'Ambrosio,it ITA,DF,Monza,36-021,1988,0.3,14,1,5,4,5,1,14,0,0,,0,,12,22,10,0,0,0,0,0,11,4,Matches
112,Lucas Da Cunha,fr FRA,"MF,FW",Como,23-113,2001,2.2,126,1,17,61,48,7,126,2,0,0.0,2,100.0,65,426,248,9,7,2,2,1,81,16,Matches
113,Thijs Dallinga,nl NED,"FW,MF",Bologna,24-058,2000,1.3,53,3,7,26,20,7,53,3,1,33.3,2,66.7,26,70,13,0,0,0,8,3,37,8,Matches
114,Flavius Daniliuc,at AUT,DF,Hellas Verona,23-156,2001,2.8,125,16,59,57,10,1,125,1,1,100.0,0,0.0,73,358,184,1,1,0,1,2,80,2,Matches
115,Danilo,br BRA,DF,Juventus,33-077,1991,1.1,106,6,35,55,17,0,106,0,0,,0,,68,307,165,3,1,0,1,0,92,2,Matches
116,Matteo Darmian,it ITA,DF,Inter,34-303,1989,4.4,263,9,69,130,66,7,263,1,0,0.0,1,100.0,120,352,174,1,2,1,5,4,178,22,Matches
117,Juan David Cabal,co COL,DF,Juventus,23-266,2001,2.3,181,7,76,88,18,3,181,5,3,60.0,0,0.0,104,501,315,6,2,0,2,2,130,7,Matches
118,Keinan Davis,eng ENG,FW,Udinese,26-230,1998,1.8,74,0,5,40,32,12,74,6,3,50.0,3,50.0,42,296,128,4,4,4,11,3,62,12,Matches
119,Paweł Dawidowicz,pl POL,DF,Hellas Verona,29-133,1995,4.2,243,22,90,144,9,1,243,1,1,100.0,0,0.0,144,793,493,2,2,0,0,1,163,1,Matches
120,Charles De Ketelaere,be BEL,"FW,MF",Atalanta,23-204,2001,4.5,226,0,7,97,127,24,226,18,9,50.0,9,50.0,144,1115,651,18,17,7,8,9,178,41,Matches
121,Mattia De Sciglio,it ITA,DF,Empoli,31-346,1992,0.0,3,2,3,0,0,0,3,0,0,,0,,1,5,0,0,0,0,0,1,1,1,Matches
122,Lorenzo De Silvestri,it ITA,DF,Bologna,36-130,1988,1.0,75,2,12,45,18,1,75,1,0,0.0,1,100.0,40,128,49,2,1,0,3,0,48,7,Matches
123,Koni De Winter,be BEL,DF,Genoa,22-110,2002,6.0,350,32,148,171,35,14,350,0,0,,0,,184,1098,575,2,2,0,4,3,223,6,Matches
124,Alessandro Deiola,it ITA,MF,Cagliari,29-060,1995,4.2,161,10,36,80,47,6,161,1,1,100.0,0,0.0,66,249,93,3,1,0,5,4,91,9,Matches
125,Enrico Del Prato,it ITA,DF,Parma,24-325,1999,3.2,184,34,74,76,36,5,184,0,0,,0,,94,322,172,0,0,0,2,1,116,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
126,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,23-237,2001,1.8,77,2,10,39,30,5,77,6,3,50.0,2,33.3,45,251,99,3,2,2,3,2,58,12,Matches
127,Ali Dembélé,fr FRA,DF,Torino,20-269,2004,0.6,29,2,7,19,4,0,29,1,0,0.0,1,100.0,15,68,43,2,1,0,0,0,16,0,Matches
128,Michele Di Gregorio,it ITA,GK,Juventus,27-065,1997,4.0,107,92,106,1,0,0,107,0,0,,0,,67,356,216,0,0,0,0,0,62,0,Matches
129,Giovanni Di Lorenzo,it ITA,DF,Napoli,31-057,1993,6.0,385,23,109,174,105,13,385,7,3,42.9,3,42.9,203,932,480,7,8,2,4,2,268,30,Matches
130,Boulaye Dia,sn SEN,"FW,MF",Lazio,27-319,1996,3.7,108,0,12,49,49,15,108,11,6,54.5,5,45.5,75,376,117,5,2,3,8,7,86,16,Matches
131,Federico Dimarco,it ITA,DF,Inter,26-325,1997,5.3,326,10,53,107,169,25,326,2,2,100.0,0,0.0,172,752,447,9,10,2,4,1,226,55,Matches
132,Berat Djimsiti,al ALB,DF,Atalanta,31-224,1993,6.0,396,36,156,205,36,6,396,1,1,100.0,0,0.0,207,1246,713,8,10,0,2,0,253,10,Matches
133,Dodô,br BRA,DF,Fiorentina,25-318,1998,6.0,377,14,92,169,124,12,377,28,12,42.9,9,32.1,230,1694,1024,34,21,4,13,7,239,40,Matches
134,Patrick Dorgu,dk DEN,"FW,DF",Lecce,19-340,2004,4.5,204,6,48,85,77,13,204,9,1,11.1,5,55.6,134,925,538,17,10,6,7,8,149,26,Matches
135,Alberto Dossena,it ITA,DF,Como,25-353,1998,4.7,268,31,124,137,8,5,268,2,1,50.0,1,50.0,135,549,319,0,1,0,1,2,161,0,Matches
136,Issa Doumbia,ci CIV,MF,Venezia,20-350,2003,1.0,51,2,17,29,7,0,51,0,0,,0,,33,201,135,2,3,0,2,2,35,2,Matches
137,Artem Dovbyk,ua UKR,FW,Roma,27-101,1997,5.8,138,3,8,50,80,39,138,5,2,40.0,3,60.0,72,297,55,3,2,1,12,4,108,35,Matches
138,Ondrej Duda,sk SVK,MF,Hellas Verona,29-300,1994,3.4,175,4,34,104,42,0,175,3,3,100.0,0,0.0,90,461,184,2,5,0,5,4,97,4,Matches
139,Denzel Dumfries,nl NED,DF,Inter,28-165,1996,1.6,77,1,14,40,25,4,77,4,0,0.0,4,100.0,36,174,92,3,1,0,1,0,48,9,Matches
