Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
52,Marnon Busch,de GER,DF,Heidenheim,29-297,1994,3,2,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,4,3,4,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10,Matches
53,Anthony Caci,fr FRA,DF,Mainz 05,27-091,1997,5,5,381,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,3,12,14,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.13,0.05,0.13,Matches
54,Emre Can,de GER,"MF,DF",Dortmund,30-262,1994,5,3,291,3.2,2,0,2,0,2,2,1,0,1.7,0.1,0.0,0.1,6,20,6,0.62,0.00,0.62,0.00,0.00,0.53,0.00,0.53,0.04,0.04,Matches
55,Julian Chabot,de GER,DF,Stuttgart,26-231,1998,5,5,429,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,18,1,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches
56,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19-137,2005,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
57,Fares Chaïbi,dz ALG,"FW,MF",Eint Frankfurt,21-307,2002,5,3,282,3.1,0,0,0,0,0,0,1,0,1.8,1.8,0.4,2.2,10,15,22,0.00,0.00,0.00,0.00,0.00,0.56,0.14,0.70,0.56,0.70,Matches
58,Anrie Chase,jp JPN,DF,Stuttgart,20-190,2004,4,2,227,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
59,Fabio Chiarodia,it ITA,DF,Gladbach,19-117,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Nnamdi Collins,de GER,DF,Eint Frankfurt,20-264,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,28-109,1996,5,2,204,2.3,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,14,6,29,0.00,0.44,0.44,0.00,0.44,0.12,0.19,0.31,0.12,0.31,Matches
62,Sirlord Conteh,de GER,"FW,DF",Heidenheim,28-083,1996,4,0,126,1.4,0,1,1,0,0,0,0,0,0.0,0.0,1.1,1.1,6,5,12,0.00,0.71,0.71,0.00,0.71,0.00,0.79,0.79,0.00,0.79,Matches
63,Yan Couto,br BRA,DF,Dortmund,22-119,2002,3,1,146,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,6,11,12,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches
64,Tomáš Čvančara,cz CZE,"FW,MF",Gladbach,24-048,2000,5,0,79,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,3,3,4,1.14,0.00,1.14,1.14,1.14,0.21,0.13,0.35,0.21,0.35,Matches
65,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,28-273,1996,2,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
66,Bence Dárdai,de GER,FW,Wolfsburg,18-250,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.80,0.00,0.80,Matches
67,Lukas Daschner,de GER,"MF,FW",Bochum,25-365,1998,4,2,176,2.0,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.9,2,1,5,0.51,0.00,0.51,0.51,0.51,0.30,0.14,0.44,0.30,0.44,Matches
68,Alphonso Davies,ca CAN,DF,Bayern Munich,23-333,2000,4,3,297,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,13,24,24,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.14,0.07,0.14,Matches
69,Olivier Deman,be BEL,DF,Werder Bremen,24-177,2000,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
