Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
41,Sacha Boey,fr FRA,DF,Bayern Munich,24-017,2000,1.4,103,2,18,48,38,3,103,6,3,50.0,3,50.0,58,268,119,4,3,2,2,0,72,10,Matches
42,Victor Boniface,ng NGA,FW,Leverkusen,23-282,2000,3.8,131,3,9,52,71,31,131,17,7,41.2,9,52.9,63,373,156,9,4,8,14,13,102,19,Matches
43,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25-192,1999,5.0,190,24,74,108,9,5,190,1,0,0.0,1,100.0,73,388,112,0,1,0,2,1,86,0,Matches
44,Carlo Boukhalfa,ma MAR,MF,St. Pauli,25-150,1999,2.6,102,1,16,48,38,9,102,3,1,33.3,2,66.7,40,181,77,2,1,0,4,2,57,7,Matches
45,Julian Brandt,de GER,MF,Dortmund,28-151,1996,4.2,250,3,28,109,114,10,250,4,2,50.0,1,25.0,132,788,456,15,14,2,9,1,200,38,Matches
46,Tim Breithaupt,de GER,MF,Augsburg,22-236,2002,1.3,75,2,18,49,8,1,75,2,2,100.0,0,0.0,44,174,67,1,0,0,3,2,47,1,Matches
47,Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-047,2000,2.4,88,5,14,48,29,8,87,2,0,0.0,1,50.0,52,189,83,2,2,1,8,4,63,7,Matches
48,Moritz Broschinski,de GER,FW,Bochum,24-007,2000,2.8,84,4,12,33,41,11,84,5,1,20.0,4,80.0,47,238,93,5,1,2,14,5,59,21,Matches
49,Jacob Bruun Larsen,dk DEN,"DF,FW",Hoffenheim,26-011,1998,1.0,55,1,7,11,38,8,55,5,3,60.0,2,40.0,39,407,239,7,4,3,2,4,37,18,Matches
50,Marius Bülter,de GER,FW,Hoffenheim,31-185,1993,4.0,117,3,11,44,65,17,117,10,6,60.0,4,40.0,84,515,319,12,3,9,10,4,83,28,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,24-081,2000,5.0,140,6,14,57,69,20,140,7,5,71.4,2,28.6,70,318,111,5,4,0,15,9,94,22,Matches
52,Marnon Busch,de GER,DF,Heidenheim,29-297,1994,1.7,118,8,51,53,14,0,118,1,0,0.0,1,100.0,67,287,164,4,2,0,2,0,74,4,Matches
53,Anthony Caci,fr FRA,DF,Mainz 05,27-091,1997,4.2,233,13,55,99,80,2,233,2,1,50.0,1,50.0,93,343,122,3,2,0,3,1,127,14,Matches
54,Emre Can,de GER,"MF,DF",Dortmund,30-262,1994,3.2,239,10,49,139,53,5,237,3,2,66.7,1,33.3,119,655,346,6,4,1,3,2,182,6,Matches
55,Julian Chabot,de GER,DF,Stuttgart,26-231,1998,4.8,412,45,245,154,15,5,412,0,0,,0,,244,979,464,1,1,0,0,0,282,1,Matches
56,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19-137,2005,1.1,71,17,39,32,1,0,71,0,0,,0,,26,85,28,0,0,0,0,0,36,0,Matches
57,Fares Chaïbi,dz ALG,"FW,MF",Eint Frankfurt,21-307,2002,3.1,164,7,25,61,80,14,164,6,4,66.7,2,33.3,79,480,235,10,3,3,6,1,95,22,Matches
58,Anrie Chase,jp JPN,DF,Stuttgart,20-190,2004,2.5,195,25,116,70,13,1,195,3,2,66.7,1,33.3,108,302,120,1,3,0,1,1,136,0,Matches
59,Fabio Chiarodia,it ITA,DF,Gladbach,19-117,2005,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
60,Nnamdi Collins,de GER,DF,Eint Frankfurt,20-264,2004,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
61,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,28-109,1996,2.3,149,4,23,49,80,17,149,18,10,55.6,8,44.4,96,686,289,14,5,5,3,3,107,29,Matches
62,Sirlord Conteh,de GER,"FW,DF",Heidenheim,28-083,1996,1.4,51,2,9,15,30,5,51,1,0,0.0,0,0.0,35,205,129,6,0,1,3,3,33,12,Matches
