Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
110,Robin Gosens,de GER,DF,Union Berlin,30-087,1994,1.0,5,5.00,3,0,0,1,0,1,1,1.00,1,0,0,0,0,0,Matches
111,Mario Götze,de GER,"FW,MF",Eint Frankfurt,32-119,1992,2.5,4,1.62,4,0,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
112,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,33-082,1991,5.0,13,2.60,11,2,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches
113,Kamil Grabara,pl POL,GK,Wolfsburg,25-266,1999,5.0,4,0.80,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
114,Michael Gregoritsch,at AUT,FW,Freiburg,30-165,1994,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
115,Vincenzo Grifo,it ITA,"FW,MF",Freiburg,31-176,1993,4.5,30,6.70,16,8,3,3,0,0,2,0.45,1,1,0,0,0,0,Matches
116,Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,29-054,1995,2.3,6,2.66,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Álex Grimaldo,es ESP,DF,Leverkusen,29-010,1995,5.0,33,6.61,14,10,3,4,2,0,4,0.80,0,2,0,1,1,0,Matches
118,Pascal Groß,de GER,MF,Dortmund,33-107,1991,4.5,23,5.11,15,8,0,0,0,0,3,0.67,3,0,0,0,0,0,Matches
119,Marco Grüll,at AUT,"FW,MF",Werder Bremen,26-086,1998,1.5,5,3.31,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
