Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
63,Juan Berrocal,ESP,DF,Getafe,25,1999,4.0,0,1,0,0.0,0.25,0.0,0.0,0.0,8.1,0,0,0,0.2,0.2,0.2,-0.2,-0.2
64,Antonio Blanco,ESP,MF,Alavés,24,2000,5.0,0,6,1,16.7,1.2,0.2,0.0,0.0,23.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4
65,Daley Blind,NED,DF,Girona,34,1990,7.6,0,1,1,100.0,0.13,0.13,0.0,0.0,10.4,0,0,0,0.0,0.0,0.01,0.0,0.0
66,Adama Boiro,ESP,DF,Athletic Club,22,2002,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
67,Enzo Boyomo,CMR,DF,Osasuna,22,2001,5.0,1,1,1,100.0,0.2,0.2,1.0,1.0,10.3,0,0,0,0.1,0.1,0.13,0.9,0.9
68,Enzo Boyomo,CMR,DF,Valladolid,22,2001,3.0,0,2,0,0.0,0.67,0.0,0.0,0.0,11.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
69,Darko Brašanac,SRB,MF,Leganés,32,1992,5.3,0,4,1,25.0,0.75,0.19,0.0,0.0,13.9,0,0,0,0.4,0.4,0.11,-0.4,-0.4
70,Ante Budimir,CRO,FW,Osasuna,33,1991,5.6,3,13,3,23.1,2.32,0.53,0.08,0.33,14.6,0,2,2,2.4,0.9,0.07,0.6,0.1
71,Leandro Cabrera,URU,DF,Espanyol,33,1991,4.5,0,1,0,0.0,0.22,0.0,0.0,0.0,11.6,0,0,0,0.0,0.0,0.04,0.0,0.0
72,Fernando Calero,ESP,DF,Espanyol,29,1995,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
73,Sergio Camello,ESP,FW,Rayo Vallecano,23,2001,4.7,2,11,5,45.5,2.34,1.06,0.18,0.4,15.6,0,0,0,1.9,1.9,0.17,0.1,0.1
74,José Campaña,ESP,MF,Las Palmas,31,1993,2.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
