Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
56,Fran Beltrán,ESP,MF,Celta Vigo,25,1999,6,5,412,4.6,1,0.22,0,0.0,1,0.22,1,0.22,0,0,0,0,0.2,0.04,0.2,0.04,0.6,0.13,0.8,0.17,8,25,6,0.22,0.17
57,Carlos Benavídez,URU,MF,Alavés,26,1998,5,3,214,2.4,1,0.42,1,0.42,2,0.84,1,0.42,0,0,1,0,0.1,0.04,0.1,0.04,0.6,0.26,0.7,0.3,1,10,2,0.84,0.3
58,Iker Benito,ESP,"FW,MF",Osasuna,22,2002,2,0,37,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,2,0,4,0.0,0.09
59,Yuri Berchiche,ESP,DF,Athletic Club,34,1990,6,5,470,5.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.02,0.1,0.02,0.4,0.08,0.5,0.1,8,37,14,0.0,0.1
60,Álex Berenguer,ESP,FW,Athletic Club,29,1995,7,5,416,4.6,0,0.0,1,0.22,1,0.22,0,0.0,0,0,2,0,0.5,0.11,0.5,0.11,0.8,0.17,1.3,0.29,15,7,44,0.22,0.29
61,Marc Bernal,ESP,MF,Barcelona,17,2007,3,3,242,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.03,0.1,0.03,0.0,0.01,0.1,0.03,0,8,2,0.0,0.03
62,Juan Bernat,ESP,"MF,DF",Villarreal,31,1993,2,0,19,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.41,0.1,0.41,1,0,0,0.0,0.41
63,Juan Berrocal,ESP,DF,Getafe,25,1999,4,4,359,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.05,0.2,0.05,0.0,0.0,0.2,0.05,1,6,0,0.0,0.05
64,Antonio Blanco,ESP,MF,Alavés,24,2000,8,5,449,5.0,0,0.0,1,0.2,1,0.2,0,0.0,0,0,1,0,0.4,0.08,0.4,0.08,0.5,0.1,0.9,0.17,1,29,3,0.2,0.17
65,Daley Blind,NED,DF,Girona,34,1990,8,8,683,7.6,0,0.0,1,0.13,1,0.13,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.6,0.08,0.6,0.08,13,78,12,0.13,0.08
66,Adama Boiro,ESP,DF,Athletic Club,22,2002,2,2,142,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,0.0,0.0
67,Enzo Boyomo,CMR,DF,Osasuna,22,2001,5,5,450,5.0,1,0.2,0,0.0,1,0.2,1,0.2,0,0,0,0,0.1,0.03,0.1,0.03,0.0,0.0,0.1,0.03,1,15,0,0.2,0.03
68,Enzo Boyomo,CMR,DF,Valladolid,22,2001,3,3,270,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02,1,7,0,0.0,0.02
69,Darko Brašanac,SRB,MF,Leganés,32,1992,8,5,480,5.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.08,0.4,0.08,0.0,0.01,0.5,0.09,0,14,13,0.0,0.09
70,Ante Budimir,CRO,FW,Osasuna,33,1991,8,6,505,5.6,3,0.53,1,0.18,4,0.71,1,0.18,2,2,1,0,2.4,0.44,0.9,0.15,0.1,0.03,1.0,0.18,6,5,23,0.36,0.46
71,Leandro Cabrera,URU,DF,Espanyol,33,1991,5,5,405,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.1,0.02,0.1,0.03,1,12,0,0.0,0.03
72,Fernando Calero,ESP,DF,Espanyol,29,1995,2,2,179,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0
73,Sergio Camello,ESP,FW,Rayo Vallecano,23,2001,8,5,423,4.7,2,0.43,0,0.0,2,0.43,2,0.43,0,0,1,0,1.9,0.4,1.9,0.4,0.3,0.06,2.1,0.46,9,5,25,0.43,0.46
74,José Campaña,ESP,MF,Las Palmas,31,1993,3,3,188,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.03,1,10,0,0.0,0.03
75,Peio Canales,ESP,MF,Athletic Club,19,2005,1,0,20,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0,0,2,0.0,0.1
76,Sergi Canós,ESP,"MF,FW",Valencia,27,1997,5,0,68,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.26,0.2,0.26,0.0,0.03,0.2,0.29,3,2,17,0.0,0.29
77,Cárdenas,ESP,GK,Rayo Vallecano,27,1997,4,4,360,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
78,Irvin Cardona,FRA,"MF,FW",Espanyol,27,1997,7,1,228,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.7,0.26,0.7,0.26,0.3,0.13,1.0,0.39,5,7,15,0.0,0.39
