Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
80,Sergi Cardona,ESP,DF,Villarreal,25,1999,6.9,14,2.02,12,0,0,2,0,0,2,0.29,2,0,0,0,0,0
81,Johnny Cardoso,USA,MF,Betis,23,2001,1.7,2,1.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
82,Carmona,ESP,DF,Sevilla,22,2002,7.8,14,1.8,8,1,1,1,2,1,0,0.0,0,0,0,0,0,0
83,Sergio Carreira,ESP,"MF,DF",Celta Vigo,23,2000,2.6,10,3.8,8,0,2,0,0,0,0,0.0,0,0,0,0,0,0
84,Dani Carvajal,ESP,DF,Real Madrid,32,1992,5.8,10,1.73,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0
85,William Carvalho,POR,MF,Betis,32,1992,2.7,7,2.55,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
86,Marc Casado,ESP,MF,Barcelona,21,2003,4.3,15,3.52,13,0,0,0,1,1,2,0.47,2,0,0,0,0,0
87,Catena,ESP,DF,Osasuna,29,1994,7.0,4,0.57,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
88,Dani Ceballos,ESP,MF,Real Madrid,28,1996,0.8,7,9.0,7,0,0,0,0,0,1,1.29,1,0,0,0,0,0
89,Raúl Chasco,ESP,DF,Valladolid,21,2003,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
90,Pep Chavarría,ESP,"DF,MF",Rayo Vallecano,26,1998,3.4,6,1.76,6,0,0,0,0,0,1,0.29,1,0,0,0,0,0
91,Walid Cheddira,MAR,FW,Espanyol,26,1998,2.4,6,2.55,3,0,0,1,2,0,2,0.85,1,0,0,0,1,0
92,Julián Chicco,ARG,MF,Leganés,26,1998,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
93,Chiquinho,POR,"FW,MF",Mallorca,24,2000,0.3,1,2.9,0,1,0,0,0,0,1,2.9,0,1,0,0,0,0
94,Andreas Christensen,DEN,DF,Barcelona,28,1996,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
95,Jasper Cillessen,NED,GK,Las Palmas,35,1989,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
96,Pathé Ciss,SEN,MF,Rayo Vallecano,30,1994,3.2,10,3.08,7,0,1,1,0,1,1,0.31,1,0,0,0,0,0
97,Seydouba Cissé,GUI,MF,Leganés,23,2001,5.8,15,2.57,11,1,0,1,2,0,1,0.17,0,0,0,0,1,0
98,Eray Cömert,SUI,"DF,MF",Valladolid,26,1998,5.7,3,0.52,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
99,Santi Comesaña,ESP,MF,Villarreal,27,1996,6.3,23,3.64,22,0,0,0,0,1,1,0.16,1,0,0,0,0,0
100,Diego Conde,ESP,GK,Villarreal,25,1998,7.0,2,0.29,1,1,0,0,0,0,1,0.14,1,0,0,0,0,0
101,Tomás Conechny,ARG,"FW,MF",Alavés,26,1998,4.0,7,1.76,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
102,Copete,ESP,DF,Mallorca,24,1999,2.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
103,Ángel Correa,ARG,"FW,MF",Atlético Madrid,29,1995,2.1,9,4.26,4,0,3,1,1,0,2,0.95,1,0,1,0,0,0
104,Thierry Correia,POR,DF,Valencia,25,1999,6.1,13,2.12,10,1,1,0,1,0,0,0.0,0,0,0,0,0,0
105,Logan Costa,CPV,DF,Villarreal,23,2001,4.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
106,Samu Costa,POR,MF,Mallorca,23,2000,8.0,19,2.38,15,0,1,2,1,0,3,0.38,2,0,0,1,0,0
107,Thibaut Courtois,BEL,GK,Real Madrid,32,1992,8.0,1,0.12,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
108,Juan Cruz Armada,ESP,DF,Osasuna,32,1992,2.3,4,1.75,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
109,Juan Cruz,ESP,"FW,MF",Leganés,24,2000,4.8,12,2.49,4,4,2,1,0,1,1,0.21,1,0,0,0,0,0
110,Pau Cubarsí,ESP,DF,Barcelona,17,2007,6.4,11,1.73,10,0,0,1,0,0,4,0.63,3,0,0,1,0,0
111,Arnaut Danjuma,NED,FW,Villarreal,27,1997,2.2,2,0.9,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
112,Arnaut Danjuma,NED,"FW,MF",Girona,27,1997,3.0,7,2.32,3,3,1,0,0,0,0,0.0,0,0,0,0,0,0
113,Sergi Darder,ESP,"MF,FW",Mallorca,30,1993,5.9,22,3.72,8,11,2,1,0,0,0,0.0,0,0,0,0,0,0
114,Rodrigo De Paul,ARG,MF,Atlético Madrid,30,1994,3.8,17,4.45,16,1,0,0,0,0,1,0.26,1,0,0,0,0,0
115,Assane Diao,ESP,FW,Betis,19,2005,1.9,3,1.85,3,0,0,0,0,0,1,0.62,1,0,0,0,0,0
116,Moussa Diarra,MLI,DF,Alavés,23,2000,3.7,2,0.54,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
117,Brahim Díaz,MAR,"FW,MF",Real Madrid,25,1999,1.3,10,7.56,8,0,2,0,0,0,2,1.51,2,0,0,0,0,0
118,Pedro Díaz,ESP,"MF,FW",Rayo Vallecano,26,1998,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
119,Diego,ESP,"FW,MF",Leganés,24,2000,1.3,2,1.59,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
120,Álvaro djaló,ESP,FW,Athletic Club,25,1999,1.7,1,0.58,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
121,Djené,TOG,DF,Getafe,32,1991,7.7,5,0.65,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
