Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
346,Brais Méndez,ESP,MF,Real Sociedad,27,1997.0,5,278.0,56.0,38.6,3.1,4,66.0,1,1,16.0,0,1.4,4.0,4.0,0.0,0.0,4.0,3.8,0.2,0.06
347,Ferland Mendy,FRA,DF,Real Madrid,29,1995.0,6,468.0,78.0,65.0,5.2,6,78.0,3,0,0.0,1,2.0,7.0,5.0,2.0,0.38,6.5,5.1,1.3,0.26
348,Nobel Mendy,FRA,DF,Betis,20,2004.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,Víctor Meseguer,ESP,MF,Valladolid,25,1999.0,7,265.0,38.0,36.8,2.9,2,74.0,1,5,23.0,1,0.71,1.0,3.0,-2.0,-0.68,1.9,4.2,-2.3,-0.79
350,Sergio Mestre,ESP,GK,Real Madrid,19,2005.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,Miguel,ESP,FW,Leganés,25,1999.0,7,462.0,66.0,64.2,5.1,5,84.0,2,2,21.0,1,1.0,2.0,3.0,-1.0,-0.19,3.7,5.6,-1.8,-0.36
352,Éder Militão,BRA,DF,Real Madrid,26,1998.0,8,709.0,89.0,98.5,7.9,8,89.0,7,0,0.0,0,2.25,17.0,4.0,13.0,1.65,16.4,5.9,10.5,1.33
353,Luis Milla,ESP,MF,Getafe,29,1994.0,8,704.0,88.0,97.8,7.8,8,88.0,7,0,0.0,0,0.88,4.0,6.0,-2.0,-0.26,7.4,7.6,-0.1,-0.02
354,Pere Milla,ESP,MF,Espanyol,32,1992.0,4,106.0,27.0,14.7,1.2,1,56.0,0,3,17.0,4,0.0,0.0,3.0,-3.0,-2.55,1.0,1.8,-0.8,-0.65
355,Óscar Mingueza,ESP,"MF,DF",Celta Vigo,25,1999.0,7,499.0,71.0,69.3,5.5,7,71.0,5,0,0.0,0,1.43,13.0,12.0,1.0,0.18,8.6,8.3,0.3,0.06
356,Bojan Miovski,MKD,FW,Girona,25,1999.0,3,172.0,57.0,23.9,1.9,2,70.0,0,1,32.0,4,1.0,3.0,3.0,0.0,0.0,1.7,1.2,0.5,0.27
357,Rafa Mir,ESP,"MF,FW",Valencia,27,1997.0,4,239.0,60.0,33.2,2.7,3,72.0,0,1,22.0,0,0.25,2.0,6.0,-4.0,-1.51,2.5,5.1,-2.7,-1.0
358,Luka Modrić,CRO,MF,Real Madrid,39,1985.0,8,407.0,51.0,56.5,4.5,4,82.0,2,4,20.0,0,2.25,9.0,4.0,5.0,1.11,10.3,3.8,6.6,1.45
359,Johan Mojica,COL,DF,Mallorca,32,1992.0,8,578.0,72.0,80.3,6.4,6,90.0,6,2,19.0,0,1.75,6.0,5.0,1.0,0.16,7.2,5.7,1.5,0.23
360,Horaţiu Moldovan,ROU,GK,Atlético Madrid,26,1998.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,Alberto Moleiro,ESP,"FW,MF",Las Palmas,21,2003.0,7,501.0,72.0,79.5,5.6,6,76.0,1,1,45.0,0,0.43,7.0,9.0,-2.0,-0.36,6.0,9.9,-3.9,-0.7
