Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
311,Álvaro Odriozola,ESP,DF,Real Sociedad,28,1995,0.3,22,1,9,9,5,0,22,0,0,0.0,0,0.0,17,67,35,0,1,0,3,1,15,0
312,Olasagasti,ESP,MF,Real Sociedad,24,2000,0.7,37,1,8,20,11,3,37,3,1,33.3,1,33.3,15,127,73,2,3,0,1,0,24,2
313,Brian Oliván,ESP,DF,Espanyol,30,1994,1.9,103,6,27,47,29,0,103,0,0,0.0,0,0.0,47,186,98,2,2,0,0,1,55,15
314,Lucas Oliveira Rosa,BRA,DF,Valladolid,24,2000,8.0,406,27,140,184,88,11,406,11,6,54.5,3,27.3,165,1033,552,12,11,3,8,4,214,31
315,Dani Olmo,ESP,MF,Barcelona,26,1998,2.1,117,1,6,49,63,11,117,10,7,70.0,1,10.0,81,428,210,6,5,1,7,5,92,16
316,Aimar Oroz,ESP,"MF,FW",Osasuna,22,2001,6.9,274,1,32,142,104,8,274,14,5,35.7,7,50.0,157,759,291,5,7,1,10,10,188,23
317,Gabriel Osei Misehouy,NED,"FW,MF",Girona,19,2005,0.7,35,0,1,14,20,4,35,0,0,0.0,0,0.0,25,85,26,1,0,0,4,2,31,9
318,David Otorbi,ESP,MF,Valencia,16,2007,0.2,6,0,0,4,2,0,6,2,0,0.0,0,0.0,3,24,13,1,0,0,1,0,4,0
319,Mikel Oyarzabal,ESP,FW,Real Sociedad,27,1997,3.6,80,2,10,37,33,15,80,1,1,100.0,0,0.0,42,180,58,1,0,1,10,5,59,13
320,Cenk Özkacar,TUR,DF,Valladolid,23,2000,1.2,72,18,52,20,0,0,72,0,0,0.0,0,0.0,28,104,55,0,0,0,0,0,42,0
321,Jon Pacheco,ESP,DF,Real Sociedad,23,2001,3.8,264,32,116,145,5,3,264,0,0,0.0,0,0.0,151,950,639,6,2,1,0,0,176,0
322,Alex Padilla,ESP,GK,Athletic Club,21,2003,2.6,98,78,96,2,0,0,98,0,0,0.0,0,0.0,50,301,193,0,0,0,0,0,33,0
323,Isaac Palazón Camacho,ESP,"FW,MF",Rayo Vallecano,29,1994,4.7,195,3,25,92,82,8,195,20,8,40.0,10,50.0,104,605,201,6,5,2,15,8,135,27
324,Aitor Paredes,ESP,DF,Athletic Club,24,2000,3.9,194,27,107,87,1,1,194,0,0,0.0,0,0.0,85,520,309,0,1,0,1,0,104,0
325,Daniel Parejo,ESP,MF,Villarreal,35,1989,4.5,273,17,82,150,44,4,272,2,2,100.0,0,0.0,127,464,186,1,0,0,5,1,182,4
326,Pedri,ESP,MF,Barcelona,21,2002,5.5,438,7,42,268,133,7,438,12,7,58.3,5,41.7,248,1442,745,15,14,0,13,4,340,20
327,Adrià Pedrosa,ESP,"DF,MF",Sevilla,26,1998,4.8,332,19,116,139,80,5,332,9,6,66.7,3,33.3,147,689,338,7,12,1,7,4,192,20
328,Pejiño,ESP,FW,Las Palmas,28,1996,0.2,9,0,2,3,4,0,9,0,0,0.0,0,0.0,9,57,17,1,0,0,1,0,7,2
329,Iñaki Peña,ESP,GK,Barcelona,25,1999,2.5,106,78,105,1,0,0,106,0,0,0.0,0,0.0,59,282,148,0,0,0,0,0,54,0
330,Rubén Peña,ESP,"FW,MF",Osasuna,33,1991,2.1,87,2,8,33,46,5,87,11,3,27.3,6,54.5,41,281,148,6,2,3,7,5,51,12
331,Nicolas Pépé,CIV,"FW,MF",Villarreal,29,1995,2.5,130,5,14,47,72,12,130,13,6,46.2,6,46.2,77,599,352,12,6,6,7,3,88,28
332,Peque,ESP,"MF,FW",Sevilla,21,2002,4.1,154,2,18,72,66,14,154,9,2,22.2,5,55.6,81,351,119,3,2,1,6,12,100,13
333,Ayoze Pérez,ESP,FW,Villarreal,31,1993,4.6,155,4,21,65,71,26,155,15,7,46.7,3,20.0,108,772,433,20,12,7,13,4,114,21
334,Carles Pérez,ESP,"MF,FW",Getafe,26,1998,5.7,189,4,18,63,111,19,189,23,9,39.1,14,60.9,106,776,380,11,14,7,11,9,118,27
335,Francisco Perez,ESP,MF,Valencia,22,2002,0.3,13,1,4,5,4,1,13,0,0,0.0,0,0.0,5,48,21,1,0,0,2,0,6,0
336,Kike Pérez,ESP,MF,Valladolid,27,1997,5.8,293,7,56,187,53,7,293,8,2,25.0,5,62.5,149,935,495,9,7,1,9,5,202,11
337,Luis Pérez,ESP,DF,Valladolid,29,1995,7.6,418,24,144,168,114,5,418,9,3,33.3,4,44.4,173,856,429,12,8,2,6,2,225,35
338,Romain Perraud,FRA,DF,Betis,27,1997,5.2,343,13,85,142,117,9,343,8,4,50.0,3,37.5,173,879,421,12,5,5,8,3,213,36
339,Pica,ESP,DF,Alavés,22,2002,1.2,61,10,32,27,2,2,61,0,0,0.0,0,0.0,36,223,160,1,0,0,0,0,34,0
340,Yeremi Pino,ESP,MF,Villarreal,21,2002,3.4,143,5,22,43,80,21,143,5,3,60.0,2,40.0,82,436,233,5,3,2,7,7,109,38
341,Portu,ESP,"FW,MF",Girona,32,1992,1.8,67,0,4,26,37,4,67,2,1,50.0,1,50.0,40,143,63,1,2,0,0,0,45,18
342,Beñat Prados,ESP,MF,Athletic Club,23,2001,4.7,248,8,36,169,45,3,248,6,2,33.3,3,50.0,123,584,278,6,6,0,4,3,161,6
343,Abdón Prats,ESP,"FW,MF",Mallorca,31,1992,1.2,40,2,6,22,12,5,39,0,0,0.0,0,0.0,18,54,19,0,0,0,1,3,27,0
344,Javi Puado,ESP,"FW,MF",Espanyol,26,1998,7.3,225,4,23,116,94,28,224,13,3,23.1,9,69.2,130,1060,481,15,15,7,17,6,150,22
345,Dani Raba,ESP,"FW,MF",Leganés,28,1995,1.6,70,5,15,30,28,5,69,5,2,40.0,3,60.0,36,237,107,3,3,1,4,3,35,8
346,Antonio Raillo,ESP,DF,Mallorca,32,1991,8.0,470,83,262,182,29,15,470,0,0,0.0,0,0.0,206,1231,796,9,4,0,1,3,272,3
347,Benito Ramírez,ESP,"DF,MF",Las Palmas,29,1995,1.1,83,5,26,25,32,2,83,2,0,0.0,2,100.0,45,199,55,1,4,0,3,0,47,13
348,Sandro Ramírez,ESP,"FW,MF",Las Palmas,29,1995,4.5,159,7,29,58,72,12,159,7,3,42.9,2,28.6,86,435,196,10,5,3,9,5,99,17
349,Raphinha,BRA,"FW,MF",Barcelona,27,1996,7.4,439,8,30,158,262,50,439,25,11,44.0,12,48.0,222,1337,673,21,17,15,10,7,300,72
350,Andrei Ratiu,ROU,"DF,MF",Rayo Vallecano,26,1998,5.9,327,17,113,122,95,14,327,11,8,72.7,3,27.3,159,838,384,12,9,3,9,9,196,25
351,Raúl,ESP,FW,Osasuna,23,2000,2.4,59,3,4,23,34,11,59,7,6,85.7,1,14.3,33,155,57,4,3,2,4,9,44,13
352,Abderrahman Rebbach,ALG,"FW,MF",Alavés,26,1998,1.3,53,1,6,16,31,7,53,4,3,75.0,1,25.0,31,176,103,4,1,3,4,2,37,11
353,Álex Remiro,ESP,GK,Real Sociedad,29,1995,8.0,307,264,307,0,0,0,307,0,0,0.0,0,0.0,156,834,462,0,0,0,1,0,142,0
354,Diego Rico,ESP,DF,Getafe,31,1993,7.0,410,13,116,173,127,4,410,3,2,66.7,1,33.3,139,633,374,9,7,2,10,4,147,26
355,Luis Rioja,ESP,FW,Alavés,30,1993,0.3,15,0,2,4,10,2,15,0,0,0.0,0,0.0,8,99,71,4,1,2,0,0,10,3
356,Luis Rioja,ESP,"MF,FW",Valencia,30,1993,6.0,252,4,34,92,134,10,252,20,9,45.0,8,40.0,119,796,311,11,11,4,5,8,173,37
357,Rodrigo Riquelme,ESP,DF,Atlético Madrid,24,2000,2.6,157,5,28,60,74,13,157,9,2,22.2,6,66.7,112,872,526,22,10,7,4,3,118,30
358,Alberto Risco,ESP,"FW,MF",Getafe,19,2005,0.6,48,0,4,14,31,5,48,6,1,16.7,5,83.3,29,144,74,3,3,2,4,1,31,6
359,Gorka Rivera Alonso,ESP,"DF,MF",Getafe,20,2004,0.2,17,0,7,8,2,0,17,2,0,0.0,1,50.0,5,23,5,0,0,0,2,0,5,0
360,Marc Roca,ESP,MF,Betis,27,1996,7.4,471,20,109,293,73,13,471,5,4,80.0,1,20.0,289,1631,849,10,12,0,7,5,321,9
361,Rodri,ESP,FW,Betis,24,2000,1.3,86,3,22,32,33,6,86,6,2,33.3,4,66.7,57,401,183,4,3,3,5,2,63,11
362,Álvaro Rodríguez,URU,FW,Getafe,20,2004,0.0,3,0,0,1,2,2,3,0,0,0.0,0,0.0,1,8,0,0,0,0,0,0,2,0
363,Óscar Rodríguez Arnaiz,ESP,"MF,FW",Leganés,26,1998,3.4,155,3,20,87,51,2,155,8,4,50.0,3,37.5,79,414,172,3,5,1,7,3,113,8
364,Damián Rodríguez,ESP,MF,Celta Vigo,21,2003,5.8,443,10,65,287,92,4,443,1,0,0.0,1,100.0,259,959,456,1,1,0,3,4,340,4
365,Dani Rodríguez,ESP,"FW,MF",Mallorca,36,1988,5.4,236,3,22,105,113,9,236,8,5,62.5,3,37.5,131,631,242,7,10,0,12,5,159,23
366,James Rodríguez,COL,"MF,FW",Rayo Vallecano,33,1991,0.9,61,1,12,24,26,1,61,4,2,50.0,2,50.0,32,149,66,3,1,1,4,0,39,2
367,Javi Rodríguez,ESP,DF,Celta Vigo,21,2003,5.5,434,23,137,262,35,6,434,2,1,50.0,1,50.0,298,1303,771,8,7,1,2,1,346,7
368,Kirian Rodríguez,ESP,MF,Las Palmas,28,1996,6.7,559,12,118,356,87,5,559,6,4,66.7,2,33.3,343,1684,976,12,15,0,4,9,422,17
369,Ricardo Rodríguez,SUI,DF,Betis,32,1992,2.8,187,10,50,99,40,1,187,3,3,100.0,0,0.0,98,431,231,3,4,0,2,0,113,11
370,Rodrygo,BRA,FW,Real Madrid,23,2001,6.6,383,3,26,124,237,33,383,29,13,44.8,12,41.4,260,1765,990,28,22,13,9,3,315,75
371,Leo Román,ESP,GK,Mallorca,24,2000,3.0,106,85,106,0,0,0,106,0,0,0.0,0,0.0,51,304,155,0,0,0,0,0,54,0
372,Carlos Romero,ESP,"DF,MF",Espanyol,22,2001,6.8,326,22,95,136,99,6,326,10,5,50.0,5,50.0,155,952,477,9,5,1,6,5,182,33
373,Isaac Romero,ESP,FW,Sevilla,24,2000,4.2,134,6,12,58,65,17,134,12,6,50.0,3,25.0,70,328,162,5,1,3,11,9,89,15
374,Luka Romero,ARG,"FW,MF",Alavés,19,2004,1.7,52,0,3,24,26,3,51,3,1,33.3,1,33.3,33,198,66,3,1,1,5,4,34,7
375,Oriol Romeu,ESP,MF,Girona,33,1991,3.5,230,4,35,170,25,1,230,0,0,0.0,0,0.0,135,645,331,3,5,1,3,3,180,2
376,Vitor Roque,BRA,FW,Betis,19,2005,2.7,75,1,5,38,33,17,75,5,1,20.0,4,80.0,44,212,102,4,2,4,10,8,51,14
377,Valentin Rosier,FRA,DF,Leganés,28,1996,7.4,399,31,158,179,64,5,399,10,6,60.0,4,40.0,158,708,341,7,6,2,9,7,169,19
378,Antonio Rüdiger,GER,DF,Real Madrid,31,1993,7.1,583,55,276,282,27,6,583,3,2,66.7,0,0.0,374,1764,1053,5,6,1,2,1,432,1
379,Aitor Ruibal,ESP,"FW,DF",Betis,28,1996,3.5,151,3,20,73,60,15,151,5,3,60.0,2,40.0,91,465,210,4,5,3,10,6,105,22
380,Abel Ruiz,ESP,FW,Girona,24,2000,6.3,187,5,14,94,81,26,186,12,4,33.3,7,58.3,113,615,202,11,4,5,15,7,138,30
381,Youssouf Sabaly,SEN,DF,Betis,31,1993,3.7,218,11,76,91,52,13,218,6,3,50.0,3,50.0,102,392,176,5,1,3,2,2,120,17
382,Umar Sadiq,NGA,FW,Real Sociedad,27,1997,2.1,69,1,12,25,35,12,69,8,5,62.5,3,37.5,38,253,91,4,2,2,12,4,49,13
383,Jorge Sáenz,ESP,DF,Leganés,27,1996,4.3,290,32,180,109,3,1,290,1,0,0.0,0,0.0,154,614,298,1,1,0,2,0,185,0
384,Kike Salas,ESP,DF,Sevilla,22,2002,2.1,211,13,101,103,8,2,211,0,0,0.0,0,0.0,120,561,349,2,1,0,1,0,142,0
385,Albert Sambi Lokonga,BEL,MF,Sevilla,24,1999,1.7,118,4,36,68,14,1,118,1,0,0.0,0,0.0,64,270,141,3,0,0,1,0,85,1
