Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
78,Irvin Cardona,FRA,"MF,FW",Espanyol,27,1997,2.5,1,0,0,3,3,0,5,3,3,0,0,0,8,3,3,50.0
79,Marc Cardona,ESP,FW,Las Palmas,29,1995,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
80,Sergi Cardona,ESP,DF,Villarreal,25,1999,6.9,2,0,0,6,5,1,15,8,11,0,0,0,26,9,5,64.3
81,Johnny Cardoso,USA,MF,Betis,23,2001,1.7,0,0,0,4,3,0,0,3,4,0,0,0,15,3,0,100.0
82,Carmona,ESP,DF,Sevilla,22,2002,7.8,2,0,0,8,12,1,5,16,15,0,0,0,45,7,8,46.7
83,Sergio Carreira,ESP,"MF,DF",Celta Vigo,23,2000,2.6,0,0,0,2,1,0,5,1,4,0,0,0,9,0,3,0.0
84,Dani Carvajal,ESP,DF,Real Madrid,32,1992,5.8,1,0,0,3,5,0,14,9,5,0,0,0,19,7,5,58.3
85,William Carvalho,POR,MF,Betis,32,1992,2.7,0,0,0,4,0,0,1,3,2,0,0,0,16,4,1,80.0
86,Marc Casado,ESP,MF,Barcelona,21,2003,4.3,0,0,0,5,7,0,2,1,6,0,0,0,16,2,4,33.3
87,Catena,ESP,DF,Osasuna,29,1994,7.0,0,0,0,7,1,0,1,6,2,0,0,0,19,16,6,72.7
88,Dani Ceballos,ESP,MF,Real Madrid,28,1996,0.8,0,0,0,2,1,0,2,0,3,0,0,0,3,0,0,0.0
89,Raúl Chasco,ESP,DF,Valladolid,21,2003,0.4,0,0,0,2,0,0,2,1,1,0,0,0,1,0,0,0.0
90,Pep Chavarría,ESP,"DF,MF",Rayo Vallecano,26,1998,3.4,0,0,0,1,4,0,14,5,5,0,0,0,21,5,0,100.0
91,Walid Cheddira,MAR,FW,Espanyol,26,1998,2.4,1,0,0,8,9,1,0,1,0,1,0,0,6,6,13,31.6
92,Julián Chicco,ARG,MF,Leganés,26,1998,1.2,0,0,0,1,3,0,0,2,4,0,0,0,3,0,2,0.0
93,Chiquinho,POR,"FW,MF",Mallorca,24,2000,0.3,0,0,0,1,2,0,1,0,0,0,0,0,2,0,3,0.0
94,Andreas Christensen,DEN,DF,Barcelona,28,1996,0.3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
95,Jasper Cillessen,NED,GK,Las Palmas,35,1989,7.0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0
96,Pathé Ciss,SEN,MF,Rayo Vallecano,30,1994,3.2,2,0,0,5,6,0,2,5,3,0,0,0,23,8,4,66.7
97,Seydouba Cissé,GUI,MF,Leganés,23,2001,5.8,0,0,0,5,6,0,5,2,10,0,0,0,40,6,2,75.0
98,Eray Cömert,SUI,"DF,MF",Valladolid,26,1998,5.7,1,0,0,6,3,0,0,6,2,0,0,0,8,7,7,50.0
