Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
62,Benjamin Bouchouari,MAR,MF,Saint-Étienne,22,2001.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
63,Hicham Boudaoui,ALG,MF,Nice,25,1999.0,4.0,1,0,0,8,10,0,2,4,8,0,0,0,28,5,4,55.6
64,Benjamin Bourigeaud,FRA,MF,Rennes,30,1994.0,0.9,0,0,0,0,0,0,6,2,0,0,0,0,4,2,2,50.0
65,Bilal Brahimi,ALG,MF,Nice,24,2000.0,0.8,0,0,0,3,0,0,5,0,0,0,0,0,1,0,0,0.0
66,Lilian Brassier,FRA,DF,Marseille,24,1999.0,4.9,2,0,0,5,2,0,3,4,4,0,0,0,24,10,3,76.9
67,Aurélio Buta,POR,DF,Reims,27,1997.0,3.7,2,0,0,5,4,0,4,5,6,0,0,0,9,2,3,40.0
68,Marcin Bułka,POL,GK,Nice,24,1999.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,100.0
69,Rémy Cabella,FRA,"MF,FW",Lille,34,1990.0,2.9,0,0,0,6,3,0,9,2,5,0,0,0,16,1,2,33.3
70,Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,27,1997.0,4.4,2,0,0,5,9,2,16,3,2,0,0,0,11,1,1,50.0
71,Duje Ćaleta-Car,CRO,DF,Lyon,28,1996.0,6.0,3,0,0,10,5,1,0,10,2,0,0,0,18,14,5,73.7
72,Issiaga Camara,GUI,MF,Nice,19,2005.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0
73,Lamine Camara,SEN,MF,Monaco,20,2004.0,3.7,3,1,1,13,6,0,17,7,12,0,0,0,26,3,1,75.0
74,Mahdi Camara,FRA,MF,Brest,26,1998.0,5.1,1,0,0,3,7,2,8,9,6,0,0,0,18,3,4,42.9
75,Axel Camblan,FRA,"MF,FW",Brest,21,2003.0,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
76,Jaydee Canvot,FRA,DF,Toulouse,18,2006.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100.0
77,Pierrick Capelle,FRA,MF,Angers,37,1987.0,2.0,1,0,0,2,0,1,7,3,3,0,0,0,8,2,1,66.7
78,Maxence Caqueret,FRA,MF,Lyon,24,2000.0,5.1,0,0,0,2,5,1,6,6,8,0,0,0,19,1,3,25.0
79,Valentin Carboni,ARG,"MF,FW",Marseille,19,2005.0,0.6,0,0,0,4,1,0,2,1,2,0,0,0,1,1,0,100.0
80,Josué Casimir,FRA,"FW,DF",Le Havre,23,2001.0,4.5,2,0,0,9,11,4,7,1,4,2,0,0,20,2,9,18.2
81,Cristian Cásseres Jr.,VEN,MF,Toulouse,24,2000.0,4.7,3,0,0,15,11,0,4,5,16,0,0,0,27,2,6,25.0
82,Jean-Charles Castelletto,CMR,DF,Nantes,29,1995.0,5.0,2,0,0,7,1,0,1,0,1,0,2,0,14,9,3,75.0
83,Brendan Chardonnet,FRA,DF,Brest,29,1994.0,5.0,1,0,0,7,3,0,1,3,9,0,0,0,17,9,7,56.3
84,Jhoanner Chávez,ECU,DF,Lens,22,2002.0,3.4,0,0,0,4,5,1,14,4,1,0,0,0,15,3,3,50.0
85,Théo Chennahi,FRA,DF,Montpellier,19,2005.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
86,Sidiki Cherif,FRA,FW,Angers,17,2006.0,3.1,0,0,0,4,8,5,3,0,4,0,0,0,8,3,15,16.7
