Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
47,Dylan Batubinsika,COD,DF,Saint-Étienne,28,1996.0,6.0,0,2,0,0.0,0.33,0.0,0.0,0.0,17.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
48,Haris Belkebla,ALG,MF,Angers,30,1994.0,2.9,0,1,0,0.0,0.35,0.0,0.0,0.0,29.9,0,0,0,0.0,0.0,0.01,0.0,0.0
49,Yassin Belkhdim,FRA,MF,Angers,22,2002.0,3.1,0,3,2,66.7,0.97,0.65,0.0,0.0,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
50,Eliesse Ben Seghir,MAR,"FW,MF",Monaco,19,2005.0,4.4,2,18,7,38.9,4.11,1.6,0.11,0.29,21.5,1,0,0,1.0,1.0,0.05,1.0,1.0
51,Saïd Benrahma,ALG,"FW,MF",Lyon,29,1995.0,2.9,0,3,0,0.0,1.04,0.0,0.0,0.0,20.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
52,Lucas Beraldo,BRA,DF,Paris S-G,20,2003.0,4.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
53,Dimitry Bertaud,COD,GK,Montpellier,26,1998.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
54,Emmanuel Biumla,FRA,DF,Angers,19,2005.0,3.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
55,Marco Bizot,NED,GK,Brest,33,1991.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
56,Ludovic Blas,FRA,"MF,FW",Rennes,26,1997.0,5.6,2,19,8,42.1,3.39,1.43,0.11,0.25,15.9,0,0,0,1.8,1.8,0.09,0.2,0.2
57,Augustine Boakye,GHA,"MF,FW",Saint-Étienne,23,2000.0,0.6,0,1,0,0.0,1.67,0.0,0.0,0.0,21.6,1,0,0,0.0,0.0,0.04,0.0,0.0
58,Jeremie Boga,CIV,"FW,MF",Nice,27,1997.0,1.9,0,5,2,40.0,2.63,1.05,0.0,0.0,18.4,2,0,0,0.3,0.3,0.06,-0.3,-0.3
59,Moïse Bombito,CAN,DF,Nice,24,2000.0,3.7,0,1,1,100.0,0.27,0.27,0.0,0.0,9.4,0,0,0,0.0,0.0,0.02,0.0,0.0
60,Ayyoub Bouaddi,FRA,MF,Lille,16,2007.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
61,Badredine Bouanani,ALG,"FW,MF",Nice,19,2004.0,2.9,0,11,5,45.5,3.85,1.75,0.0,0.0,21.9,1,0,0,0.7,0.7,0.07,-0.7,-0.7
62,Benjamin Bouchouari,MAR,MF,Saint-Étienne,22,2001.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
63,Hicham Boudaoui,ALG,MF,Nice,25,1999.0,4.0,1,5,3,60.0,1.25,0.75,0.2,0.33,18.5,0,0,0,0.4,0.4,0.09,0.6,0.6
64,Benjamin Bourigeaud,FRA,MF,Rennes,30,1994.0,0.9,1,2,1,50.0,2.25,1.13,0.5,1.0,16.1,1,0,0,0.2,0.2,0.08,0.8,0.8
65,Bilal Brahimi,ALG,MF,Nice,24,2000.0,0.8,0,1,1,100.0,1.18,1.18,0.0,0.0,23.0,1,0,0,0.0,0.0,0.04,0.0,0.0
66,Lilian Brassier,FRA,DF,Marseille,24,1999.0,4.9,0,3,1,33.3,0.61,0.2,0.0,0.0,12.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
67,Aurélio Buta,POR,DF,Reims,27,1997.0,3.7,0,2,0,0.0,0.54,0.0,0.0,0.0,17.1,0,0,0,0.0,0.0,0.02,0.0,0.0
68,Marcin Bułka,POL,GK,Nice,24,1999.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
69,Rémy Cabella,FRA,"MF,FW",Lille,34,1990.0,2.9,0,7,2,28.6,2.42,0.69,0.0,0.0,15.6,0,0,0,0.8,0.8,0.11,-0.8,-0.8
70,Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,27,1997.0,4.4,1,15,9,60.0,3.4,2.04,0.07,0.11,20.0,1,0,0,0.8,0.8,0.06,0.2,0.2
71,Duje Ćaleta-Car,CRO,DF,Lyon,28,1996.0,6.0,1,3,1,33.3,0.5,0.17,0.33,1.0,8.7,0,0,0,0.7,0.7,0.22,0.3,0.3
72,Issiaga Camara,GUI,MF,Nice,19,2005.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
73,Lamine Camara,SEN,MF,Monaco,20,2004.0,3.7,2,6,3,50.0,1.6,0.8,0.33,0.67,18.0,0,0,0,0.6,0.6,0.11,1.4,1.4
74,Mahdi Camara,FRA,MF,Brest,26,1998.0,5.1,2,9,6,66.7,1.78,1.18,0.22,0.33,18.9,0,0,0,0.6,0.6,0.06,1.4,1.4
75,Axel Camblan,FRA,"MF,FW",Brest,21,2003.0,0.3,0,1,0,0.0,3.46,0.0,0.0,0.0,16.0,0,0,0,0.0,0.0,0.05,0.0,0.0
76,Jaydee Canvot,FRA,DF,Toulouse,18,2006.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
77,Pierrick Capelle,FRA,MF,Angers,37,1987.0,2.0,0,1,0,0.0,0.49,0.0,0.0,0.0,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0
78,Maxence Caqueret,FRA,MF,Lyon,24,2000.0,5.1,0,4,0,0.0,0.79,0.0,0.0,0.0,19.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3
79,Valentin Carboni,ARG,"MF,FW",Marseille,19,2005.0,0.6,0,1,1,100.0,1.55,1.55,0.0,0.0,17.7,0,0,0,0.0,0.0,0.03,0.0,0.0
80,Josué Casimir,FRA,"FW,DF",Le Havre,23,2001.0,4.5,0,5,1,20.0,1.11,0.22,0.0,0.0,15.1,0,0,0,0.6,0.6,0.13,-0.6,-0.6
81,Cristian Cásseres Jr.,VEN,MF,Toulouse,24,2000.0,4.7,0,5,1,20.0,1.05,0.21,0.0,0.0,22.5,1,0,0,0.2,0.2,0.05,-0.2,-0.2
82,Jean-Charles Castelletto,CMR,DF,Nantes,29,1995.0,5.0,0,2,1,50.0,0.4,0.2,0.0,0.0,20.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
83,Brendan Chardonnet,FRA,DF,Brest,29,1994.0,5.0,0,4,0,0.0,0.8,0.0,0.0,0.0,14.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
84,Jhoanner Chávez,ECU,DF,Lens,22,2002.0,3.4,1,2,1,50.0,0.6,0.3,0.5,1.0,12.0,0,0,0,0.1,0.1,0.06,0.9,0.9
85,Théo Chennahi,FRA,DF,Montpellier,19,2005.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
86,Sidiki Cherif,FRA,FW,Angers,17,2006.0,3.1,0,4,2,50.0,1.28,0.64,0.0,0.0,21.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4
87,Rayan Cherki,FRA,MF,Lyon,21,2003.0,0.5,1,2,1,50.0,3.91,1.96,0.5,1.0,6.9,0,0,0,0.2,0.2,0.11,0.8,0.8
88,Lucas Chevalier,FRA,GK,Lille,22,2001.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
89,Pedro Chirivella,ESP,MF,Nantes,27,1997.0,5.8,0,1,0,0.0,0.17,0.0,0.0,0.0,26.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
90,Joris Chotard,FRA,MF,Montpellier,23,2001.0,2.4,0,1,0,0.0,0.41,0.0,0.0,0.0,27.4,1,0,0,0.1,0.1,0.08,-0.1,-0.1
91,Jonathan Clauss,FRA,"MF,DF",Nice,32,1992.0,5.0,1,7,2,28.6,1.41,0.4,0.14,0.5,21.0,2,0,0,0.6,0.6,0.09,0.4,0.4
92,Marcus Coco,FRA,DF,Nantes,28,1996.0,3.1,0,1,0,0.0,0.32,0.0,0.0,0.0,27.5,0,0,0,0.0,0.0,0.03,0.0,0.0
93,Derek Cornelius,CAN,DF,Marseille,26,1997.0,3.8,0,1,0,0.0,0.26,0.0,0.0,0.0,11.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
94,Pierre Cornud,FRA,DF,Saint-Étienne,27,1996.0,2.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
