Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
64,Benjamin Bourigeaud,FRA,MF,Rennes,30,1994.0,0.9,2,2.25,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
65,Bilal Brahimi,ALG,MF,Nice,24,2000.0,0.8,1,1.18,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
66,Lilian Brassier,FRA,DF,Marseille,24,1999.0,4.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
67,Aurélio Buta,POR,DF,Reims,27,1997.0,3.7,6,1.62,2,3,0,1,0,0,2,0.54,1,1,0,0,0,0
68,Marcin Bułka,POL,GK,Nice,24,1999.0,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
69,Rémy Cabella,FRA,"MF,FW",Lille,34,1990.0,2.9,16,5.52,10,3,0,2,0,1,1,0.34,1,0,0,0,0,0
70,Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,27,1997.0,4.4,13,2.95,8,3,0,1,1,0,0,0.0,0,0,0,0,0,0
71,Duje Ćaleta-Car,CRO,DF,Lyon,28,1996.0,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
72,Issiaga Camara,GUI,MF,Nice,19,2005.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
73,Lamine Camara,SEN,MF,Monaco,20,2004.0,3.7,16,4.27,10,6,0,0,0,0,1,0.27,0,1,0,0,0,0
74,Mahdi Camara,FRA,MF,Brest,26,1998.0,5.1,17,3.36,13,0,1,0,1,2,1,0.2,1,0,0,0,0,0
75,Axel Camblan,FRA,"MF,FW",Brest,21,2003.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
76,Jaydee Canvot,FRA,DF,Toulouse,18,2006.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
77,Pierrick Capelle,FRA,MF,Angers,37,1987.0,2.0,4,1.97,4,0,0,0,0,0,1,0.49,1,0,0,0,0,0
78,Maxence Caqueret,FRA,MF,Lyon,24,2000.0,5.1,9,1.77,7,0,1,1,0,0,1,0.2,1,0,0,0,0,0
79,Valentin Carboni,ARG,"MF,FW",Marseille,19,2005.0,0.6,4,6.21,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
80,Josué Casimir,FRA,"FW,DF",Le Havre,23,2001.0,4.5,12,2.66,5,0,3,0,3,1,2,0.44,0,0,0,0,2,0
81,Cristian Cásseres Jr.,VEN,MF,Toulouse,24,2000.0,4.7,8,1.69,2,1,0,0,2,3,1,0.21,0,0,0,0,0,1
82,Jean-Charles Castelletto,CMR,DF,Nantes,29,1995.0,5.0,3,0.6,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
83,Brendan Chardonnet,FRA,DF,Brest,29,1994.0,5.0,2,0.4,1,0,0,1,0,0,1,0.2,0,0,0,1,0,0
84,Jhoanner Chávez,ECU,DF,Lens,22,2002.0,3.4,9,2.69,5,3,0,1,0,0,0,0.0,0,0,0,0,0,0
85,Théo Chennahi,FRA,DF,Montpellier,19,2005.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
86,Sidiki Cherif,FRA,FW,Angers,17,2006.0,3.1,4,1.28,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
87,Rayan Cherki,FRA,MF,Lyon,21,2003.0,0.5,3,5.87,0,0,2,1,0,0,1,1.96,0,0,0,1,0,0
88,Lucas Chevalier,FRA,GK,Lille,22,2001.0,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
89,Pedro Chirivella,ESP,MF,Nantes,27,1997.0,5.8,13,2.23,13,0,0,0,0,0,3,0.51,3,0,0,0,0,0
90,Joris Chotard,FRA,MF,Montpellier,23,2001.0,2.4,2,0.82,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
91,Jonathan Clauss,FRA,"MF,DF",Nice,32,1992.0,5.0,17,3.42,10,6,0,1,0,0,3,0.6,2,1,0,0,0,0
92,Marcus Coco,FRA,DF,Nantes,28,1996.0,3.1,6,1.95,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0
93,Derek Cornelius,CAN,DF,Marseille,26,1997.0,3.8,1,0.26,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
94,Pierre Cornud,FRA,DF,Saint-Étienne,27,1996.0,2.3,1,0.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
