Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
73,Lamine Camara,SEN,MF,Monaco,20,2004.0,3.7,234,211,23,7,1,1,17,1,15,10,3,0,195,0,5
74,Mahdi Camara,FRA,MF,Brest,26,1998.0,5.1,195,177,18,3,0,0,8,0,0,0,0,0,167,0,3
75,Axel Camblan,FRA,"MF,FW",Brest,21,2003.0,0.3,7,7,0,0,0,0,1,0,0,0,0,0,3,0,1
76,Jaydee Canvot,FRA,DF,Toulouse,18,2006.0,0.1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
77,Pierrick Capelle,FRA,MF,Angers,37,1987.0,2.0,79,71,8,2,1,1,7,0,5,5,0,0,60,0,0
78,Maxence Caqueret,FRA,MF,Lyon,24,2000.0,5.1,260,251,8,4,0,1,6,1,0,0,0,0,202,1,12
79,Valentin Carboni,ARG,"MF,FW",Marseille,19,2005.0,0.6,46,44,2,0,1,0,2,2,0,0,0,0,41,0,2
80,Josué Casimir,FRA,"FW,DF",Le Havre,23,2001.0,4.5,120,105,15,1,1,1,7,8,0,0,0,0,88,0,3
81,Cristian Cásseres Jr.,VEN,MF,Toulouse,24,2000.0,4.7,225,216,8,5,0,2,4,2,0,0,0,0,183,1,1
82,Jean-Charles Castelletto,CMR,DF,Nantes,29,1995.0,5.0,278,274,4,3,0,1,1,1,0,0,0,0,251,0,2
83,Brendan Chardonnet,FRA,DF,Brest,29,1994.0,5.0,237,223,14,13,0,2,1,0,0,0,0,0,201,0,0
84,Jhoanner Chávez,ECU,DF,Lens,22,2002.0,3.4,132,98,33,3,0,0,14,21,9,4,3,0,98,1,0
85,Théo Chennahi,FRA,DF,Montpellier,19,2005.0,0.0,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0
86,Sidiki Cherif,FRA,FW,Angers,17,2006.0,3.1,51,50,1,0,3,0,3,0,0,0,0,0,27,0,4
87,Rayan Cherki,FRA,MF,Lyon,21,2003.0,0.5,26,21,5,2,0,0,2,0,2,1,1,0,19,0,0
88,Lucas Chevalier,FRA,GK,Lille,22,2001.0,6.0,155,126,28,9,0,0,0,0,0,0,0,0,125,1,0
89,Pedro Chirivella,ESP,MF,Nantes,27,1997.0,5.8,394,370,23,19,1,2,4,0,1,0,1,0,333,1,1
90,Joris Chotard,FRA,MF,Montpellier,23,2001.0,2.4,99,94,5,5,1,2,1,0,0,0,0,0,87,0,0
91,Jonathan Clauss,FRA,"MF,DF",Nice,32,1992.0,5.0,223,182,39,8,1,1,22,22,9,5,3,0,166,2,2
92,Marcus Coco,FRA,DF,Nantes,28,1996.0,3.1,148,123,24,2,0,0,7,22,0,0,0,0,120,1,1
93,Derek Cornelius,CAN,DF,Marseille,26,1997.0,3.8,327,319,8,5,0,0,1,0,0,0,0,0,306,0,2
94,Pierre Cornud,FRA,DF,Saint-Étienne,27,1996.0,2.3,106,83,23,4,1,4,6,19,0,0,0,0,90,0,2
95,David Costa,POR,MF,Lens,23,2001.0,1.5,49,47,2,1,0,1,2,0,1,1,0,0,43,0,1
96,Logan Costa,CPV,DF,Toulouse,23,2001.0,1.0,56,55,1,0,0,0,1,1,0,0,0,0,47,0,0
97,Lasso Coulibaly,GHA,"FW,MF",Auxerre,21,2002.0,0.4,10,10,0,0,0,0,1,0,0,0,0,0,9,0,0
98,Soumaïla Coulibaly,FRA,DF,Brest,20,2003.0,1.2,80,77,3,3,0,6,0,0,0,0,0,0,70,0,0
99,Tanguy Coulibaly,FRA,FW,Montpellier,23,2001.0,3.2,88,86,2,0,1,0,6,2,0,0,0,0,64,0,2
100,Nicolas Cozza,FRA,DF,Nantes,25,1999.0,1.3,64,44,18,0,0,0,2,18,0,0,0,0,52,2,1
101,Charlie Cresswell,ENG,DF,Toulouse,22,2002.0,3.6,214,191,23,6,0,2,0,9,0,0,0,0,163,0,4
102,Kévin Danois,FRA,"MF,DF",Auxerre,20,2004.0,2.5,136,126,10,4,0,1,3,6,0,0,0,0,104,0,6
103,Kevin Danso,AUT,DF,Lens,26,1998.0,2.0,108,95,13,6,0,0,0,0,0,0,0,0,87,0,1
104,Dante,BRA,DF,Nice,40,1983.0,5.3,410,390,19,19,0,2,1,0,0,0,0,0,356,1,4
105,Pape Daouda Diongue,SEN,MF,Strasbourg,,0.0,0.5,24,24,0,0,0,0,0,0,0,0,0,0,19,0,0
106,Mohammed Daramy,DEN,FW,Reims,22,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Jonathan David,CAN,FW,Lille,24,2000.0,4.1,119,110,8,0,0,1,0,0,0,0,0,0,96,1,4
