Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
44,Bradley Barcola,FRA,FW,Paris S-G,22.0,2002.0,6,5,374,4.2,6,1.44,0,0.0,6,1.44,6,1.44,0,0,0,0,3.5,0.84,3.5,0.84,0.8,0.18,4.2,1.02,25,12,56,1.44,1.02
45,Melvin Bard,FRA,"MF,DF",Nice,23.0,2000.0,4,4,332,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.0,0.01,0.1,0.02,6,14,10,0.0,0.02
46,Gabriel Bares,SUI,MF,Montpellier,24.0,2000.0,1,0,8,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
47,Dylan Batubinsika,COD,DF,Saint-Étienne,28.0,1996.0,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.01,0.1,0.01,0.0,0.0,0.1,0.01,2,13,1,0.0,0.01
48,Haris Belkebla,ALG,MF,Angers,30.0,1994.0,3,3,259,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,1,15,4,0.0,0.01
49,Yassin Belkhdim,FRA,MF,Angers,22.0,2002.0,6,3,279,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.05,0.1,0.05,0.0,0.01,0.2,0.05,6,6,11,0.0,0.05
50,Eliesse Ben Seghir,MAR,"FW,MF",Monaco,19.0,2005.0,6,5,394,4.4,2,0.46,0,0.0,2,0.46,2,0.46,0,0,0,0,1.0,0.22,1.0,0.22,1.7,0.39,2.7,0.61,33,31,40,0.46,0.61
51,Saïd Benrahma,ALG,"FW,MF",Lyon,29.0,1995.0,3,3,260,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.04,0.1,0.04,0.4,0.15,0.6,0.2,15,9,39,0.0,0.2
52,Lucas Beraldo,BRA,DF,Paris S-G,20.0,2003.0,5,5,442,4.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.1,0.02,0.1,0.02,3,23,0,0.0,0.02
53,Dimitry Bertaud,COD,GK,Montpellier,26.0,1998.0,2,2,180,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
54,Emmanuel Biumla,FRA,DF,Angers,19.0,2005.0,4,3,283,3.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0
55,Marco Bizot,NED,GK,Brest,33.0,1991.0,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
56,Ludovic Blas,FRA,"MF,FW",Rennes,26.0,1997.0,6,6,504,5.6,2,0.36,2,0.36,4,0.71,2,0.36,0,0,1,0,1.8,0.32,1.8,0.32,0.9,0.16,2.7,0.48,18,21,41,0.71,0.48
57,Augustine Boakye,GHA,"MF,FW",Saint-Étienne,23.0,2000.0,3,0,54,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.07,3,1,2,0.0,0.07
