Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
48,Haris Belkebla,ALG,MF,Angers,30,1994.0,2.9,127,150,84.7,2047,518,66,74,89.2,52,59,88.1,6,12,50.0,0,0.0,0.1,0.0,1,17,0,0,15
49,Yassin Belkhdim,FRA,MF,Angers,22,2002.0,3.1,79,91,86.8,1107,269,49,52,94.2,22,23,95.7,5,8,62.5,0,0.0,0.0,0.0,1,5,1,0,6
50,Eliesse Ben Seghir,MAR,"FW,MF",Monaco,19,2005.0,4.4,161,204,78.9,2203,684,98,112,87.5,52,68,76.5,2,9,22.2,0,1.7,0.7,-1.7,7,14,8,0,31
51,Saïd Benrahma,ALG,"FW,MF",Lyon,29,1995.0,2.9,89,128,69.5,1395,526,56,64,87.5,20,35,57.1,10,14,71.4,0,0.4,0.7,-0.4,5,9,6,2,9
52,Lucas Beraldo,BRA,DF,Paris S-G,20,2003.0,4.9,419,452,92.7,7306,2734,162,169,95.9,225,236,95.3,26,37,70.3,0,0.1,0.5,-0.1,1,36,7,0,23
53,Dimitry Bertaud,COD,GK,Montpellier,26,1998.0,2.0,44,71,62.0,1511,1230,4,4,100.0,19,19,100.0,21,47,44.7,0,0.0,0.0,0.0,0,3,0,0,0
54,Emmanuel Biumla,FRA,DF,Angers,19,2005.0,3.1,135,153,88.2,2605,818,39,47,83.0,84,86,97.7,11,17,64.7,0,0.0,0.0,0.0,0,2,0,0,2
55,Marco Bizot,NED,GK,Brest,33,1991.0,6.0,142,222,64.0,4921,4044,19,19,100.0,53,54,98.1,70,149,47.0,0,0.0,0.0,0.0,0,2,0,0,0
56,Ludovic Blas,FRA,"MF,FW",Rennes,26,1997.0,5.6,133,184,72.3,2273,724,67,77,87.0,47,66,71.2,15,29,51.7,2,0.9,0.9,1.1,12,15,8,2,21
57,Augustine Boakye,GHA,"MF,FW",Saint-Étienne,23,2000.0,0.6,12,14,85.7,184,31,4,4,100.0,5,6,83.3,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
58,Jeremie Boga,CIV,"FW,MF",Nice,27,1997.0,1.9,42,52,80.8,546,153,30,33,90.9,11,13,84.6,1,2,50.0,1,0.4,0.3,0.6,4,4,1,1,4
59,Moïse Bombito,CAN,DF,Nice,24,2000.0,3.7,245,266,92.1,4280,1846,104,108,96.3,118,121,97.5,18,30,60.0,0,0.0,0.0,0.0,0,8,0,0,14
60,Ayyoub Bouaddi,FRA,MF,Lille,16,2007.0,1.0,73,75,97.3,1222,231,38,39,97.4,31,31,100.0,4,4,100.0,0,0.0,0.0,0.0,0,2,0,0,4
61,Badredine Bouanani,ALG,"FW,MF",Nice,19,2004.0,2.9,73,101,72.3,1007,244,50,57,87.7,19,30,63.3,3,9,33.3,0,0.3,0.4,-0.3,3,3,2,0,9
62,Benjamin Bouchouari,MAR,MF,Saint-Étienne,22,2001.0,0.3,11,13,84.6,166,26,8,9,88.9,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
63,Hicham Boudaoui,ALG,MF,Nice,25,1999.0,4.0,145,176,82.4,2219,736,72,84,85.7,66,75,88.0,4,7,57.1,1,0.5,0.5,0.5,4,15,3,0,24
64,Benjamin Bourigeaud,FRA,MF,Rennes,30,1994.0,0.9,36,48,75.0,646,141,15,16,93.8,17,21,81.0,4,10,40.0,0,0.0,0.0,0.0,0,3,0,0,4
65,Bilal Brahimi,ALG,MF,Nice,24,2000.0,0.8,35,40,87.5,614,163,15,16,93.8,18,19,94.7,2,4,50.0,0,0.0,0.2,0.0,1,1,1,1,4
66,Lilian Brassier,FRA,DF,Marseille,24,1999.0,4.9,311,363,85.7,4750,1504,157,164,95.7,140,161,87.0,8,22,36.4,0,0.0,0.1,0.0,0,17,1,0,17
67,Aurélio Buta,POR,DF,Reims,27,1997.0,3.7,126,155,81.3,1927,724,70,80,87.5,49,60,81.7,6,11,54.5,1,0.1,0.5,0.9,2,7,3,3,9
68,Marcin Bułka,POL,GK,Nice,24,1999.0,6.0,186,217,85.7,4225,2823,58,59,98.3,84,86,97.7,43,70,61.4,0,0.0,0.0,0.0,0,1,0,0,0
69,Rémy Cabella,FRA,"MF,FW",Lille,34,1990.0,2.9,159,190,83.7,2265,488,97,108,89.8,49,57,86.0,8,13,61.5,1,0.9,0.8,0.1,7,10,3,1,17
70,Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,27,1997.0,4.4,82,121,67.8,1326,267,47,63,74.6,26,40,65.0,8,16,50.0,0,0.3,0.4,-0.3,6,5,2,1,7
71,Duje Ćaleta-Car,CRO,DF,Lyon,28,1996.0,6.0,238,263,90.5,4658,1572,73,80,91.3,141,147,95.9,21,30,70.0,0,0.0,0.0,0.0,0,9,0,0,12
72,Issiaga Camara,GUI,MF,Nice,19,2005.0,0.0,4,4,100.0,48,8,3,3,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
73,Lamine Camara,SEN,MF,Monaco,20,2004.0,3.7,195,234,83.3,3347,838,85,99,85.9,84,94,89.4,18,29,62.1,1,0.7,0.8,0.3,10,20,2,1,17
74,Mahdi Camara,FRA,MF,Brest,26,1998.0,5.1,167,195,85.6,2680,568,86,95,90.5,67,76,88.2,9,14,64.3,0,0.2,0.7,-0.2,5,17,3,2,20
75,Axel Camblan,FRA,"MF,FW",Brest,21,2003.0,0.3,3,7,42.9,44,23,2,5,40.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,2
76,Jaydee Canvot,FRA,DF,Toulouse,18,2006.0,0.1,5,6,83.3,99,50,0,0,0.0,5,5,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
77,Pierrick Capelle,FRA,MF,Angers,37,1987.0,2.0,60,79,75.9,1026,297,27,33,81.8,28,36,77.8,3,6,50.0,0,0.0,0.3,0.0,0,9,0,0,7
