stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,2.9,0,0,0,1,5,1,21,0,0,0,0,0,10,0,0,0.0
,,0.6,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,100.0
,,3.0,0,0,0,3,0,0,3,2,4,0,0,0,14,6,2,75.0
,,2.8,0,0,0,2,1,0,0,11,4,0,0,0,12,6,6,50.0
,,0.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
,,3.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0
,,0.5,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0.0
,,0.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
,,2.9,0,0,0,5,1,0,0,4,1,0,0,0,13,2,2,50.0
,,3.0,0,0,0,2,8,0,0,4,6,0,0,0,11,5,5,50.0
,,1.8,0,0,0,3,1,0,1,3,0,0,0,0,9,2,5,28.6
,,2.7,0,0,0,2,2,0,5,2,0,0,0,0,12,0,0,0.0
,,2.5,1,0,0,2,2,0,0,4,2,0,0,0,11,2,1,66.7
,,1.3,0,0,0,0,0,0,1,2,0,0,0,0,3,1,1,50.0
,,3.0,0,0,0,2,4,0,0,2,2,0,0,0,12,3,3,50.0
,,3.0,0,0,0,2,2,0,0,3,2,0,0,0,16,1,1,50.0
,,2.7,0,0,0,2,1,2,2,1,2,0,0,0,8,6,4,60.0
,,1.5,0,0,0,0,1,0,10,0,0,0,0,0,8,0,0,0.0
,,3.0,0,0,0,3,2,0,0,5,1,0,0,0,9,12,2,85.7
,,1.3,0,0,0,4,2,0,1,0,0,0,0,0,3,1,3,25.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
,,0.3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0.0
,,1.5,0,0,0,0,3,0,6,1,0,0,0,0,4,0,0,0.0
,,2.4,1,0,0,4,0,0,0,3,1,0,0,0,9,8,2,80.0
,,2.6,0,0,0,1,12,1,2,0,2,0,0,0,7,0,0,0.0
,,3.0,0,0,0,2,3,0,0,3,3,0,0,0,9,5,3,62.5
,,0.7,0,0,0,2,1,0,0,0,0,0,0,0,1,2,3,40.0
,,0.6,0,0,0,2,0,2,0,0,0,0,0,0,3,2,3,40.0
,,2.8,0,0,0,3,1,0,0,2,3,0,0,0,11,8,6,57.1
,,1.9,0,0,0,3,3,0,6,2,0,0,0,0,5,5,4,55.6
,,3.0,1,0,0,4,3,0,0,3,2,0,0,0,18,6,3,66.7
,,0.4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
,,2.3,1,0,0,3,1,1,8,3,3,0,1,0,12,0,1,0.0
,,2.9,0,0,0,3,0,0,0,3,1,0,0,0,15,13,5,72.2
,,2.4,1,0,0,3,4,0,9,1,5,0,0,0,8,4,2,66.7
,,0.7,0,0,0,3,0,0,1,0,1,0,0,0,9,1,1,50.0
,,0.1,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0
,,0.5,0,0,0,0,1,0,1,0,1,0,0,0,2,1,1,50.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0
,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0
,,1.1,0,0,0,2,1,0,4,0,0,0,0,0,5,0,1,0.0
,,2.3,1,0,0,3,7,0,1,2,2,0,0,0,7,0,0,0.0
,,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
