stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,0.7,18,17,1,0,0,0,0,0,0,0,0,0,13,0,0
,,0.6,14,11,3,0,0,0,0,0,0,0,0,0,10,0,0
,,2.8,113,110,2,2,1,0,0,0,0,0,0,0,98,1,0
,,1.9,72,63,7,3,0,0,6,1,3,0,3,0,51,2,1
,,3.0,255,243,12,6,0,1,0,1,0,0,0,0,219,0,1
,,0.4,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0
,,2.3,153,139,14,3,0,3,8,3,5,0,5,0,134,0,2
,,2.9,320,307,12,5,0,2,0,0,0,0,0,0,287,1,1
,,2.4,156,133,22,1,0,0,9,21,0,0,0,0,133,1,0
,,0.7,19,19,0,0,2,0,1,0,0,0,0,0,8,0,2
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
,,0.5,19,19,0,0,0,0,1,0,0,0,0,0,16,0,0
,,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
,,2.0,74,55,18,5,0,0,0,0,0,0,0,0,41,1,0
,,3.0,119,81,37,8,0,0,0,0,0,0,0,0,85,1,0
,,1.1,61,59,2,0,0,1,4,1,0,0,0,0,50,0,0
,,2.3,113,107,6,0,1,0,1,0,1,0,0,0,94,0,3
,,0.1,6,5,1,0,0,0,1,0,1,0,1,0,3,0,0
,,2.9,122,90,29,0,0,0,15,26,3,0,0,3,91,3,6
,,0.8,19,17,2,0,0,0,2,1,0,0,0,0,9,0,1
,,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
,,0.2,21,19,2,0,0,0,2,2,0,0,0,0,17,0,0
,,2.9,145,121,24,3,0,0,1,21,0,0,0,0,117,0,6
,,3.0,165,157,8,3,0,0,0,0,0,0,0,0,151,0,0
,,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0
,,1.5,42,42,0,0,0,1,2,0,0,0,0,0,27,0,1
,,1.9,84,68,15,6,0,1,13,9,0,0,0,0,56,1,7
,,1.3,73,71,2,2,0,1,0,0,0,0,0,0,62,0,2
,,3.0,133,118,14,3,0,0,0,0,0,0,0,0,104,1,0
,,0.9,27,26,0,0,1,0,0,0,0,0,0,0,23,1,0
,,0.2,12,11,0,0,0,0,0,0,0,0,0,0,10,1,0
,,0.2,10,4,6,0,0,0,0,6,0,0,0,0,6,0,0
,,2.0,111,100,11,1,1,2,11,6,4,2,0,0,86,0,2
,,3.0,147,133,13,1,0,2,0,1,0,0,0,0,119,1,0
,,1.0,18,17,1,0,0,0,2,0,0,0,0,0,10,0,1
,,0.9,25,25,0,0,0,0,1,0,0,0,0,0,18,0,1
,,2.9,41,36,4,1,0,0,4,0,0,0,0,0,28,1,2
