stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,1.9,0,2,0,0.0,1.03,0.0,0.0,0.0,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,0,4,0,0.0,1.33,0.0,0.0,0.0,9.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3
,,1.8,0,3,1,33.3,1.67,0.56,0.0,0.0,20.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
,,3.0,0,3,0,0.0,1.01,0.0,0.0,0.0,25.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,3.0,1,2,1,50.0,0.67,0.33,0.5,1.0,13.8,0,0,0,0.7,0.7,0.34,0.3,0.3
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.3,1,10,5,50.0,4.33,2.16,0.1,0.2,18.8,0,0,0,0.7,0.7,0.08,0.3,0.3
,,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.3,0,3,0,0.0,1.32,0.0,0.0,0.0,14.4,0,0,0,0.5,0.5,0.17,-0.5,-0.5
,,0.8,0,4,2,50.0,5.29,2.65,0.0,0.0,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,0,7,1,14.3,2.33,0.33,0.0,0.0,16.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4
,,2.9,0,1,0,0.0,0.35,0.0,0.0,0.0,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0
,,1.0,0,1,0,0.0,1.03,0.0,0.0,0.0,24.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1
,,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.4,0,2,0,0.0,0.82,0.0,0.0,0.0,32.3,1,0,0,0.1,0.1,0.03,-0.1,-0.1
,,3.0,0,5,4,80.0,1.67,1.33,0.0,0.0,25.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
,,3.0,0,4,1,25.0,1.33,0.33,0.0,0.0,15.3,0,0,0,0.5,0.5,0.12,-0.5,-0.5
,,2.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.2,0,1,0,0.0,0.83,0.0,0.0,0.0,11.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
,,3.0,0,1,0,0.0,0.33,0.0,0.0,0.0,13.9,0,0,0,0.2,0.2,0.15,-0.2,-0.2
,,2.8,0,2,0,0.0,0.71,0.0,0.0,0.0,21.4,0,0,0,0.2,0.2,0.1,-0.2,-0.2
,,2.6,0,2,1,50.0,0.76,0.38,0.0,0.0,13.0,0,0,0,0.2,0.2,0.12,-0.2,-0.2
,,2.5,0,7,1,14.3,2.76,0.39,0.0,0.0,15.6,0,0,0,1.1,1.1,0.16,-1.1,-1.1
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,0,3,2,66.7,1.0,0.67,0.0,0.0,12.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
,,2.9,0,4,1,25.0,1.36,0.34,0.0,0.0,14.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
,,0.8,0,1,0,0.0,1.23,0.0,0.0,0.0,12.3,0,0,0,0.0,0.0,0.04,0.0,0.0
,,0.8,0,1,0,0.0,1.29,0.0,0.0,0.0,9.6,0,0,0,0.1,0.1,0.13,-0.1,-0.1
,,1.9,1,9,3,33.3,4.63,1.54,0.11,0.33,14.2,0,0,0,1.5,1.5,0.16,-0.5,-0.5
,,2.8,0,3,0,0.0,1.09,0.0,0.0,0.0,17.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
,,1.7,1,1,1,100.0,0.59,0.59,1.0,1.0,8.8,0,0,0,0.3,0.3,0.29,0.7,0.7
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.6,0,3,1,33.3,1.13,0.38,0.0,0.0,19.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
,,1.4,0,3,2,66.7,2.08,1.38,0.0,0.0,17.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2
,,3.0,0,1,1,100.0,0.33,0.33,0.0,0.0,22.3,0,0,0,0.0,0.0,0.03,0.0,0.0
