stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,1,11,0.1,0,0.0,0,1,11.0,2,3.0,0,0,0,0.0,0.3,0.1,0.2,1.86
,,3,114,1.3,1,62.0,0,2,26.0,0,0.0,0,3,-3,-2.37,1.2,4.2,-3.0,-2.37
,,2,117,1.3,1,90.0,1,1,27.0,1,3.0,5,3,2,1.54,3.4,2.1,1.3,1.01
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,182,2.0,2,82.0,1,1,18.0,0,1.33,5,5,0,0.0,3.5,4.0,-0.5,-0.24
,,1,26,0.3,0,0.0,0,1,26.0,1,0.0,0,0,0,0.0,0.2,0.1,0.1,0.28
,,1,10,0.1,0,0.0,0,1,10.0,2,3.0,1,0,1,9.0,0.4,0.3,0.1,0.77
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,80,0.9,0,0.0,0,2,40.0,0,1.5,2,2,0,0.0,3.3,1.2,2.0,2.27
,,3,241,2.7,3,80.0,1,0,0.0,0,2.0,5,4,1,0.37,6.1,2.5,3.6,1.35
,,3,270,3.0,3,90.0,3,0,0.0,0,1.67,2,1,1,0.33,2.3,3.0,-0.7,-0.23
,,1,32,0.4,0,0.0,0,1,32.0,0,1.0,0,0,0,0.0,0.1,0.7,-0.6,-1.79
,,1,23,0.3,0,0.0,0,1,23.0,0,0.0,1,1,0,0.0,0.8,0.8,0.0,0.09
,,3,270,3.0,3,90.0,3,0,0.0,0,0.0,1,5,-4,-1.33,2.5,7.9,-5.4,-1.78
,,3,210,2.3,3,70.0,1,0,0.0,0,1.0,4,8,-4,-1.71,4.1,6.7,-2.7,-1.15
,,3,235,2.6,3,78.0,0,0,0.0,0,1.67,3,3,0,0.0,3.1,2.4,0.7,0.27
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,53,0.6,0,0.0,0,2,27.0,1,0.0,0,1,-1,-1.7,0.4,1.2,-0.8,-1.37
,,3,255,2.8,3,85.0,1,0,0.0,0,0.0,1,5,-4,-1.41,2.0,4.0,-2.0,-0.69
,,3,252,2.8,3,84.0,2,0,0.0,0,2.0,5,4,1,0.36,6.7,2.6,4.1,1.47
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,213,2.4,3,71.0,0,0,0.0,0,2.0,4,2,2,0.85,4.9,2.6,2.2,0.94
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,90.0,3,0,0.0,0,1.0,5,6,-1,-0.33,6.1,5.5,0.6,0.2
,,1,79,0.9,1,79.0,0,0,0.0,0,1.0,2,2,0,0.0,1.0,1.4,-0.5,-0.54
,,3,225,2.5,3,75.0,2,0,0.0,0,0.0,2,9,-7,-2.8,2.8,6.5,-3.7,-1.47
