stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,3,206,2.3,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.0,0.0,0.1,0.03
,,1,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,123,1.4,1,0,0.0,1,0.73,1,0.73,0,0.0,0,0,0,0,0.3,0.2,0.3,0.2,0.4,0.26,0.6,0.47
,,3,95,1.1,0,0,0.0,1,0.95,1,0.95,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.1,1.03,1.1,1.03
,,1,19,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,44,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.18,0.1,0.18,0.1,0.24,0.2,0.42
,,1,11,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.8,0.1,0.8
,,3,114,1.3,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4,0.29,0.4,0.29,0.3,0.21,0.6,0.5
,,2,117,1.3,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.04,0.1,0.04,0.0,0.01,0.1,0.05
,,3,182,2.0,2,3,1.48,0,0.0,3,1.48,3,1.48,0,0,0,0,1.0,0.51,1.0,0.51,0.0,0.02,1.1,0.53
,,1,26,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.22,0.1,0.22,0.0,0.0,0.1,0.22
,,1,10,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,80,0.9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.12,0.1,0.12,0.2,0.24,0.3,0.36
,,3,241,2.7,3,1,0.37,0,0.0,1,0.37,1,0.37,0,0,0,0,2.2,0.82,2.2,0.82,0.0,0.01,2.2,0.84
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.02,0.1,0.02,0.0,0.01,0.1,0.02
,,1,32,0.4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,23,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,210,2.3,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.02,0.0,0.02,0.0,0.01,0.1,0.03
