Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
114,Michael Gregoritsch,AUT,FW,Freiburg,30,1994.0,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0
115,Vincenzo Grifo,ITA,"FW,MF",Freiburg,31,1993.0,4.5,0,0,0,1,2,0,29,0,1,0,0,0,22,4,1,80.0
116,Florian Grillitsch,AUT,"MF,DF",Hoffenheim,29,1995.0,2.3,0,0,0,1,2,0,2,1,5,0,0,0,8,3,6,33.3
117,Álex Grimaldo,ESP,DF,Leverkusen,29,1995.0,5.0,2,0,0,3,6,0,37,6,3,1,0,0,22,2,2,50.0
118,Pascal Groß,GER,MF,Dortmund,33,1991.0,4.5,2,0,0,5,0,0,45,2,4,0,0,0,22,4,5,44.4
119,Marco Grüll,AUT,"FW,MF",Werder Bremen,26,1998.0,1.5,1,0,0,3,7,0,5,1,2,0,0,0,8,1,2,33.3
120,Raphaël Guerreiro,POR,DF,Bayern Munich,30,1993.0,2.9,0,0,0,2,2,0,3,3,5,0,0,0,23,0,1,0.0
121,Morgan Guilavogui,GUI,FW,St. Pauli,26,1998.0,2.1,2,0,0,5,4,2,2,0,0,0,0,0,5,9,16,36.0
122,Serhou Guirassy,GUI,FW,Dortmund,28,1996.0,2.8,0,0,0,1,7,1,0,0,0,1,0,0,2,10,6,62.5
123,Péter Gulácsi,HUN,GK,RB Leipzig,34,1990.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0
124,Christian Günter,GER,DF,Freiburg,31,1993.0,4.8,0,0,0,1,1,1,29,2,3,0,0,0,13,2,0,100.0
125,Janik Haberer,GER,"DF,MF",Union Berlin,30,1994.0,3.8,0,0,0,4,3,1,8,1,5,0,0,0,18,2,5,28.6
126,Robin Hack,GER,"FW,MF",Gladbach,26,1998.0,1.5,0,0,0,3,4,1,6,0,4,0,0,0,12,1,2,33.3
127,Amadou Haidara,MLI,MF,RB Leipzig,26,1998.0,3.2,2,0,0,3,4,0,2,2,5,0,0,0,18,7,3,70.0
128,Andreas Hanche-Olsen,NOR,DF,Mainz 05,27,1997.0,3.3,3,1,1,8,2,0,0,3,1,0,0,0,4,9,7,56.3
129,Ramon Hendriks,NED,DF,Stuttgart,23,2001.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0
130,Benjamin Henrichs,GER,DF,RB Leipzig,27,1997.0,2.6,0,0,0,4,3,0,6,7,4,0,0,0,19,3,1,75.0
131,Piero Hincapié,ECU,DF,Leverkusen,22,2002.0,4.4,0,0,0,7,2,0,2,6,8,0,0,0,7,6,5,54.5
132,Adam Hložek,CZE,"FW,MF",Hoffenheim,22,2002.0,2.7,1,0,0,2,6,1,3,0,2,0,0,0,1,5,11,31.3
133,Nicolas Höfler,GER,MF,Freiburg,34,1990.0,0.6,1,0,0,0,0,0,0,1,2,0,0,0,2,4,3,57.1
134,Jonas Hofmann,GER,MF,Leverkusen,32,1992.0,0.7,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0.0
135,Philipp Hofmann,GER,FW,Bochum,31,1993.0,3.5,1,0,0,5,4,0,0,0,0,0,0,0,6,25,23,52.1
136,Lucas Höler,GER,"MF,FW",Freiburg,30,1994.0,1.2,0,0,0,1,3,2,0,1,4,0,0,0,5,3,4,42.9
137,Benedict Hollerbach,GER,"MF,FW",Union Berlin,23,2001.0,3.9,1,0,0,6,9,1,11,0,3,0,0,0,11,2,8,20.0
138,Lewis Holtby,GER,MF,Holstein Kiel,34,1990.0,4.4,0,0,0,2,8,0,17,8,5,1,0,0,20,3,2,60.0
139,Franck Honorat,FRA,FW,Gladbach,28,1996.0,2.6,0,0,0,2,0,1,11,0,1,0,0,0,12,0,3,0.0
140,Mathias Honsak,AUT,"MF,FW",Heidenheim,27,1996.0,0.9,1,0,0,1,1,0,4,0,2,0,0,0,4,0,0,0.0
141,Lukáš Hrádecký,FIN,GK,Leverkusen,34,1989.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0
142,Robin Hranáč,CZE,DF,Hoffenheim,24,2000.0,1.0,0,0,0,5,0,0,0,2,0,0,0,0,1,3,5,37.5
143,Hong Hyunseok,KOR,MF,Mainz 05,25,1999.0,2.4,0,0,0,1,2,1,1,3,1,0,0,0,7,0,3,0.0
144,Oscar Højlund,DEN,MF,Eint Frankfurt,19,2005.0,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0
145,Jackson Irvine,AUS,MF,St. Pauli,31,1993.0,5.0,1,0,0,6,2,0,2,9,6,0,0,0,28,22,14,61.1
146,Ko Itakura,JPN,DF,Gladbach,27,1997.0,5.0,1,0,0,8,2,0,0,5,8,0,1,0,20,11,7,61.1
147,Marko Ivezić,SRB,DF,Holstein Kiel,22,2001.0,1.0,0,0,0,0,0,0,0,3,1,0,0,0,4,0,2,0.0
148,Lee Jae-sung,KOR,MF,Mainz 05,32,1992.0,3.8,0,0,0,4,6,2,2,2,5,0,0,0,11,8,8,50.0
149,Kristijan Jakić,CRO,MF,Augsburg,27,1997.0,2.9,0,0,0,4,3,0,2,3,0,0,0,0,16,4,4,50.0
150,Dominik Javorček,SVK,DF,Holstein Kiel,21,2002.0,0.5,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0.0
151,Fredrik Jensen,FIN,"MF,DF",Augsburg,27,1997.0,1.2,0,0,0,0,1,0,2,0,0,0,0,0,3,1,1,50.0
152,Moritz Jenz,GER,DF,Mainz 05,25,1999.0,3.0,1,0,0,2,1,0,0,3,1,0,0,0,12,14,9,60.9
153,Carl Johansson,SWE,DF,Holstein Kiel,30,1994.0,3.9,0,0,0,2,0,0,0,6,2,0,1,0,14,16,13,55.2
154,Anthony Jung,GER,DF,Werder Bremen,32,1991.0,4.5,0,0,0,2,1,0,3,5,4,0,0,0,18,6,1,85.7
155,Yusuf Kabadayı,GER,"MF,FW",Augsburg,20,2004.0,0.4,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0.0
156,Pavel Kadeřábek,CZE,DF,Hoffenheim,32,1992.0,4.8,1,0,0,4,3,0,13,6,3,0,0,0,5,16,15,51.6
157,Jakub Kamiński,POL,"DF,MF",Wolfsburg,22,2002.0,5.0,1,0,0,3,0,0,13,5,4,0,0,1,15,2,9,18.2
158,Kevin Kampl,SVN,MF,RB Leipzig,33,1990.0,2.9,1,0,0,1,4,0,1,3,4,0,0,0,20,0,3,0.0
159,Harry Kane,ENG,FW,Bayern Munich,31,1993.0,4.8,1,0,0,2,3,1,3,0,2,1,0,0,15,4,4,50.0
160,Atakan Karazor,GER,MF,Stuttgart,27,1996.0,4.4,3,1,1,9,15,0,1,4,2,0,0,0,26,6,9,40.0
161,Mikkel Kaufmann,DEN,FW,Heidenheim,23,2001.0,0.9,1,0,0,0,5,0,1,0,1,1,0,0,0,5,3,62.5
162,Andu Kelati,GER,MF,Holstein Kiel,22,2002.0,1.1,2,1,1,4,4,0,3,2,1,0,0,0,6,0,1,0.0
163,Aljoscha Kemlein,GER,MF,Union Berlin,20,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
164,Luca Kerber,GER,"MF,FW",Heidenheim,22,2002.0,0.9,0,0,0,4,1,0,0,0,2,0,0,0,2,1,4,20.0
165,Rani Khedira,GER,MF,Union Berlin,30,1994.0,5.0,1,0,0,8,4,0,4,8,5,0,0,0,25,5,5,50.0
166,Joshua Kimmich,GER,"MF,DF",Bayern Munich,29,1995.0,5.0,0,0,0,4,3,0,19,4,2,0,0,0,42,3,3,50.0
